g.name	raw.score	z.score	p.value	q.value
TM7SF2	11.127569	6.051405	0.000000	0.000044
IGF2	10.817389	5.819939	0.000000	0.000117
BCL6	10.619031	5.671919	0.000000	0.000205
TIPARP	10.525885	5.602410	0.000000	0.000243
PLK2	10.411381	5.516964	0.000000	0.000326
CBX4	9.811962	5.069659	0.000001	0.002837
AJUBA	9.789608	5.052978	0.000001	0.002837
PLXNA2	9.625361	4.930412	0.000002	0.004650
ZNHIT2	9.537640	4.864952	0.000003	0.005677
MIDN	9.515705	4.848584	0.000003	0.005677
IL6	9.370927	4.740546	0.000005	0.008735
