g.name	raw.score	z.score	p.value	q.value
BMP7	40.622461	35.000265	0.000000	0.000000
PARD6B	36.711536	31.514191	0.000000	0.000000
BCAS4	32.507088	27.766481	0.000000	0.000000
TBX4	31.666835	27.017506	0.000000	0.000000
ZMYND8	29.616150	25.189592	0.000000	0.000000
ZNF217	28.143980	23.877347	0.000000	0.000000
BCAS1	25.374020	21.408293	0.000000	0.000000
NACA2	25.097631	21.161929	0.000000	0.000000
BRIP1	25.079866	21.146093	0.000000	0.000000
SULF2	22.873229	19.179168	0.000000	0.000000
CA4	21.500342	17.955421	0.000000	0.000000
PFDN4	20.620455	17.171118	0.000000	0.000000
TBX2	20.524553	17.085634	0.000000	0.000000
CYP24A1	20.449225	17.018489	0.000000	0.000000
TRIM37	20.405796	16.979778	0.000000	0.000000
NCOA3	20.375205	16.952510	0.000000	0.000000
RIPOR3	20.348338	16.928562	0.000000	0.000000
TUBD1	19.210455	15.914289	0.000000	0.000000
RPS6KB1	19.136895	15.848720	0.000000	0.000000
USP32	19.038509	15.761022	0.000000	0.000000
PPM1D	18.958454	15.689663	0.000000	0.000000
PSMD6	18.514153	15.293628	0.000000	0.000000
C17orf64	18.255156	15.062766	0.000000	0.000000
APPBP2	17.814366	14.669860	0.000000	0.000000
HEATR6	17.601331	14.479968	0.000000	0.000000
RNFT1	16.990772	13.935735	0.000000	0.000000
AC005702.1	16.251180	13.276486	0.000000	0.000000
BCAS3	16.069581	13.114615	0.000000	0.000000
DOK5	15.350745	12.473868	0.000000	0.000000
RAD51C	14.948461	12.115284	0.000000	0.000000
ADAMTS9	13.992641	11.263297	0.000000	0.000000
TEX14	12.690703	10.102791	0.000000	0.000000
AC011195.2	12.446262	9.884904	0.000000	0.000000
PRICKLE2	11.180248	8.756420	0.000000	0.000000
PPM1E	9.785533	7.513216	0.000000	0.000000
THOC7	9.557284	7.309762	0.000000	0.000000
ATXN7	9.328697	7.106007	0.000000	0.000000
TRIM33	8.780168	6.617066	0.000000	0.000000
PREX1	8.762407	6.601234	0.000000	0.000000
C3orf49	8.683976	6.531323	0.000000	0.000000
ATXN7	8.272652	6.164682	0.000000	0.000001
SPO11	7.620999	5.583819	0.000000	0.000032
BCAS2	7.392475	5.380121	0.000000	0.000096
PRMT6	7.275259	5.275638	0.000000	0.000163
YPEL2	7.056458	5.080606	0.000001	0.000439
HIPK1	7.044115	5.069603	0.000001	0.000454
ISG20	7.033634	5.060261	0.000001	0.000466
NTNG1	6.932860	4.970435	0.000002	0.000715
SALL4	6.719001	4.779808	0.000004	0.001775
OLFML3	6.516624	4.599415	0.000010	0.004052
UBE2V1	6.459207	4.548235	0.000013	0.005021
SYT6	6.317716	4.422115	0.000023	0.008670
SYNPR	6.296948	4.403603	0.000025	0.009230
