g.name	raw.score	z.score	p.value	q.value
AL136295.4	9.928392	5.953690	0.000000	0.000080
NBPF1	9.752325	5.805884	0.000000	0.000106
AL132780.3	9.731098	5.788064	0.000000	0.000106
TM9SF1	9.624553	5.698620	0.000000	0.000141
EMC9	9.584901	5.665332	0.000000	0.000142
AJUBA	9.507236	5.600133	0.000000	0.000176
DHRS2	9.430015	5.535307	0.000000	0.000221
RNF31	9.098409	5.256926	0.000000	0.000849
AL136295.5	9.082969	5.243965	0.000000	0.000849
PSME2	9.021223	5.192129	0.000001	0.000928
PCK1	9.021040	5.191976	0.000001	0.000928
PCK2	8.985914	5.162488	0.000001	0.000998
LTB4R2	8.821718	5.024647	0.000001	0.001788
PABPN1	8.815977	5.019827	0.000001	0.001788
AP1G2	8.717862	4.937460	0.000002	0.002526
TINF2	8.546776	4.793835	0.000004	0.004783
OSBPL2	8.518655	4.770229	0.000005	0.004810
PSMB11	8.517649	4.769384	0.000005	0.004810
CIRBP	8.476862	4.735143	0.000005	0.005377
DCAF11	8.400028	4.670642	0.000007	0.006913
NRL	8.370247	4.645641	0.000008	0.006913
RBM39	8.370170	4.645577	0.000008	0.006913
CBLN3	8.366711	4.642673	0.000008	0.006913
ZFHX2	8.264642	4.556986	0.000012	0.009843
