g.name	raw.score	z.score	p.value	q.value
GJC1	6.335444	29.459005	0.000000	0.000000
SP9	6.191300	28.774071	0.000000	0.000000
CTNNB1	6.171933	28.682047	0.000000	0.000000
HEY2	5.205422	24.089462	0.000000	0.000000
CHN1	3.695178	16.913211	0.000000	0.000000
GATA6	3.505544	16.012128	0.000000	0.000000
IL17D	3.250633	14.800863	0.000000	0.000000
SYPL2	3.249167	14.793894	0.000000	0.000000
LHX4	3.197456	14.548177	0.000000	0.000000
DSP	3.149300	14.319356	0.000000	0.000000
CHD7	2.917200	13.216483	0.000000	0.000000
SCML4	2.784811	12.587409	0.000000	0.000000
ERRFI1	2.683622	12.106588	0.000000	0.000000
AIF1L	2.597911	11.699313	0.000000	0.000000
OCLN	2.518811	11.323453	0.000000	0.000000
LAMC3	2.501211	11.239823	0.000000	0.000000
PPP1R13B	2.490544	11.189138	0.000000	0.000000
SOBP	2.341889	10.482769	0.000000	0.000000
BCO1	2.313800	10.349298	0.000000	0.000000
ACP7	2.244778	10.021325	0.000000	0.000000
ZBTB18	2.203244	9.823970	0.000000	0.000000
CYS1	2.196178	9.790391	0.000000	0.000000
TBR1	2.143189	9.538603	0.000000	0.000000
C3orf70	2.122144	9.438606	0.000000	0.000000
CLDN5	2.104767	9.356032	0.000000	0.000000
EMX1	2.097044	9.319338	0.000000	0.000000
HOXD8	2.088611	9.279265	0.000000	0.000000
PBX3	2.064556	9.164960	0.000000	0.000000
FOXD1	2.055644	9.122617	0.000000	0.000000
ENAH	2.033478	9.017287	0.000000	0.000000
AKAP12	2.002267	8.868981	0.000000	0.000000
WNT16	1.999967	8.858052	0.000000	0.000000
PI16	1.990878	8.814864	0.000000	0.000000
LHX1	1.938211	8.564607	0.000000	0.000000
KIAA1549	1.935511	8.551778	0.000000	0.000000
PLAG1	1.923767	8.495971	0.000000	0.000000
TRIM71	1.917433	8.465877	0.000000	0.000000
RCAN3	1.908778	8.424748	0.000000	0.000000
FBXO16	1.858289	8.184840	0.000000	0.000000
NEK3	1.852044	8.155168	0.000000	0.000000
SSPN	1.839444	8.095296	0.000000	0.000000
BHLHE41	1.815367	7.980886	0.000000	0.000000
ETV7	1.805056	7.931890	0.000000	0.000000
CABLES1	1.766678	7.749530	0.000000	0.000000
ZEB1	1.717578	7.516221	0.000000	0.000000
HMCN2	1.716611	7.511627	0.000000	0.000000
MECOM	1.708889	7.474934	0.000000	0.000000
LHX2	1.705400	7.458355	0.000000	0.000000
SMAD9	1.702544	7.444787	0.000000	0.000000
