g.name	raw.score	z.score	p.value	q.value
NRL	0.813541	7.577543	0.000000	0.000000
RBM39	0.750053	6.805459	0.000000	0.000000
SP2	0.738333	6.662928	0.000000	0.000000
SKA2	0.680678	5.961781	0.000000	0.000030
HNRNPC	0.656949	5.673220	0.000000	0.000136
PNN	0.646481	5.545919	0.000000	0.000210
PRR11	0.646343	5.544233	0.000000	0.000210
ZNFX1	0.631046	5.358212	0.000000	0.000515
TRAPPC6B	0.616805	5.185029	0.000001	0.001155
ZSWIM3	0.602539	5.011535	0.000001	0.002542
ACOT8	0.595799	4.929566	0.000002	0.003502
MGME1	0.591532	4.877683	0.000003	0.004170
EMC9	0.589814	4.856786	0.000003	0.004286
P4HB	0.587115	4.823965	0.000004	0.004689
SNX5	0.583692	4.782339	0.000004	0.005369
IPO4	0.580009	4.737543	0.000005	0.006254
RNASE4	0.576507	4.694965	0.000007	0.007221
