g.name	raw.score	z.score	p.value	q.value
PCK1	5.815514	9.109932	0.000000	0.000000
AL132780.3	4.442731	6.510461	0.000000	0.000002
PCK2	4.419214	6.465930	0.000000	0.000002
AJUBA	4.393035	6.416359	0.000000	0.000002
EMC9	4.145205	5.947074	0.000000	0.000033
APOB	4.126762	5.912150	0.000000	0.000034
DHRS2	4.105115	5.871160	0.000000	0.000037
KHNYN	3.990270	5.653693	0.000000	0.000114
CBLN3	3.956605	5.589945	0.000000	0.000145
NFKBIA	3.885154	5.454648	0.000000	0.000275
DCAF11	3.856684	5.400737	0.000000	0.000335
RNF31	3.843657	5.376069	0.000000	0.000351
TMEM37	3.822600	5.336196	0.000000	0.000401
PSME1	3.813418	5.318810	0.000000	0.000408
LTB4R2	3.781492	5.258355	0.000000	0.000501
ZFHX2	3.768746	5.234220	0.000000	0.000501
PPP1R3E	3.766141	5.229287	0.000000	0.000501
NRL	3.765880	5.228793	0.000000	0.000501
SLC16A5	3.762448	5.222293	0.000000	0.000501
THTPA	3.742093	5.183750	0.000001	0.000564
TINF2	3.740209	5.180182	0.000001	0.000564
CHMP4A	3.731796	5.164252	0.000001	0.000584
NEDD8	3.718280	5.138658	0.000001	0.000585
PNN	3.716446	5.135186	0.000001	0.000585
HOMEZ	3.714537	5.131570	0.000001	0.000585
BCL2L2-PABPN1	3.711488	5.125797	0.000001	0.000585
GMPR2	3.710656	5.124221	0.000001	0.000585
NEDD8-MDP1	3.702209	5.108227	0.000001	0.000612
SRC	3.693576	5.091879	0.000001	0.000633
ORMDL3	3.691699	5.088324	0.000001	0.000633
PSME2	3.674613	5.055972	0.000001	0.000721
AL136295.5	3.656212	5.021128	0.000001	0.000829
AP4S1	3.651824	5.012818	0.000001	0.000829
TM9SF1	3.650066	5.009489	0.000001	0.000829
ID1	3.645967	5.001727	0.000001	0.000829
AHCY	3.644292	4.998557	0.000001	0.000829
AL136295.1	3.641115	4.992540	0.000002	0.000831
BCL2L2	3.632529	4.976282	0.000002	0.000878
IPO4	3.592874	4.901191	0.000002	0.001239
NOP9	3.587434	4.890892	0.000003	0.001270
DHRS1	3.572754	4.863094	0.000003	0.001419
STRN3	3.547338	4.814967	0.000004	0.001749
HEATR5A	3.539482	4.800090	0.000004	0.001835
ZNF219	3.531408	4.784801	0.000004	0.001924
IRF9	3.529242	4.780701	0.000004	0.001924
SRP54	3.525363	4.773354	0.000005	0.001949
AP1G2	3.520901	4.764906	0.000005	0.001986
GSDMB	3.485609	4.698077	0.000006	0.002661
APOC3	3.483610	4.694293	0.000007	0.002661
CEBPB	3.473696	4.675518	0.000007	0.002798
MDP1	3.473419	4.674994	0.000007	0.002798
BCL2L1	3.469239	4.667080	0.000007	0.002848
CST3	3.459978	4.649544	0.000008	0.003032
LTB4R	3.447435	4.625793	0.000009	0.003286
CIDEB	3.446583	4.624179	0.000009	0.003286
AL136295.4	3.444452	4.620143	0.000009	0.003289
CIRBP	3.420293	4.574397	0.000011	0.003987
ASXL1	3.382354	4.502557	0.000016	0.005429
TRIB3	3.373744	4.486252	0.000017	0.005742
BPIFB2	3.362414	4.464798	0.000019	0.006216
TTC6	3.355754	4.452187	0.000020	0.006468
TRAPPC6B	3.343024	4.428083	0.000022	0.007082
NBPF1	3.339853	4.422077	0.000023	0.007157
SRXN1	3.336249	4.415253	0.000023	0.007261
ACIN1	3.315675	4.376294	0.000028	0.008485
PABPN1	3.303301	4.352863	0.000031	0.009168
ZMYND8	3.302641	4.351613	0.000031	0.009168
FOXA1	3.299579	4.345814	0.000032	0.009264
