g.name	raw.score	z.score	p.value	q.value
MSH5-SAPCD1	14.066959	19.770995	0.000000	0.000000
MSH5	13.393872	18.782609	0.000000	0.000000
PDZK1IP1	12.809431	17.924394	0.000000	0.000000
PFKFB2	12.563764	17.563647	0.000000	0.000000
SDF2L1	10.692020	14.815106	0.000000	0.000000
CLIC1	10.436200	14.439451	0.000000	0.000000
CARD9	7.458018	10.066175	0.000000	0.000000
PLPP7	7.361990	9.925163	0.000000	0.000000
C4A	7.164681	9.635429	0.000000	0.000000
TOP3B	6.950529	9.320959	0.000000	0.000000
LY6G5B	6.751912	9.029303	0.000000	0.000000
EPHA2	6.594462	8.798097	0.000000	0.000000
TSSK2	6.213131	8.238136	0.000000	0.000000
DGCR8	6.210402	8.234129	0.000000	0.000000
IGLL5	6.192143	8.207316	0.000000	0.000000
KISS1R	6.172748	8.178835	0.000000	0.000000
ATAT1	6.095172	8.064920	0.000000	0.000000
H2AFX	5.954328	7.858100	0.000000	0.000000
GJC2	5.907455	7.789270	0.000000	0.000000
P2RX6	5.795284	7.624553	0.000000	0.000000
AC012184.2	5.705764	7.493098	0.000000	0.000000
RNASEH2A	5.655886	7.419857	0.000000	0.000000
SETD1B	5.654218	7.417407	0.000000	0.000000
DNMT3B	5.605388	7.345703	0.000000	0.000000
PPM1F	5.598971	7.336279	0.000000	0.000000
MAPK1	5.561756	7.281632	0.000000	0.000000
LAMC3	5.537184	7.245549	0.000000	0.000000
TMEM191C	5.510294	7.206063	0.000000	0.000000
EGFL8	5.509307	7.204614	0.000000	0.000000
RPL22	5.506692	7.200774	0.000000	0.000000
PNLDC1	5.466442	7.141669	0.000000	0.000000
PPIL2	5.373010	7.004471	0.000000	0.000000
CST6	5.280263	6.868276	0.000000	0.000000
FAM78A	5.216529	6.774687	0.000000	0.000000
YDJC	5.196190	6.744820	0.000000	0.000000
AC090004.1	5.149863	6.676792	0.000000	0.000000
UTP11	5.116924	6.628423	0.000000	0.000000
TNR	5.068799	6.557756	0.000000	0.000000
RPS19BP1	4.987291	6.438065	0.000000	0.000000
PNPLA2	4.971120	6.414319	0.000000	0.000000
SLC30A2	4.958579	6.395904	0.000000	0.000000
CHCHD1	4.902401	6.313410	0.000000	0.000000
GALE	4.851229	6.238268	0.000000	0.000001
YPEL1	4.734060	6.066212	0.000000	0.000002
SLC25A1	4.726559	6.055197	0.000000	0.000002
ROM1	4.711683	6.033353	0.000000	0.000002
PLEKHG2	4.705381	6.024098	0.000000	0.000002
SEC31A	4.656915	5.952929	0.000000	0.000003
PRDM7	4.652185	5.945983	0.000000	0.000003
C9orf16	4.626791	5.908694	0.000000	0.000004
CLCN6	4.606050	5.878236	0.000000	0.000005
AKR1D1	4.580305	5.840432	0.000000	0.000006
RPUSD2	4.573465	5.830388	0.000000	0.000006
AC073612.1	4.561848	5.813329	0.000000	0.000007
FOSL1	4.558590	5.808545	0.000000	0.000007
CBR1	4.546749	5.791158	0.000000	0.000007
FIBCD1	4.534775	5.773574	0.000000	0.000008
RGL2	4.476445	5.687921	0.000000	0.000013
IL17C	4.473487	5.683577	0.000000	0.000013
PTGES	4.452393	5.652601	0.000000	0.000015
QRFP	4.451158	5.650787	0.000000	0.000015
C19orf48	4.434336	5.626085	0.000000	0.000017
C7orf43	4.427935	5.616685	0.000000	0.000018
NUDC	4.421509	5.607250	0.000000	0.000018
KCND1	4.374564	5.538314	0.000000	0.000027
PIH1D1	4.358077	5.514104	0.000000	0.000030
PTPRCAP	4.345162	5.495140	0.000000	0.000033
SLC7A4	4.297309	5.424870	0.000000	0.000048
SCRN2	4.251468	5.357555	0.000000	0.000067
PHF13	4.244463	5.347269	0.000000	0.000070
SAMD1	4.237079	5.336425	0.000000	0.000073
GGNBP2	4.221216	5.313132	0.000000	0.000082
ZGLP1	4.219905	5.311207	0.000000	0.000082
LAMA5	4.215600	5.304885	0.000000	0.000083
ACTR3C	4.165669	5.231565	0.000000	0.000121
LEFTY2	4.127564	5.175610	0.000001	0.000160
RAP1GAP	4.100163	5.135373	0.000001	0.000192
TBC1D17	4.099947	5.135056	0.000001	0.000192
CA4	4.096405	5.129855	0.000001	0.000194
CYB561D1	4.084308	5.112091	0.000001	0.000210
PRCC	4.067360	5.087204	0.000001	0.000236
ZNF775	4.061593	5.078735	0.000001	0.000243
FAM155A	4.059059	5.075014	0.000001	0.000245
TRIM31	4.044330	5.053386	0.000001	0.000265
XPO7	4.042488	5.050680	0.000001	0.000265
RTN3	4.042008	5.049976	0.000001	0.000265
CLCNKA	4.041903	5.049822	0.000001	0.000265
LRRC46	4.007504	4.999310	0.000001	0.000338
HBZ	3.996288	4.982839	0.000002	0.000363
ENO1	3.966193	4.938646	0.000002	0.000447
EHD1	3.960128	4.929740	0.000002	0.000461
OOSP4B	3.944231	4.906397	0.000002	0.000512
CCDC116	3.927251	4.881462	0.000003	0.000572
RNF223	3.916682	4.865943	0.000003	0.000611
CREB3L2	3.872497	4.801060	0.000004	0.000827
SKIV2L	3.870277	4.797800	0.000004	0.000831
CUEDC2	3.863444	4.787766	0.000004	0.000863
RNF225	3.855602	4.776250	0.000004	0.000902
AL603832.3	3.850725	4.769088	0.000005	0.000924
MRPL34	3.846229	4.762487	0.000005	0.000944
VPS25	3.841207	4.755112	0.000005	0.000968
TRMT2A	3.838448	4.751061	0.000005	0.000978
MTA2	3.835253	4.746370	0.000005	0.000990
GAL3ST4	3.827289	4.734675	0.000005	0.001036
GPR107	3.810403	4.709879	0.000006	0.001154
USE1	3.806485	4.704126	0.000006	0.001174
SEMA7A	3.789413	4.679056	0.000007	0.001309
NKTR	3.763071	4.640374	0.000008	0.001543
TET1	3.762653	4.639761	0.000008	0.001543
B9D2	3.742928	4.610796	0.000010	0.001747
GJC3	3.741639	4.608903	0.000010	0.001747
NELFE	3.737394	4.602670	0.000010	0.001782
IL4	3.728623	4.589790	0.000011	0.001874
AGPAT1	3.726952	4.587335	0.000011	0.001879
SAP25	3.706072	4.556675	0.000012	0.002143
TRAPPC8	3.699845	4.547531	0.000013	0.002215
CDC45	3.687811	4.529860	0.000014	0.002379
PRAME	3.667954	4.500701	0.000016	0.002691
RNF5	3.651949	4.477198	0.000018	0.002965
ADAMTSL5	3.627058	4.440648	0.000021	0.003461
CCNI2	3.624010	4.436171	0.000021	0.003501
RINT1	3.616015	4.424432	0.000022	0.003658
COG8	3.610152	4.415822	0.000023	0.003769
TSSK4	3.608862	4.413928	0.000023	0.003770
FAU	3.605035	4.408308	0.000024	0.003833
PPP4C	3.590588	4.387094	0.000026	0.004175
DDB1	3.589129	4.384952	0.000027	0.004181
PLCD1	3.587633	4.382754	0.000027	0.004189
BCR	3.585710	4.379931	0.000027	0.004189
APOC2	3.585202	4.379184	0.000027	0.004189
LY6G6E	3.573620	4.362177	0.000029	0.004478
PKIG	3.570126	4.357046	0.000030	0.004545
THAP7	3.563235	4.346928	0.000031	0.004713
RTL10	3.550155	4.327720	0.000034	0.005008
STPG3	3.549438	4.326667	0.000034	0.005008
GNB1L	3.548910	4.325892	0.000034	0.005008
AGPAT3	3.548305	4.325004	0.000035	0.005008
RTN4R	3.547910	4.324424	0.000035	0.005008
CFAP410	3.539825	4.312552	0.000037	0.005234
NUBP2	3.527655	4.294680	0.000039	0.005612
SPOUT1	3.519112	4.282136	0.000042	0.005880
AP4M1	3.505404	4.262006	0.000045	0.006363
RBAK-RBAKDN	3.501661	4.256510	0.000046	0.006466
CLIP2	3.500592	4.254940	0.000047	0.006466
AC120114.4	3.498336	4.251628	0.000047	0.006494
AL662899.1	3.497700	4.250693	0.000048	0.006494
GNAZ	3.496157	4.248428	0.000048	0.006512
RER1	3.492908	4.243657	0.000049	0.006600
MRPL10	3.484352	4.231092	0.000052	0.006915
TAZ	3.483097	4.229249	0.000052	0.006922
DGCR2	3.479296	4.223668	0.000053	0.007041
EPOR	3.473828	4.215639	0.000055	0.007235
ARMC12	3.470285	4.210437	0.000056	0.007347
AC023055.1	3.468906	4.208411	0.000057	0.007362
TBX10	3.462464	4.198952	0.000059	0.007611
SLC38A10	3.461109	4.196963	0.000060	0.007626
MFSD11	3.453614	4.185955	0.000063	0.007935
KAT8	3.450424	4.181272	0.000064	0.008002
NEMP1	3.450192	4.180931	0.000064	0.008002
TTYH2	3.432550	4.155025	0.000071	0.008858
IFITM2	3.420084	4.136720	0.000077	0.009497
CORO7	3.411359	4.123907	0.000081	0.009952
EIF1	3.409894	4.121756	0.000082	0.009979
