g.name	raw.score	z.score	p.value	q.value
C1orf74	8.940881	5.693544	0.000000	0.000676
ADAMTS1	8.811725	5.583263	0.000000	0.000676
SERPINB10	8.501388	5.318280	0.000000	0.001752
GPRC5A	8.457037	5.280411	0.000000	0.001752
IRS1	8.397394	5.229484	0.000000	0.001832
KRT16	8.352576	5.191216	0.000001	0.001864
METTL21A	8.310193	5.155027	0.000001	0.001926
NRARP	8.244937	5.099307	0.000001	0.002243
HBEGF	8.126794	4.998431	0.000001	0.003318
BHLHE40	8.054371	4.936592	0.000002	0.004060
KRT5	7.981638	4.874488	0.000003	0.005005
SFN	7.913938	4.816682	0.000004	0.006071
EDN1	7.888471	4.794937	0.000004	0.006221
NEK8	7.810579	4.728428	0.000006	0.007929
