g.name	raw.score	z.score	p.value	q.value
GABPB2	13.766822	7.287472	0.000000	0.000000
FIBP	13.313790	6.995254	0.000000	0.000000
CYR61	12.394423	6.402238	0.000000	0.000002
DNAJC22	11.642086	5.916961	0.000000	0.000040
GPR108	11.593107	5.885368	0.000000	0.000040
TRIP10	11.380969	5.748533	0.000000	0.000065
PTMA	11.364435	5.737868	0.000000	0.000065
ZNF462	11.355730	5.732254	0.000000	0.000065
EEF2	11.170412	5.612719	0.000000	0.000115
LUC7L2	11.139840	5.592998	0.000000	0.000116
HEXIM1	11.063720	5.543899	0.000000	0.000140
JAG1	10.979299	5.489446	0.000000	0.000175
ALCAM	10.673077	5.291924	0.000000	0.000471
IQGAP2	10.620954	5.258303	0.000000	0.000525
LZTS2	10.573184	5.227491	0.000000	0.000579
APMAP	10.486063	5.171295	0.000001	0.000729
ATP8B2	10.370991	5.097071	0.000001	0.001008
ABCA2	10.305003	5.054506	0.000001	0.001186
MAFB	10.245843	5.016347	0.000001	0.001211
ALG3	10.245588	5.016182	0.000001	0.001211
BAZ2A	10.245239	5.015957	0.000001	0.001211
ACBD4	10.239540	5.012281	0.000001	0.001211
DUSP1	10.187201	4.978521	0.000002	0.001374
NTRK2	10.123129	4.937193	0.000002	0.001619
CDC42EP2	10.108759	4.927924	0.000002	0.001630
EEF1AKMT4	10.072712	4.904673	0.000002	0.001759
KMT2D	10.021204	4.871448	0.000003	0.001996
RBM15	9.958156	4.830781	0.000003	0.002299
NEMF	9.953854	4.828006	0.000003	0.002299
BOLA1	9.909054	4.799109	0.000004	0.002497
PSMC3IP	9.906533	4.797482	0.000004	0.002497
EEF1AKMT4-ECE2	9.852831	4.762844	0.000005	0.002857
HIST2H2AB	9.808391	4.734179	0.000005	0.003161
CACNB3	9.800554	4.729124	0.000006	0.003161
ESAM	9.786579	4.720109	0.000006	0.003207
ACTR1A	9.748679	4.695662	0.000007	0.003501
FMC1	9.736290	4.687672	0.000007	0.003539
NUDT17	9.720168	4.677272	0.000007	0.003621
PIGO	9.690335	4.658029	0.000008	0.003862
NR4A1	9.668069	4.643667	0.000008	0.004028
GPSM3	9.631343	4.619978	0.000009	0.004382
MAP3K5	9.623932	4.615198	0.000009	0.004382
SOCS1	9.613201	4.608276	0.000010	0.004421
RSAD1	9.602701	4.601503	0.000010	0.004460
MISP3	9.495663	4.532460	0.000014	0.005906
CYB5D1	9.485898	4.526162	0.000014	0.005906
BCL6	9.485329	4.525795	0.000014	0.005906
RPP25L	9.456965	4.507500	0.000015	0.006284
CCDC85B	9.424086	4.486292	0.000017	0.006775
ENC1	9.403083	4.472744	0.000018	0.007058
VPS18	9.384554	4.460793	0.000019	0.007301
JUN	9.348342	4.437435	0.000021	0.007948
ZFP36L1	9.299309	4.405807	0.000024	0.008826
PLK2	9.292418	4.401362	0.000025	0.008826
CAMK2D	9.292285	4.401277	0.000025	0.008826
IDE	9.247497	4.372387	0.000028	0.009843
