g.name	raw.score	z.score	p.value	q.value
ID1	3.963981	10.485341	0.000000	0.000000
IGFBP1	3.942020	10.418199	0.000000	0.000000
DCAF11	3.762962	9.870763	0.000000	0.000000
IRF2BP1	3.750947	9.834032	0.000000	0.000000
PNN	3.719404	9.737596	0.000000	0.000000
FABP1	3.695818	9.665484	0.000000	0.000000
CLIC1	3.474567	8.989054	0.000000	0.000000
NRL	3.359788	8.638140	0.000000	0.000000
RBCK1	3.296401	8.444347	0.000000	0.000000
MSH5	3.285614	8.411368	0.000000	0.000000
SRC	3.266962	8.354342	0.000000	0.000000
FGA	3.233596	8.252333	0.000000	0.000000
MSH5-SAPCD1	3.167951	8.051638	0.000000	0.000000
LYRM1	3.119500	7.903506	0.000000	0.000000
SNTB1	3.077623	7.775476	0.000000	0.000000
DUSP6	3.024106	7.611859	0.000000	0.000000
G6PC	2.977971	7.470810	0.000000	0.000000
SLC2A4RG	2.976758	7.467101	0.000000	0.000000
ANKS4B	2.963999	7.428095	0.000000	0.000000
ZMYND8	2.936802	7.344945	0.000000	0.000000
AL121845.2	2.918139	7.287887	0.000000	0.000000
EPCAM	2.914376	7.276382	0.000000	0.000000
NR0B2	2.844049	7.061371	0.000000	0.000000
CAMK2N1	2.842859	7.057731	0.000000	0.000000
AMBP	2.778027	6.859520	0.000000	0.000000
GRB7	2.755716	6.791310	0.000000	0.000000
GLTPD2	2.741582	6.748098	0.000000	0.000000
APOA2	2.737603	6.735933	0.000000	0.000000
PGAP3	2.729769	6.711981	0.000000	0.000000
ERI2	2.713153	6.661182	0.000000	0.000000
AJUBA	2.713104	6.661034	0.000000	0.000000
DCUN1D3	2.707060	6.642554	0.000000	0.000000
DRC7	2.651312	6.472116	0.000000	0.000000
TRAPPC6B	2.636618	6.427193	0.000000	0.000000
CX3CL1	2.622789	6.384914	0.000000	0.000000
TMEM37	2.605587	6.332320	0.000000	0.000000
AL132780.3	2.594173	6.297426	0.000000	0.000001
F2	2.585981	6.272379	0.000000	0.000001
SNORC	2.574926	6.238582	0.000000	0.000001
ID2	2.535374	6.117658	0.000000	0.000001
HNF4A	2.533656	6.112407	0.000000	0.000001
TNRC18	2.528398	6.096330	0.000000	0.000002
AL121722.1	2.491924	5.984819	0.000000	0.000003
LIME1	2.474777	5.932395	0.000000	0.000004
EMC9	2.465383	5.903675	0.000000	0.000005
KHK	2.463368	5.897513	0.000000	0.000005
EIF6	2.451838	5.862263	0.000000	0.000006
AXIN2	2.424206	5.777783	0.000000	0.000009
SERPINF2	2.418835	5.761363	0.000000	0.000010
PCK1	2.417403	5.756986	0.000000	0.000010
PCK2	2.414667	5.748620	0.000000	0.000010
WDR82	2.413427	5.744829	0.000000	0.000010
AHSG	2.384304	5.655791	0.000000	0.000017
TUBB2B	2.362370	5.588733	0.000000	0.000024
AFP	2.356315	5.570220	0.000000	0.000026
RTKN	2.351085	5.554231	0.000000	0.000028
SLC34A1	2.343350	5.530582	0.000000	0.000031
TXNDC11	2.342274	5.527294	0.000000	0.000031
SERPINA1	2.336816	5.510607	0.000000	0.000034
ZC3H7A	2.328852	5.486258	0.000000	0.000038
GOLT1A	2.321778	5.464630	0.000000	0.000042
AL136295.3	2.311532	5.433307	0.000000	0.000049
GPX2	2.296449	5.387193	0.000000	0.000062
BCL2L1	2.276433	5.325997	0.000000	0.000085
GLYCTK	2.264566	5.289716	0.000000	0.000101
FLOT1	2.254721	5.259618	0.000000	0.000117
TUBA4B	2.246582	5.234733	0.000000	0.000131
UGT1A1	2.240094	5.214899	0.000000	0.000143
BPIFB2	2.226621	5.173706	0.000001	0.000175
DHRS2	2.225347	5.169813	0.000001	0.000176
AP4S1	2.222367	5.160701	0.000001	0.000182
PSME2	2.200980	5.095316	0.000001	0.000251
EVA1A	2.182644	5.039258	0.000001	0.000329
GPR39	2.181610	5.036095	0.000001	0.000330
FAM83C	2.179634	5.030054	0.000001	0.000335
SEPHS2	2.164153	4.982723	0.000002	0.000419
PRM3	2.162707	4.978303	0.000002	0.000423
BCL2L2-PABPN1	2.150703	4.941605	0.000002	0.000501
C5	2.148742	4.935607	0.000002	0.000510
SPHK1	2.145561	4.925882	0.000002	0.000528
RNASE8	2.141622	4.913841	0.000002	0.000553
RNF31	2.140815	4.911374	0.000002	0.000553
NFKBIA	2.139963	4.908768	0.000002	0.000553
C8A	2.139344	4.906877	0.000002	0.000553
STRN3	2.138516	4.904345	0.000002	0.000553
SP5	2.122593	4.855661	0.000003	0.000694
SMIM6	2.115463	4.833864	0.000003	0.000755
COQ10B	2.115355	4.833533	0.000003	0.000755
AGT	2.108951	4.813954	0.000004	0.000820
DDAH2	2.100794	4.789016	0.000004	0.000914
SEL1L	2.097292	4.778311	0.000004	0.000952
HAVCR1	2.095020	4.771363	0.000005	0.000973
LTB4R2	2.086044	4.743922	0.000005	0.001097
IER3	2.080532	4.727068	0.000006	0.001176
APOB	2.067709	4.687867	0.000007	0.001400
PRM1	2.063916	4.676269	0.000007	0.001463
FGFR4	2.062696	4.672541	0.000007	0.001473
FARP2	2.055690	4.651119	0.000008	0.001611
C6orf47	2.045490	4.619937	0.000009	0.001843
STK16	2.041479	4.607672	0.000010	0.001931
SERPINA10	2.034268	4.585628	0.000011	0.002116
GLB1L	2.033380	4.582913	0.000011	0.002122
KCNH6	2.031736	4.577885	0.000011	0.002151
SEMA4G	2.030629	4.574500	0.000011	0.002163
