g.name	raw.score	z.score	p.value	q.value
TM7SF2	3.838436	6.864461	0.000000	0.000000
NR4A1	3.776922	6.717028	0.000000	0.000000
DNAJC22	3.629058	6.362637	0.000000	0.000003
TMEM141	3.524527	6.112102	0.000000	0.000012
FRS3	3.492371	6.035031	0.000000	0.000014
ACBD4	3.488232	6.025112	0.000000	0.000014
NR6A1	3.483780	6.014441	0.000000	0.000014
RPL38	3.462852	5.964282	0.000000	0.000015
AL355987.3	3.458474	5.953790	0.000000	0.000015
TMEM253	3.455505	5.946675	0.000000	0.000015
RHOF	3.297935	5.569019	0.000000	0.000122
ERCC1	3.268582	5.498666	0.000000	0.000166
UPK2	3.253293	5.462023	0.000000	0.000189
PPM1J	3.208585	5.354870	0.000000	0.000315
TRIM46	3.159634	5.237546	0.000000	0.000549
ALG3	3.137099	5.183534	0.000001	0.000637
NBPF1	3.135659	5.180084	0.000001	0.000637
CALCB	3.133956	5.176001	0.000001	0.000637
UBE3D	3.100132	5.094933	0.000001	0.000877
SETD1B	3.099004	5.092232	0.000001	0.000877
EEF1AKMT4	3.095984	5.084992	0.000001	0.000877
VPS18	3.089148	5.068609	0.000001	0.000912
PRICKLE4	3.078989	5.044259	0.000001	0.000988
GORASP2	3.070330	5.023506	0.000001	0.001053
FOXD2	3.047912	4.969777	0.000002	0.001325
EEF1AKMT4-ECE2	3.030580	4.928237	0.000002	0.001567
PTMA	3.019215	4.900998	0.000002	0.001684
ABCC12	3.016819	4.895254	0.000002	0.001684
KRTCAP2	3.015487	4.892062	0.000003	0.001684
ADAMTS17	3.003637	4.863661	0.000003	0.001872
CHIT1	2.999081	4.852740	0.000003	0.001912
MFSD3	2.996141	4.845694	0.000003	0.001919
LZTS2	2.987674	4.825402	0.000004	0.002055
NDUFA4L2	2.973549	4.791547	0.000004	0.002349
AL365205.1	2.969168	4.781046	0.000004	0.002399
S100A2	2.966867	4.775533	0.000004	0.002399
EFNB2	2.950869	4.737189	0.000005	0.002733
HIC1	2.950783	4.736983	0.000005	0.002733
PPM1N	2.920376	4.664105	0.000008	0.003697
FGF8	2.919529	4.662075	0.000008	0.003697
RIPOR1	2.905743	4.629034	0.000009	0.004208
ZNHIT2	2.891976	4.596036	0.000010	0.004761
RGMB	2.890365	4.592177	0.000011	0.004761
INHBE	2.879484	4.566097	0.000012	0.005245
GLI1	2.873635	4.552079	0.000013	0.005466
TP53	2.871737	4.547531	0.000013	0.005466
PRMT1	2.866241	4.534357	0.000014	0.005647
NEK8	2.864914	4.531176	0.000014	0.005647
SEMA3B	2.854026	4.505080	0.000016	0.006226
COMTD1	2.849585	4.494436	0.000016	0.006404
MYO1F	2.844788	4.482940	0.000017	0.006613
CACNB3	2.841884	4.475980	0.000018	0.006633
ANKRD63	2.840658	4.473042	0.000018	0.006633
TOMM6	2.839285	4.469750	0.000018	0.006633
SLC4A9	2.829535	4.446381	0.000020	0.007229
KAZALD1	2.825677	4.437136	0.000021	0.007400
NEMF	2.812708	4.406052	0.000024	0.008344
IGF2	2.808443	4.395830	0.000025	0.008566
DSCAML1	2.807002	4.392376	0.000026	0.008566
CCDC85B	2.799218	4.373720	0.000028	0.009144
