g.name	raw.score	z.score	p.value	q.value
LAMC3	25.675139	11.977731	0.000000	0.000000
NUP214	24.503703	11.352763	0.000000	0.000000
BCR	23.324188	10.723484	0.000000	0.000000
NBPF1	23.124688	10.617050	0.000000	0.000000
ZNF280B	22.417856	10.239951	0.000000	0.000000
MAPK1	22.156173	10.100341	0.000000	0.000000
PRAME	21.009351	9.488505	0.000000	0.000000
AIF1L	20.579574	9.259216	0.000000	0.000000
RAB36	19.829460	8.859025	0.000000	0.000000
HSPA1B	19.740574	8.811604	0.000000	0.000000
ZNF280A	18.705361	8.259312	0.000000	0.000000
SAPCD1	18.683144	8.247458	0.000000	0.000000
PPM1F	18.173173	7.975386	0.000000	0.000000
RSPH14	18.084144	7.927888	0.000000	0.000000
SDF2L1	17.981916	7.873349	0.000000	0.000000
SNAP29	17.979243	7.871923	0.000000	0.000000
CLIC1	17.742847	7.745804	0.000000	0.000000
LY6G6F-LY6G6D	17.530347	7.632434	0.000000	0.000000
LY6G6F	17.217782	7.465679	0.000000	0.000000
USP41	16.713035	7.196393	0.000000	0.000000
YDJC	16.703381	7.191243	0.000000	0.000000
POLR1C	16.700728	7.189827	0.000000	0.000000
GNAZ	16.440213	7.050841	0.000000	0.000000
LY6G5B	16.337535	6.996062	0.000000	0.000000
MSH5	16.131361	6.886067	0.000000	0.000000
HIST1H4I	16.058332	6.847105	0.000000	0.000000
ZNF583	16.029970	6.831974	0.000000	0.000000
ARVCF	16.021297	6.827347	0.000000	0.000000
YPEL1	15.952168	6.790466	0.000000	0.000000
UBQLN3	15.905762	6.765709	0.000000	0.000000
TANGO2	15.650886	6.629730	0.000000	0.000000
ZSCAN31	15.620649	6.613599	0.000000	0.000000
MSH5-SAPCD1	15.557520	6.579919	0.000000	0.000000
BRI3BP	15.553812	6.577941	0.000000	0.000000
TOP3B	15.479460	6.538274	0.000000	0.000000
SERPIND1	15.395653	6.493562	0.000000	0.000000
CALR	15.352634	6.470611	0.000000	0.000000
KLHL22	15.303084	6.444176	0.000000	0.000000
QRFP	15.268218	6.425575	0.000000	0.000000
SNAPC5	15.255391	6.418731	0.000000	0.000000
CCT8L2	15.105604	6.338819	0.000000	0.000000
MED15	14.843911	6.199204	0.000000	0.000001
CRKL	14.645896	6.093562	0.000000	0.000002
FIBCD1	14.534842	6.034314	0.000000	0.000002
LRRC74B	14.422446	5.974350	0.000000	0.000003
RANBP1	14.230223	5.871798	0.000000	0.000006
C6orf48	13.778683	5.630899	0.000000	0.000022
PI4KA	13.713188	5.595957	0.000000	0.000026
FHL3	13.635361	5.554436	0.000000	0.000032
TENT5C	13.427149	5.443353	0.000000	0.000057
CLTCL1	13.415624	5.437204	0.000000	0.000058
HSPA1A	13.410450	5.434444	0.000000	0.000058
SEPT5	13.375267	5.415674	0.000000	0.000063
LY6G5C	13.239871	5.343439	0.000000	0.000091
RPL3L	13.175658	5.309181	0.000000	0.000107
CUTA	12.964901	5.196741	0.000001	0.000191
LSM2	12.922391	5.174062	0.000001	0.000211
AIFM3	12.856946	5.139146	0.000001	0.000248
SLC25A1	12.829649	5.124583	0.000001	0.000263
HIST1H3D	12.741589	5.077603	0.000001	0.000328
UFD1	12.723386	5.067891	0.000001	0.000340
BHLHE40	12.635589	5.021051	0.000001	0.000423
UBE2L3	12.566203	4.984033	0.000002	0.000501
DDAH2	12.381540	4.885514	0.000003	0.000803
GP1BB	12.368252	4.878425	0.000003	0.000818
DGCR8	12.143668	4.758608	0.000005	0.001436
NUP35	12.122718	4.747431	0.000005	0.001492
HIST1H2AD	12.068678	4.718601	0.000006	0.001685
PPIL2	12.038109	4.702292	0.000006	0.001794
GPC5	11.938287	4.649036	0.000008	0.002269
CPED1	11.903921	4.630702	0.000009	0.002415
FNDC10	11.901876	4.629611	0.000009	0.002415
USP21	11.849861	4.601860	0.000010	0.002679
CD55	11.848634	4.601205	0.000010	0.002679
TRIM3	11.824614	4.588391	0.000011	0.002776
RPS2	11.823441	4.587765	0.000011	0.002776
RAB34	11.817302	4.584490	0.000011	0.002782
SLC3A2	11.802059	4.576358	0.000011	0.002851
SELPLG	11.792792	4.571414	0.000012	0.002880
AL031777.3	11.762896	4.555464	0.000012	0.003059
MRPL40	11.749015	4.548058	0.000013	0.003125
ATP6V1G2-DDX39B	11.695054	4.519270	0.000015	0.003482
PRICKLE4	11.694361	4.518900	0.000015	0.003482
DDR1	11.633163	4.486251	0.000017	0.003980
GPC6	11.628906	4.483979	0.000017	0.003980
HIRA	11.457762	4.392673	0.000026	0.005900
AL365205.1	11.330446	4.324749	0.000035	0.007715
FASTK	11.329644	4.324321	0.000035	0.007715
RAP1GAP	11.327837	4.323357	0.000035	0.007715
RPL14	11.303025	4.310120	0.000037	0.008008
NFKBIL1	11.302064	4.309607	0.000037	0.008008
EPB41	11.296144	4.306449	0.000037	0.008024
VARS	11.291847	4.304156	0.000038	0.008024
SET	11.259535	4.286918	0.000041	0.008550
RTL10	11.254158	4.284049	0.000041	0.008566
SMARCC1	11.234173	4.273387	0.000043	0.008873
GNB1L	11.211431	4.261254	0.000045	0.009249
