g.name	raw.score	z.score	p.value	q.value
KMT2A	2.783525	9.901677	0.000000	0.000000
NOP9	2.527865	8.852598	0.000000	0.000000
DHRS1	2.518776	8.815302	0.000000	0.000000
CLEC16A	2.469701	8.613923	0.000000	0.000000
GZF1	2.448272	8.525991	0.000000	0.000000
ALG1	2.374653	8.223901	0.000000	0.000000
NEURL2	2.374429	8.222982	0.000000	0.000000
CWC25	2.259361	7.750811	0.000000	0.000000
ATP6V0D1	2.245145	7.692476	0.000000	0.000000
AL136295.1	2.180574	7.427512	0.000000	0.000000
NAGPA	2.168426	7.377666	0.000000	0.000000
AC009690.1	2.163644	7.358041	0.000000	0.000000
SSNA1	2.147197	7.290554	0.000000	0.000000
AP5Z1	2.143602	7.275803	0.000000	0.000000
CNPPD1	2.110180	7.138656	0.000000	0.000000
FAF1	2.104788	7.116532	0.000000	0.000000
NEURL4	2.079616	7.013238	0.000000	0.000000
ORMDL3	2.070582	6.976171	0.000000	0.000000
ANAPC2	2.052419	6.901639	0.000000	0.000000
GAA	2.042593	6.861320	0.000000	0.000000
CTU2	2.033287	6.823132	0.000000	0.000000
RNF166	2.002851	6.698242	0.000000	0.000000
CHMP4B	1.990532	6.647689	0.000000	0.000000
BCL2L2-PABPN1	1.980468	6.606394	0.000000	0.000000
CRLS1	1.977259	6.593227	0.000000	0.000000
TBL3	1.918608	6.352555	0.000000	0.000001
CTNNBL1	1.910931	6.321053	0.000000	0.000001
NCOA5	1.904717	6.295552	0.000000	0.000001
TRMT61B	1.902360	6.285883	0.000000	0.000001
CHMP4A	1.888323	6.228284	0.000000	0.000001
NOC4L	1.887875	6.226444	0.000000	0.000001
MCOLN1	1.862509	6.122357	0.000000	0.000002
PHKB	1.847796	6.061985	0.000000	0.000002
CIAO3	1.839141	6.026467	0.000000	0.000003
GNPTG	1.837842	6.021136	0.000000	0.000003
CUTA	1.831661	5.995775	0.000000	0.000003
TSR3	1.829579	5.987230	0.000000	0.000003
DDX51	1.818034	5.939855	0.000000	0.000004
EMC8	1.808476	5.900636	0.000000	0.000005
C16orf70	1.786283	5.809569	0.000000	0.000009
ZNF133	1.772802	5.754250	0.000000	0.000012
AL132780.3	1.748360	5.653957	0.000000	0.000021
PKN2	1.734371	5.596552	0.000000	0.000029
BOD1	1.728811	5.573739	0.000000	0.000031
AP5S1	1.728586	5.572812	0.000000	0.000031
GALNS	1.725472	5.560037	0.000000	0.000033
AMDHD2	1.712019	5.504834	0.000000	0.000044
ABT1	1.709718	5.495390	0.000000	0.000045
ARMT1	1.692460	5.424575	0.000000	0.000065
GATC	1.684551	5.392121	0.000000	0.000076
TRIAP1	1.671687	5.339334	0.000000	0.000099
WASHC5	1.668706	5.327100	0.000000	0.000103
BAX	1.666460	5.317884	0.000000	0.000106
AJUBA	1.662843	5.303042	0.000000	0.000113
RMND1	1.660477	5.293333	0.000000	0.000117
VAMP8	1.655708	5.273766	0.000000	0.000127
GGCX	1.647814	5.241372	0.000000	0.000148
TULP4	1.636813	5.196229	0.000001	0.000183
DNTTIP1	1.636366	5.194395	0.000001	0.000183
WFDC3	1.634682	5.187487	0.000001	0.000187
IST1	1.623249	5.140573	0.000001	0.000231
ATXN1L	1.623130	5.140082	0.000001	0.000231
IDH3B	1.620607	5.129730	0.000001	0.000238
LTB4R2	1.620221	5.128145	0.000001	0.000238
PIP4P1	1.619482	5.125113	0.000001	0.000238
NUP153	1.612165	5.095087	0.000001	0.000274
DHX35	1.610106	5.086639	0.000001	0.000281
RPIA	1.595315	5.025946	0.000001	0.000373
CENPBD1	1.595119	5.025142	0.000001	0.000373
DZANK1	1.581378	4.968756	0.000002	0.000488
PPIL4	1.579667	4.961736	0.000002	0.000498
EMC9	1.576610	4.949190	0.000002	0.000522
SSU72	1.575998	4.946682	0.000002	0.000522
KAT5	1.568482	4.915838	0.000002	0.000600
PPP1R3E	1.567343	4.911164	0.000002	0.000605
MAFG	1.564626	4.900015	0.000002	0.000631
TBC1D8	1.564020	4.897529	0.000002	0.000631
RBM15B	1.556462	4.866516	0.000003	0.000724
EIF2S2	1.550166	4.840680	0.000003	0.000811
TIMM13	1.549166	4.836577	0.000003	0.000817
RPUSD4	1.545415	4.821186	0.000004	0.000869
DNPH1	1.540179	4.799699	0.000004	0.000952
APEX1	1.539500	4.796914	0.000004	0.000954
PSMB6	1.537895	4.790327	0.000004	0.000973
OSGEP	1.535771	4.781611	0.000004	0.001002
MDP1	1.519352	4.714236	0.000006	0.001364
TMEM230	1.515677	4.699157	0.000006	0.001448
CDK8	1.509562	4.674065	0.000007	0.001594
CNOT11	1.509517	4.673881	0.000007	0.001594
ARFGEF2	1.507948	4.667443	0.000007	0.001625
CAPN10	1.504308	4.652507	0.000008	0.001723
ZFHX2	1.494585	4.612608	0.000010	0.002050
PRPF6	1.492699	4.604869	0.000010	0.002059
APOPT1	1.492684	4.604808	0.000010	0.002059
AL139300.1	1.492684	4.604808	0.000010	0.002059
NSMCE2	1.488539	4.587798	0.000011	0.002203
RPS6KB2	1.487204	4.582319	0.000011	0.002236
MTHFSD	1.486265	4.578467	0.000011	0.002253
CLCN6	1.483134	4.565619	0.000012	0.002349
EIF2B1	1.482983	4.564998	0.000012	0.002349
GTF2H3	1.475673	4.535003	0.000014	0.002666
CACUL1	1.472032	4.520062	0.000015	0.002800
NDUFA10	1.471979	4.519846	0.000015	0.002800
HSPE1	1.467112	4.499875	0.000016	0.003035
MARCH8	1.461729	4.477784	0.000018	0.003320
IRF9	1.456769	4.457432	0.000019	0.003602
TMEM208	1.453810	4.445292	0.000020	0.003767
UCKL1	1.452222	4.438773	0.000021	0.003817
DVL2	1.452078	4.438185	0.000021	0.003817
IPO4	1.449529	4.427723	0.000022	0.003962
ZC3H18	1.445089	4.409503	0.000024	0.004256
EFTUD2	1.439131	4.385057	0.000027	0.004697
THTPA	1.434145	4.364597	0.000029	0.005092
AC138894.1	1.433335	4.361274	0.000030	0.005093
MLX	1.433156	4.360538	0.000030	0.005093
CFL2	1.431730	4.354687	0.000030	0.005180
RABGGTA	1.430878	4.351192	0.000031	0.005215
HERPUD1	1.429339	4.344875	0.000032	0.005315
WWP2	1.427187	4.336044	0.000033	0.005477
C16orf91	1.420292	4.307753	0.000037	0.006138
BCKDK	1.417834	4.297664	0.000039	0.006358
BAG5	1.415106	4.286472	0.000041	0.006616
RRP1	1.411774	4.272797	0.000043	0.006959
MTCH1	1.410681	4.268312	0.000044	0.007036
LRRC29	1.409790	4.264658	0.000045	0.007090
CBLN3	1.407911	4.256946	0.000046	0.007269
NEDD8	1.402807	4.236004	0.000051	0.007883
TPD52L2	1.400768	4.227637	0.000052	0.008101
UTP25	1.400347	4.225911	0.000053	0.008101
TINF2	1.398074	4.216580	0.000055	0.008362
NRL	1.392038	4.191816	0.000061	0.009209
FAM187A	1.390706	4.186346	0.000062	0.009352
