g.name	raw.score	z.score	p.value	q.value
TM9SF1	11.475965	5.923114	0.000000	0.000191
HECTD1	11.284217	5.800677	0.000000	0.000196
TINF2	11.044426	5.647564	0.000000	0.000270
PCK2	10.928554	5.573576	0.000000	0.000270
ID1	10.895050	5.552183	0.000000	0.000270
IPO4	10.893181	5.550990	0.000000	0.000270
EMC9	10.808251	5.496759	0.000000	0.000312
DCAF11	10.747921	5.458236	0.000000	0.000337
UCKL1	10.490204	5.293677	0.000000	0.000658
NBPF1	10.486730	5.291458	0.000000	0.000658
SLC17A9	10.459741	5.274225	0.000000	0.000658
PNN	10.234256	5.130246	0.000001	0.001276
AL132780.3	10.068322	5.024292	0.000001	0.002018
TCEA2	9.870452	4.897947	0.000002	0.003507
ZFHX2	9.621407	4.738924	0.000005	0.006241
AL121845.2	9.619757	4.737871	0.000005	0.006241
THTPA	9.611051	4.732312	0.000005	0.006241
SOX18	9.601017	4.725904	0.000006	0.006241
AL136295.1	9.541954	4.688191	0.000007	0.007061
