g.name	raw.score	z.score	p.value	q.value
RGMB	10.941165	6.703440	0.000000	0.000001
PTMA	10.216955	6.139296	0.000000	0.000026
MISP3	9.640356	5.690137	0.000000	0.000206
UPK2	9.591613	5.652168	0.000000	0.000206
COL12A1	9.553132	5.622191	0.000000	0.000206
TMEM141	9.509505	5.588207	0.000000	0.000206
ATP8B2	9.480058	5.565268	0.000000	0.000206
MYC	9.457146	5.547421	0.000000	0.000206
ADAMTS1	9.409612	5.510392	0.000000	0.000225
AL355987.3	9.360140	5.471854	0.000000	0.000250
IRS1	9.234174	5.373730	0.000000	0.000388
NR6A1	9.069016	5.245075	0.000000	0.000704
HIC1	9.016171	5.203910	0.000001	0.000752
BCL6	9.014893	5.202915	0.000001	0.000752
GNAT1	8.888935	5.104796	0.000001	0.001163
CALCB	8.835037	5.062810	0.000001	0.001350
PLEC	8.768719	5.011150	0.000001	0.001648
PHAX	8.704355	4.961012	0.000002	0.001999
NEMF	8.644153	4.914116	0.000002	0.002387
NR4A1	8.615685	4.891940	0.000003	0.002528
RSAD1	8.588251	4.870569	0.000003	0.002672
PLK2	8.562030	4.850143	0.000003	0.002817
FRS3	8.516620	4.814770	0.000004	0.003197
BCL9L	8.387256	4.713998	0.000006	0.004952
PITPNC1	8.337619	4.675332	0.000007	0.005700
ATXN1	8.277695	4.628653	0.000009	0.006810
ZFP36L2	8.244650	4.602911	0.000010	0.007385
PPM1J	8.224584	4.587280	0.000011	0.007651
FOXD2	8.208287	4.574585	0.000011	0.007830
PLXNA2	8.178209	4.551155	0.000013	0.008423
DNAJC22	8.163820	4.539946	0.000013	0.008577
CBX4	8.139945	4.521349	0.000015	0.009040
TM7SF2	8.121587	4.507048	0.000015	0.009248
TMEM253	8.116221	4.502868	0.000016	0.009248
VPS18	8.090450	4.482793	0.000017	0.009831
