g.name	raw.score	z.score	p.value	q.value
SDF2L1	17.344531	9.486897	0.000000	0.000000
ZNF280A	17.185504	9.384165	0.000000	0.000000
BCR	17.170509	9.374478	0.000000	0.000000
CCDC116	16.742849	9.098209	0.000000	0.000000
YDJC	14.829461	7.862155	0.000000	0.000000
ZNF280B	14.581051	7.701682	0.000000	0.000000
TXNRD2	14.173939	7.438687	0.000000	0.000000
NUP214	13.761527	7.172268	0.000000	0.000000
HSPA1B	13.658972	7.106017	0.000000	0.000000
COMT	13.494442	6.999731	0.000000	0.000000
CRKL	13.438684	6.963711	0.000000	0.000000
NBPF1	12.825240	6.567424	0.000000	0.000000
DDAH2	12.695544	6.483640	0.000000	0.000000
PRAME	12.544840	6.386285	0.000000	0.000001
SNAP29	12.525722	6.373935	0.000000	0.000001
RTL10	12.339891	6.253888	0.000000	0.000002
GNB1L	12.299885	6.228044	0.000000	0.000002
BHLHE40	12.254583	6.198778	0.000000	0.000002
PI4KA	12.128004	6.117008	0.000000	0.000003
MAD2L1BP	11.336053	5.605406	0.000000	0.000057
C6orf48	11.297117	5.580253	0.000000	0.000063
GP1BB	11.248170	5.548633	0.000000	0.000071
PPIL2	11.196207	5.515065	0.000000	0.000082
DGCR8	11.099068	5.452313	0.000000	0.000111
SLC2A1	10.832381	5.280033	0.000000	0.000270
HIST1H4K	10.737046	5.218446	0.000000	0.000359
CLIC1	10.688384	5.187010	0.000001	0.000405
HIST1H4I	10.676182	5.179128	0.000001	0.000405
MSH5-SAPCD1	10.670375	5.175377	0.000001	0.000405
P2RX6	10.618061	5.141582	0.000001	0.000466
MSH5	10.597851	5.128526	0.000001	0.000483
AIF1L	10.583483	5.119244	0.000001	0.000491
TANGO2	10.538008	5.089867	0.000001	0.000554
ARVCF	10.487201	5.057046	0.000001	0.000635
KLHL22	10.428804	5.019321	0.000001	0.000747
SEPT5-GP1BB	10.363294	4.977002	0.000002	0.000898
YPEL1	10.347069	4.966520	0.000002	0.000921
MED15	10.300302	4.936309	0.000002	0.001042
RHAG	10.279502	4.922872	0.000002	0.001086
PPP1R15A	10.240436	4.897635	0.000002	0.001199
USP48	10.166297	4.849741	0.000003	0.001478
MRPL40	10.151362	4.840093	0.000003	0.001493
ZC3HAV1	10.148325	4.838131	0.000003	0.001493
MDM4	10.009532	4.748470	0.000005	0.002243
LUZP6	9.950811	4.710536	0.000006	0.002592
GTPBP2	9.942532	4.705188	0.000006	0.002592
FAM89A	9.941092	4.704258	0.000006	0.002592
FIBCD1	9.813140	4.621601	0.000009	0.003733
HIST1H3D	9.797123	4.611253	0.000010	0.003837
PDCD6IP	9.770574	4.594103	0.000010	0.004071
NQO2	9.621834	4.498017	0.000016	0.006180
DDR1	9.566339	4.462166	0.000019	0.007120
HIST1H4E	9.538904	4.444443	0.000020	0.007562
RPS6KC1	9.479139	4.405835	0.000024	0.008808
HSPA1L	9.471349	4.400803	0.000025	0.008844
WDR60	9.453878	4.389516	0.000026	0.009131
