g.name	raw.score	z.score	p.value	q.value
DUSP1	1.756955	13.552926	0.000000	0.000000
AMIGO2	1.422761	10.510220	0.000000	0.000000
PLEKHG2	1.401200	10.313908	0.000000	0.000000
PCED1B	1.394601	10.253830	0.000000	0.000000
FTH1	1.333872	9.700913	0.000000	0.000000
ZNF281	1.232023	8.773613	0.000000	0.000000
ID1	1.231023	8.764511	0.000000	0.000000
RHOB	1.208032	8.555189	0.000000	0.000000
FKBP5	1.175190	8.256173	0.000000	0.000000
NFKBIA	1.124548	7.795100	0.000000	0.000000
RHCG	1.030283	6.936853	0.000000	0.000000
SLC22A5	1.027458	6.911125	0.000000	0.000000
PON2	1.015930	6.806174	0.000000	0.000000
JRK	1.001696	6.676577	0.000000	0.000000
STOM	0.994997	6.615580	0.000000	0.000000
KLF9	0.970626	6.393696	0.000000	0.000001
TNS4	0.968251	6.372073	0.000000	0.000001
B4GALT1	0.940190	6.116584	0.000000	0.000003
AKR1B10	0.920794	5.939992	0.000000	0.000009
AL049839.2	0.908435	5.827467	0.000000	0.000016
TOGARAM2	0.907114	5.815444	0.000000	0.000016
AICDA	0.894697	5.702391	0.000000	0.000030
SUPT5H	0.893329	5.689930	0.000000	0.000031
RHOBTB2	0.889695	5.656851	0.000000	0.000036
RPS16	0.883763	5.602838	0.000000	0.000046
MBOAT2	0.883366	5.599223	0.000000	0.000046
FGL1	0.865195	5.433787	0.000000	0.000107
TCIM	0.865016	5.432152	0.000000	0.000107
UPK2	0.864216	5.424868	0.000000	0.000108
MT2A	0.861081	5.396331	0.000000	0.000122
CCDC80	0.859930	5.385852	0.000000	0.000125
KYNU	0.856702	5.356458	0.000000	0.000142
BCL9L	0.850153	5.296834	0.000000	0.000189
PER1	0.844291	5.243462	0.000000	0.000243
BCL3	0.834808	5.157125	0.000001	0.000371
UGT1A6	0.827683	5.092253	0.000001	0.000503
NBPF1	0.814977	4.976566	0.000002	0.000876
ZFAND5	0.807512	4.908605	0.000002	0.001195
RBCK1	0.806262	4.897225	0.000002	0.001232
SCNN1A	0.803427	4.871410	0.000003	0.001363
CEBPG	0.802618	4.864042	0.000003	0.001379
CIDEC	0.801248	4.851571	0.000003	0.001431
CSNK1D	0.798901	4.830202	0.000003	0.001551
COQ8B	0.797113	4.813921	0.000004	0.001612
TM4SF20	0.797008	4.812964	0.000004	0.001612
PYGB	0.792826	4.774892	0.000004	0.001894
ACP7	0.791225	4.760311	0.000005	0.001988
FAM174B	0.785187	4.705342	0.000006	0.002526
GSAP	0.782948	4.684953	0.000007	0.002724
ITPKC	0.775576	4.617834	0.000009	0.003650
TSKU	0.766490	4.535116	0.000014	0.005227
ITGB1	0.761104	4.486074	0.000017	0.006398
AKR1C2	0.753384	4.415784	0.000023	0.008586
ADAM9	0.751989	4.403085	0.000025	0.008915
