g.name	raw.score	z.score	p.value	q.value
AXL	1.516754	7.843520	0.000000	0.000000
PLEKHG2	1.435528	7.299311	0.000000	0.000000
UBC	1.379586	6.924510	0.000000	0.000000
ABCC3	1.356698	6.771164	0.000000	0.000000
DUSP1	1.319096	6.519236	0.000000	0.000001
COQ8B	1.318078	6.512416	0.000000	0.000001
ITPKC	1.313937	6.484671	0.000000	0.000001
ANXA2	1.275745	6.228787	0.000000	0.000003
AKR1B10	1.267877	6.176075	0.000000	0.000004
FAM174B	1.252872	6.075542	0.000000	0.000007
S100A10	1.179911	5.586711	0.000000	0.000111
TRIB1	1.125173	5.219979	0.000000	0.000741
ACTN4	1.122045	5.199017	0.000001	0.000767
GIP	1.107382	5.100781	0.000001	0.001187
RARA	1.102710	5.069477	0.000001	0.001230
RHOB	1.101605	5.062076	0.000001	0.001230
ITGA3	1.100975	5.057856	0.000001	0.001230
AHNAK	1.099116	5.045399	0.000001	0.001241
MAP3K14	1.089276	4.979472	0.000002	0.001641
BCL3	1.084189	4.945387	0.000002	0.001851
USP3	1.073566	4.874219	0.000003	0.002506
CAPN2	1.064714	4.814906	0.000004	0.003050
ITGB1	1.064435	4.813039	0.000004	0.003050
CLU	1.063564	4.807206	0.000004	0.003050
TGFBR2	1.058455	4.772971	0.000005	0.003455
NBPF1	1.039896	4.648632	0.000008	0.005806
RPS16	1.039662	4.647064	0.000008	0.005806
PON2	1.036769	4.627681	0.000009	0.006133
CCDC80	1.032357	4.598123	0.000010	0.006794
PCED1B	1.029466	4.578755	0.000011	0.007186
SUPT5H	1.028186	4.570175	0.000012	0.007240
