g.name	raw.score	z.score	p.value	q.value
BCL2L2-PABPN1	1.532018	8.092134	0.000000	0.000000
SOX12	1.441300	7.504424	0.000000	0.000000
TGIF2	1.427393	7.414329	0.000000	0.000000
ID1	1.372736	7.060238	0.000000	0.000000
AJUBA	1.335464	6.818777	0.000000	0.000000
PPP1R3E	1.324581	6.748271	0.000000	0.000000
DCAF11	1.291309	6.532722	0.000000	0.000001
BRD2	1.288521	6.514661	0.000000	0.000001
ARHGAP5	1.277696	6.444530	0.000000	0.000001
CEBPB	1.258349	6.319190	0.000000	0.000001
SPRED2	1.257559	6.314073	0.000000	0.000001
HLA-DMA	1.244279	6.228037	0.000000	0.000002
CSNK2A1	1.243612	6.223716	0.000000	0.000002
CBX4	1.230103	6.136203	0.000000	0.000004
RBM39	1.215640	6.042501	0.000000	0.000006
REV3L	1.193235	5.897354	0.000000	0.000013
MIDN	1.191718	5.887528	0.000000	0.000013
BCL2L2	1.173912	5.772172	0.000000	0.000024
NRL	1.172338	5.761976	0.000000	0.000025
CTDSP1	1.161014	5.688610	0.000000	0.000035
PIM3	1.160416	5.684737	0.000000	0.000035
HSPE1	1.145768	5.589841	0.000000	0.000057
SRSF2	1.124810	5.454065	0.000000	0.000115
ZFP36L2	1.107456	5.341639	0.000000	0.000203
HOMEZ	1.101194	5.301071	0.000000	0.000242
TGIF2-RAB5IF	1.097254	5.275550	0.000000	0.000260
MAZ	1.096916	5.273356	0.000000	0.000260
CIRBP	1.092603	5.245415	0.000000	0.000291
KIAA2026	1.091051	5.235363	0.000000	0.000296
HEXIM1	1.088119	5.216367	0.000000	0.000316
RANBP6	1.078436	5.153640	0.000001	0.000424
OSER1	1.070953	5.105159	0.000001	0.000528
NRSN2	1.061311	5.042693	0.000001	0.000703
EMC9	1.049036	4.963170	0.000002	0.001017
RRBP1	1.046276	4.945292	0.000002	0.001058
SEPT2	1.046084	4.944046	0.000002	0.001058
CBX8	1.042506	4.920869	0.000002	0.001154
JAG1	1.037837	4.890619	0.000003	0.001305
PRRT2	1.034274	4.867535	0.000003	0.001424
CUL3	1.032755	4.857699	0.000003	0.001457
RAB1A	1.030276	4.841637	0.000003	0.001517
CARHSP1	1.029952	4.839540	0.000003	0.001517
PLXNB1	1.024802	4.806172	0.000004	0.001742
AC009133.6	1.019384	4.771074	0.000005	0.002015
RALY	1.018223	4.763551	0.000005	0.002035
AL121845.2	1.017648	4.759824	0.000005	0.002035
RNF31	1.016132	4.750003	0.000005	0.002088
LAMA5	1.010512	4.713595	0.000006	0.002430
PCK2	1.008064	4.697737	0.000006	0.002566
SLC39A7	1.001201	4.653275	0.000008	0.003097
LZTS3	0.998821	4.637854	0.000009	0.003263
SKIDA1	0.997028	4.626238	0.000009	0.003378
TSEN54	0.993552	4.603719	0.000010	0.003679
MFSD11	0.989806	4.579453	0.000011	0.004037
SOCS1	0.988227	4.569227	0.000012	0.004155
ZNFX1	0.983202	4.536668	0.000014	0.004735
SP2	0.981138	4.523296	0.000014	0.004877
BHLHE40	0.981018	4.522523	0.000014	0.004877
RXRB	0.978714	4.507595	0.000015	0.005130
SCFD1	0.978078	4.503473	0.000016	0.005140
ADRM1	0.964589	4.416087	0.000023	0.007411
SRCAP	0.964298	4.414205	0.000023	0.007411
POLR2A	0.963659	4.410060	0.000024	0.007429
HIVEP1	0.961088	4.393405	0.000026	0.007824
NFKBIA	0.960237	4.387894	0.000026	0.007824
SLC17A9	0.960235	4.387883	0.000026	0.007824
TTC6	0.956280	4.362260	0.000029	0.008623
DUSP1	0.954931	4.353519	0.000031	0.008733
ZBTB4	0.954805	4.352703	0.000031	0.008733
