g.name	raw.score	z.score	p.value	q.value
ZNF341	3.660722	17.181974	0.000000	0.000000
KYNU	2.514897	11.278723	0.000000	0.000000
AL355916.2	2.377468	10.570697	0.000000	0.000000
NFAT5	2.235754	9.840590	0.000000	0.000000
IL24	2.054897	8.908820	0.000000	0.000000
HSPA5	1.831000	7.755312	0.000000	0.000000
BHLHE40	1.823516	7.716754	0.000000	0.000000
GPRC5A	1.784000	7.513170	0.000000	0.000000
PPP1R2	1.678198	6.968084	0.000000	0.000000
SLC34A3	1.655373	6.850488	0.000000	0.000000
DDB2	1.634817	6.744587	0.000000	0.000000
MYC	1.611730	6.625642	0.000000	0.000000
FTH1	1.600929	6.569993	0.000000	0.000000
FRMD8	1.586579	6.496066	0.000000	0.000000
JUNB	1.569556	6.408360	0.000000	0.000001
DDA1	1.564746	6.383582	0.000000	0.000001
PTP4A1	1.529659	6.202813	0.000000	0.000002
COBL	1.526500	6.186539	0.000000	0.000002
IER3	1.522960	6.168303	0.000000	0.000002
KRT80	1.507786	6.090124	0.000000	0.000003
KRT8	1.504278	6.072051	0.000000	0.000004
TES	1.502619	6.063506	0.000000	0.000004
CDC42EP2	1.497325	6.036233	0.000000	0.000004
TRAPPC9	1.491992	6.008756	0.000000	0.000005
DRAP1	1.478643	5.939981	0.000000	0.000007
AGPAT2	1.475984	5.926284	0.000000	0.000007
TM4SF1	1.464611	5.867690	0.000000	0.000009
ALDH3B1	1.450508	5.795031	0.000000	0.000014
FBXO31	1.450135	5.793109	0.000000	0.000014
CYR61	1.413722	5.605513	0.000000	0.000039
PRR5L	1.407333	5.572597	0.000000	0.000045
MYEOV	1.404675	5.558900	0.000000	0.000047
AQP6	1.397452	5.521691	0.000000	0.000056
CFL1	1.383325	5.448909	0.000000	0.000081
TPRA1	1.374063	5.401192	0.000000	0.000102
CHMP1B	1.362183	5.339982	0.000000	0.000138
S100A16	1.359595	5.326652	0.000000	0.000144
STK11	1.344492	5.248841	0.000000	0.000212
FAM166A	1.341865	5.235307	0.000000	0.000222
ATF3	1.334429	5.196995	0.000001	0.000259
CREB3L4	1.334151	5.195563	0.000001	0.000259
SEPT9	1.333516	5.192292	0.000001	0.000259
MADD	1.326048	5.153816	0.000001	0.000308
SETD1A	1.324365	5.145148	0.000001	0.000312
PLD1	1.323944	5.142981	0.000001	0.000312
PPP1R15A	1.320579	5.125644	0.000001	0.000334
S100A13	1.316651	5.105404	0.000001	0.000362
SH2D3C	1.315222	5.098044	0.000001	0.000369
STIP1	1.312675	5.084919	0.000001	0.000386
CIRBP	1.309008	5.066028	0.000001	0.000417
MEF2D	1.301087	5.025222	0.000001	0.000502
LPP	1.292794	4.982493	0.000002	0.000610
RNF224	1.285468	4.944753	0.000002	0.000722
KLRK1	1.281817	4.925944	0.000002	0.000778
MCM2	1.278794	4.910365	0.000002	0.000825
ARFGAP2	1.272040	4.875569	0.000003	0.000961
FUT7	1.269143	4.860645	0.000003	0.001015
LDLR	1.258556	4.806100	0.000004	0.001299
AC012531.2	1.256952	4.797840	0.000004	0.001329
FZD10	1.251460	4.769545	0.000005	0.001497
ZMYND8	1.247357	4.748406	0.000005	0.001629
WEE1	1.245214	4.737366	0.000005	0.001689
C4BPB	1.239413	4.707476	0.000006	0.001915
SLC22A4	1.233063	4.674765	0.000007	0.002198
COMMD9	1.231198	4.665157	0.000007	0.002264
NR1H3	1.227683	4.647043	0.000008	0.002427
UPK2	1.224484	4.630565	0.000009	0.002581
FAM9B	1.212206	4.567310	0.000012	0.003359
ST6GALNAC4	1.212135	4.566942	0.000012	0.003359
CYSRT1	1.209563	4.553694	0.000013	0.003518
S100A11	1.203500	4.522455	0.000014	0.003998
DEPDC7	1.201270	4.510966	0.000015	0.004153
STX1A	1.198786	4.498168	0.000016	0.004314
LAMA5	1.198460	4.496491	0.000016	0.004314
DUSP1	1.196254	4.485124	0.000017	0.004481
CDC42EP4	1.193222	4.469505	0.000018	0.004743
MUS81	1.191405	4.460141	0.000019	0.004882
C11orf68	1.189032	4.447915	0.000020	0.005090
MPDU1	1.188373	4.444522	0.000020	0.005103
CDKN1A	1.185397	4.429188	0.000022	0.005394
SIN3A	1.184317	4.423628	0.000022	0.005461
HDAC7	1.183103	4.417372	0.000023	0.005547
PPP1R15B	1.180206	4.402447	0.000025	0.005854
SLC11A2	1.177810	4.390099	0.000026	0.006107
KIF21B	1.158849	4.292416	0.000040	0.009225
AP003419.1	1.154698	4.271031	0.000044	0.009993
