g.name	raw.score	z.score	p.value	q.value
FGF8	67.170297	12.105978	0.000000	0.000000
UBE2E1	66.555455	11.986308	0.000000	0.000000
CUL4A	64.037594	11.496246	0.000000	0.000000
MINOS1	63.307208	11.354087	0.000000	0.000000
MTMR4	61.675901	11.036579	0.000000	0.000000
FIBCD1	59.975168	10.705557	0.000000	0.000000
NGFR	59.940307	10.698772	0.000000	0.000000
UBL4B	59.380980	10.589908	0.000000	0.000000
PRPSAP1	59.289653	10.572132	0.000000	0.000000
KMT5C	58.500941	10.418622	0.000000	0.000000
SH3GL3	58.158792	10.352028	0.000000	0.000000
AKAP13	57.779782	10.278259	0.000000	0.000000
KCTD2	57.199297	10.165277	0.000000	0.000000
EIF4A2	56.977733	10.122153	0.000000	0.000000
PARP10	54.834485	9.705003	0.000000	0.000000
ZNF653	54.545574	9.648771	0.000000	0.000000
ENAH	53.326079	9.411415	0.000000	0.000000
KCNH4	53.132574	9.373752	0.000000	0.000000
SFN	52.901059	9.328691	0.000000	0.000000
DCDC2	52.644416	9.278740	0.000000	0.000000
USP36	52.477693	9.246290	0.000000	0.000000
SLC25A34	52.454515	9.241778	0.000000	0.000000
POP4	51.991762	9.151711	0.000000	0.000000
SPTAN1	51.595040	9.074495	0.000000	0.000000
RCC2	51.089218	8.976045	0.000000	0.000000
ELOVL4	50.118139	8.787039	0.000000	0.000000
SCGB2B2	49.715436	8.708659	0.000000	0.000000
VAX2	49.603386	8.686850	0.000000	0.000000
SYN2	49.571257	8.680597	0.000000	0.000000
SLC17A9	48.863188	8.542782	0.000000	0.000000
KAT8	48.613069	8.494101	0.000000	0.000000
CCL26	47.864733	8.348448	0.000000	0.000000
GSK3A	47.852624	8.346092	0.000000	0.000000
GPR101	47.759257	8.327919	0.000000	0.000000
CNNM4	47.650386	8.306729	0.000000	0.000000
ADCK2	47.357871	8.249796	0.000000	0.000000
UBE3D	47.181832	8.215532	0.000000	0.000000
QPCT	47.178782	8.214939	0.000000	0.000000
AC008763.3	47.139762	8.207344	0.000000	0.000000
LUC7L3	47.015693	8.183196	0.000000	0.000000
DAG1	46.369317	8.057389	0.000000	0.000000
ANKLE1	46.323772	8.048524	0.000000	0.000000
SP1	45.345485	7.858116	0.000000	0.000000
GORASP2	44.924604	7.776198	0.000000	0.000000
DYRK2	43.972653	7.590915	0.000000	0.000000
UNC45A	43.922257	7.581107	0.000000	0.000000
LMNB1	43.652188	7.528542	0.000000	0.000000
SLC29A1	43.506248	7.500137	0.000000	0.000000
AGO4	43.074386	7.416082	0.000000	0.000000
RAB33B	42.938168	7.389569	0.000000	0.000000
ETV2	42.500901	7.304462	0.000000	0.000000
COQ8B	42.385653	7.282030	0.000000	0.000000
HOXB4	41.802545	7.168537	0.000000	0.000000
CEBPB	41.513228	7.112226	0.000000	0.000000
HDDC3	41.443040	7.098565	0.000000	0.000000
SIX5	41.388693	7.087987	0.000000	0.000000
ATP2A1	41.311990	7.073058	0.000000	0.000000
TMEM247	41.170743	7.045567	0.000000	0.000000
GNRH2	40.914267	6.995648	0.000000	0.000000
