g.name	raw.score	z.score	p.value	q.value
GFY	51.010079	26.354577	0.000000	0.000000
RPS11	50.961624	26.328422	0.000000	0.000000
ERMN	44.568812	22.877833	0.000000	0.000000
AC090527.2	39.154792	19.955558	0.000000	0.000000
PTH2	36.837792	18.704932	0.000000	0.000000
CD37	36.431455	18.485608	0.000000	0.000000
PIH1D1	35.594703	18.033962	0.000000	0.000000
AC010619.1	32.445861	16.334341	0.000000	0.000000
RAB36	29.688158	14.845841	0.000000	0.000000
DMKN	29.147663	14.554103	0.000000	0.000000
EPB41	28.807347	14.370413	0.000000	0.000000
BLOC1S6	27.858644	13.858340	0.000000	0.000000
ALDH16A1	27.632634	13.736349	0.000000	0.000000
RSPH14	26.812564	13.293708	0.000000	0.000000
FLT3LG	25.259465	12.455406	0.000000	0.000000
FAM78A	24.950257	12.288508	0.000000	0.000000
CCDC116	24.843941	12.231122	0.000000	0.000000
SLC17A7	21.738307	10.554823	0.000000	0.000000
IL22RA2	21.507584	10.430288	0.000000	0.000000
FCGRT	20.758010	10.025697	0.000000	0.000000
TEAD2	18.870238	9.006752	0.000000	0.000000
DKKL1	18.814436	8.976632	0.000000	0.000000
FLNA	17.875436	8.469797	0.000000	0.000000
YDJC	17.104594	8.053727	0.000000	0.000000
FABP3	16.747188	7.860813	0.000000	0.000000
QRFP	16.538040	7.747923	0.000000	0.000000
ZNF746	15.707406	7.299579	0.000000	0.000000
RNASE1	15.130030	6.987934	0.000000	0.000000
BCR	15.119000	6.981981	0.000000	0.000000
KDM5B	14.886446	6.856457	0.000000	0.000000
NBPF1	14.298970	6.539361	0.000000	0.000000
PPP1R10	14.144010	6.455719	0.000000	0.000000
NUP214	14.007129	6.381836	0.000000	0.000000
LY6G6F	13.855871	6.300194	0.000000	0.000001
RPL13A	13.592673	6.158130	0.000000	0.000001
HKDC1	13.528238	6.123350	0.000000	0.000002
MAPK1	13.483960	6.099451	0.000000	0.000002
TMEM107	13.410030	6.059546	0.000000	0.000002
CCDC155	13.308347	6.004661	0.000000	0.000003
HBP1	13.165911	5.927780	0.000000	0.000005
MRPL48	13.119198	5.902566	0.000000	0.000005
LY6G6F-LY6G6D	13.114079	5.899803	0.000000	0.000005
ANXA2R	13.035564	5.857424	0.000000	0.000007
FIBCD1	12.993901	5.834936	0.000000	0.000007
AHNAK	12.987386	5.831419	0.000000	0.000007
SMCO1	12.752406	5.704586	0.000000	0.000015
OPLAH	12.571356	5.606863	0.000000	0.000025
HMOX1	12.428218	5.529602	0.000000	0.000037
PIGV	12.426426	5.528635	0.000000	0.000037
SAE1	12.411178	5.520405	0.000000	0.000038
BHLHE40	12.331317	5.477299	0.000000	0.000048
ZNF280A	12.323842	5.473264	0.000000	0.000048
LUZP6	12.043723	5.322067	0.000000	0.000106
DGCR8	11.866475	5.226396	0.000000	0.000172
CAPN7	11.850168	5.217594	0.000000	0.000177
IRF2BP2	11.806366	5.193951	0.000001	0.000197
AIFM3	11.731515	5.153549	0.000001	0.000238
RPL22	11.721733	5.148269	0.000001	0.000241
ARVCF	11.713673	5.143919	0.000001	0.000242
GET4	11.476614	5.015964	0.000001	0.000456
THOC6	11.405545	4.977603	0.000002	0.000543
DIP2A	11.373584	4.960352	0.000002	0.000582
ABHD5	11.312059	4.927144	0.000002	0.000675
LRRC74B	11.287535	4.913906	0.000002	0.000709
FLNC	11.273812	4.906499	0.000002	0.000724
VCL	11.250337	4.893828	0.000003	0.000759
SLC25A1	11.150564	4.839975	0.000003	0.000972
HIST1H2BJ	11.027980	4.773809	0.000004	0.001316
ST7	11.004693	4.761239	0.000005	0.001377
DGCR6L	10.988842	4.752683	0.000005	0.001414
PRAME	10.975822	4.745656	0.000005	0.001441
TBX1	10.927465	4.719555	0.000006	0.001608
CLIC4	10.876832	4.692225	0.000007	0.001803
LAMC3	10.850168	4.677833	0.000007	0.001903
TUBB	10.758119	4.628148	0.000009	0.002366
CLVS1	10.703564	4.598702	0.000010	0.002675
AIF1L	10.595475	4.540360	0.000013	0.003447
ANP32B	10.541188	4.511058	0.000015	0.003885
YPEL1	10.407594	4.438949	0.000021	0.005297
SH3BGRL3	10.336891	4.400786	0.000025	0.006191
RHOBTB3	10.319554	4.391429	0.000026	0.006371
TMEM209	10.314416	4.388655	0.000026	0.006371
CCDC71L	10.304406	4.383252	0.000027	0.006445
COL16A1	10.266020	4.362533	0.000029	0.006973
PARP12	10.259376	4.358947	0.000030	0.006999
KBTBD11-OT1	10.249099	4.353399	0.000031	0.007087
PIK3CG	10.216089	4.335582	0.000033	0.007501
ZNF280B	10.215059	4.335026	0.000033	0.007501
TANGO2	10.170495	4.310972	0.000037	0.008157
SSBP4	10.165000	4.308006	0.000037	0.008157
MTHFR	10.164762	4.307878	0.000037	0.008157
FSD2	10.130574	4.289424	0.000040	0.008734
STPG1	10.120693	4.284091	0.000041	0.008840
