g.name	raw.score	z.score	p.value	q.value
ELMO3	15.516112	7.035150	0.000000	0.000000
PCBD2	15.024276	6.771782	0.000000	0.000000
RGMB	14.962384	6.738641	0.000000	0.000000
RPP25L	14.735729	6.617272	0.000000	0.000000
TBX6	14.599214	6.544171	0.000000	0.000001
ACBD4	14.291274	6.379276	0.000000	0.000002
RDH5	14.185318	6.322539	0.000000	0.000002
ENC1	14.126875	6.291244	0.000000	0.000002
NR6A1	14.066213	6.258761	0.000000	0.000002
RGS10	14.000363	6.223500	0.000000	0.000003
HIC1	13.994467	6.220342	0.000000	0.000003
GRK6	13.931910	6.186845	0.000000	0.000003
PPM1J	13.783388	6.107314	0.000000	0.000004
ABCA2	13.766518	6.098281	0.000000	0.000004
NUDT8	13.717361	6.071958	0.000000	0.000005
PLK2	13.436439	5.921531	0.000000	0.000011
ARMC5	13.312166	5.854985	0.000000	0.000015
IRS1	13.306031	5.851700	0.000000	0.000015
THBD	13.107131	5.745193	0.000000	0.000027
UNC13D	13.041008	5.709786	0.000000	0.000032
MTMR4	12.883271	5.625322	0.000000	0.000049
MIPEP	12.842164	5.603310	0.000000	0.000053
KAZALD1	12.769874	5.564600	0.000000	0.000063
NRARP	12.754577	5.556409	0.000000	0.000063
THBS1	12.614817	5.481570	0.000000	0.000091
SCO2	12.452077	5.394426	0.000000	0.000141
PLXNA2	12.372240	5.351676	0.000000	0.000171
AJUBA	12.313757	5.320359	0.000000	0.000196
IGF2	12.291527	5.308456	0.000000	0.000201
STEAP1B	12.190112	5.254150	0.000000	0.000260
KIFC2	12.109576	5.211025	0.000001	0.000315
DSCAML1	12.096061	5.203788	0.000001	0.000317
IL6	12.049227	5.178709	0.000001	0.000346
MISP3	12.043898	5.175856	0.000001	0.000346
CCDC42	11.973815	5.138328	0.000001	0.000408
CBX4	11.929141	5.114406	0.000001	0.000449
CCDC194	11.919086	5.109021	0.000001	0.000449
TRIM59	11.909879	5.104092	0.000001	0.000449
UPK2	11.876425	5.086177	0.000001	0.000480
SBNO1	11.839988	5.066667	0.000001	0.000516
LGI4	11.831819	5.062292	0.000001	0.000516
AGO2	11.797714	5.044029	0.000001	0.000542
MIDN	11.796512	5.043386	0.000001	0.000542
CST9	11.760474	5.024088	0.000001	0.000583
EEF2	11.732974	5.009363	0.000001	0.000615
CALCB	11.723274	5.004169	0.000001	0.000617
SIRT5	11.710633	4.997400	0.000002	0.000625
RSAD1	11.695192	4.989131	0.000002	0.000638
PPT2-EGFL8	11.681256	4.981669	0.000002	0.000649
TRIB2	11.626705	4.952458	0.000002	0.000726
HEXB	11.622622	4.950272	0.000002	0.000726
SLC29A3	11.617240	4.947390	0.000002	0.000726
BCL11B	11.578380	4.926581	0.000002	0.000790
TM7SF2	11.540043	4.906052	0.000002	0.000858
MRPL39	11.526745	4.898932	0.000002	0.000869
RBM4B	11.518742	4.894646	0.000003	0.000869
ADGRV1	11.514798	4.892534	0.000003	0.000869
XKR8	11.479382	4.873570	0.000003	0.000937
TNS2	11.421515	4.842583	0.000003	0.001057
RBBP8	11.420429	4.842002	0.000003	0.001057
KLK10	11.408008	4.835351	0.000003	0.001074
CDK17	11.256328	4.754130	0.000005	0.001560
C11orf58	11.245057	4.748094	0.000005	0.001580
FRS3	11.204025	4.726122	0.000006	0.001721
HTR1A	11.199201	4.723539	0.000006	0.001721
GNAT1	11.142321	4.693081	0.000007	0.001957
PLEC	11.125467	4.684056	0.000007	0.002012
ARTN	11.101674	4.671315	0.000007	0.002080
TYW3	11.100536	4.670706	0.000007	0.002080
FMC1	11.087866	4.663922	0.000008	0.002105
EXOSC6	11.084542	4.662142	0.000008	0.002105
ATP8B2	11.075231	4.657156	0.000008	0.002118
DUSP1	11.069837	4.654267	0.000008	0.002118
PTMA	11.065685	4.652044	0.000008	0.002118
BPI	11.056271	4.647003	0.000008	0.002140
IRGM	11.020720	4.627966	0.000009	0.002280
FAT4	11.020225	4.627701	0.000009	0.002280
PREP	11.012905	4.623782	0.000009	0.002292
C2CD4A	11.003596	4.618797	0.000009	0.002316
TEDC1	10.994129	4.613727	0.000010	0.002342
YPEL5	10.983838	4.608217	0.000010	0.002373
DDX20	10.973264	4.602555	0.000010	0.002406
MFSD3	10.939596	4.584527	0.000011	0.002526
VMO1	10.939582	4.584519	0.000011	0.002526
IGFBP3	10.936794	4.583026	0.000011	0.002526
ARFGAP2	10.934441	4.581766	0.000011	0.002526
ALCAM	10.875294	4.550094	0.000013	0.002885
HES3	10.860272	4.542050	0.000013	0.002959
RTN4RL1	10.829578	4.525614	0.000014	0.003153
SH3BGRL3	10.798107	4.508762	0.000015	0.003365
ESRRA	10.788537	4.503638	0.000016	0.003406
HDAC10	10.774355	4.496043	0.000016	0.003486
PCBP2	10.670509	4.440436	0.000021	0.004422
SDF2L1	10.655446	4.432371	0.000022	0.004535
HPX	10.649191	4.429021	0.000022	0.004555
TFAP2C	10.618277	4.412467	0.000024	0.004850
FXN	10.613711	4.410022	0.000024	0.004853
DEPTOR	10.603751	4.404689	0.000024	0.004918
CDH24	10.595632	4.400341	0.000025	0.004963
ZFP91	10.590597	4.397645	0.000025	0.004972
LINGO1	10.578566	4.391203	0.000026	0.005065
LZTS2	10.552863	4.377440	0.000028	0.005328
ARL4A	10.542530	4.371906	0.000028	0.005406
ZFP36L2	10.527833	4.364036	0.000029	0.005542
PSMC3IP	10.518994	4.359303	0.000030	0.005604
SLC25A1	10.513497	4.356360	0.000030	0.005623
KCNQ5	10.496432	4.347222	0.000031	0.005797
QSER1	10.483867	4.340493	0.000032	0.005914
CPNE2	10.469810	4.332966	0.000033	0.006031
PRSS51	10.467614	4.331790	0.000034	0.006031
METRN	10.439462	4.316716	0.000036	0.006380
FBXO17	10.425131	4.309042	0.000037	0.006483
HEBP2	10.424819	4.308875	0.000037	0.006483
INPP1	10.409900	4.300886	0.000038	0.006605
CYR61	10.407147	4.299412	0.000039	0.006605
PRSS27	10.405511	4.298536	0.000039	0.006605
ESAM	10.368311	4.278616	0.000042	0.007133
MYC	10.339827	4.263363	0.000045	0.007549
GRIFIN	10.332448	4.259412	0.000046	0.007613
AQP7	10.325754	4.255828	0.000047	0.007666
PCDH7	10.318562	4.251976	0.000047	0.007729
EEF1AKMT4-ECE2	10.269892	4.225915	0.000053	0.008452
SOCS1	10.266123	4.223896	0.000053	0.008452
IGFBP4	10.265095	4.223346	0.000053	0.008452
SLC27A4	10.261610	4.221480	0.000054	0.008452
SEPT7	10.261445	4.221391	0.000054	0.008452
PTK6	10.228472	4.203735	0.000058	0.009033
EEF1AKMT4	10.210089	4.193891	0.000060	0.009331
MC3R	10.207170	4.192328	0.000061	0.009331
GIMD1	10.202906	4.190045	0.000061	0.009348
FAM208B	10.191064	4.183704	0.000063	0.009462
CCDC66	10.190741	4.183531	0.000063	0.009462
ALG3	10.184610	4.180248	0.000064	0.009522
ACSS2	10.173041	4.174053	0.000066	0.009699
LYSMD3	10.165598	4.170067	0.000067	0.009789
