g.name	raw.score	z.score	p.value	q.value
NAPA	40.339816	13.403721	0.000000	0.000000
SNAP29	35.966204	11.899646	0.000000	0.000000
PICALM	33.893082	11.186703	0.000000	0.000000
PI4KA	32.802327	10.811595	0.000000	0.000000
SUPV3L1	31.288918	10.291137	0.000000	0.000000
BAX	31.233612	10.272118	0.000000	0.000000
SGO1	31.162388	10.247624	0.000000	0.000000
UBE2Q1	31.058469	10.211886	0.000000	0.000000
LAMP1	30.729735	10.098835	0.000000	0.000000
UBE2B	30.598694	10.053771	0.000000	0.000000
SNRPA	30.167204	9.905382	0.000000	0.000000
CUTA	30.017510	9.853903	0.000000	0.000000
TRMO	29.786082	9.774315	0.000000	0.000000
IGF2R	29.619184	9.716919	0.000000	0.000000
SOCS5	29.594898	9.708567	0.000000	0.000000
AIDA	29.476551	9.667868	0.000000	0.000000
THRAP3	29.378633	9.634194	0.000000	0.000000
GAA	28.964755	9.491863	0.000000	0.000000
MED15	28.876551	9.461529	0.000000	0.000000
GET4	28.684633	9.395529	0.000000	0.000000
SIRT1	28.330857	9.273866	0.000000	0.000000
APEX1	28.268490	9.252418	0.000000	0.000000
XKR9	28.119469	9.201171	0.000000	0.000000
KLHL22	27.863837	9.113259	0.000000	0.000000
CD164	27.771122	9.081375	0.000000	0.000000
GNB2	27.280020	8.912486	0.000000	0.000000
ATP6V1G1	27.181673	8.878665	0.000000	0.000000
DHX35	27.070531	8.840443	0.000000	0.000000
NOL8	27.028714	8.826062	0.000000	0.000000
THAP8	26.979000	8.808966	0.000000	0.000000
NEU1	26.363102	8.597160	0.000000	0.000000
SUMF1	26.333551	8.586997	0.000000	0.000000
CDKL3	26.208939	8.544143	0.000000	0.000000
LAMTOR1	26.133776	8.518295	0.000000	0.000000
GNPTG	26.077694	8.499009	0.000000	0.000000
VPS33A	26.059653	8.492804	0.000000	0.000000
WDR62	26.034571	8.484179	0.000000	0.000000
C19orf47	26.015816	8.477729	0.000000	0.000000
RPUSD4	25.851633	8.421267	0.000000	0.000000
NUP188	25.700714	8.369366	0.000000	0.000000
ATP6V0D1	25.687490	8.364818	0.000000	0.000000
DVL2	25.669735	8.358712	0.000000	0.000000
TSR3	25.584796	8.329502	0.000000	0.000000
CLCN6	25.576041	8.326491	0.000000	0.000000
MCOLN1	25.472878	8.291014	0.000000	0.000000
MARCH8	25.447041	8.282128	0.000000	0.000000
