g.name	raw.score	z.score	p.value	q.value
LZTS2	5.407280	7.948173	0.000000	0.000000
BCL6	5.273876	7.696855	0.000000	0.000000
SETD1B	4.970540	7.125406	0.000000	0.000000
NR4A1	4.942375	7.072347	0.000000	0.000000
ACBD4	4.818292	6.838591	0.000000	0.000000
ERCC1	4.770268	6.748118	0.000000	0.000000
PTMA	4.557284	6.346882	0.000000	0.000002
PLCD3	4.470152	6.182736	0.000000	0.000005
NBPF1	4.463675	6.170534	0.000000	0.000005
BHLHE40	4.386164	6.024513	0.000000	0.000010
NEURL3	4.338886	5.935446	0.000000	0.000016
RGMB	4.303740	5.869236	0.000000	0.000022
RHOF	4.294956	5.852688	0.000000	0.000022
BCL9L	4.148732	5.577220	0.000000	0.000100
VPS18	4.129255	5.540527	0.000000	0.000114
MISP3	4.075312	5.438905	0.000000	0.000187
TM7SF2	4.034476	5.361974	0.000000	0.000255
MYO1F	4.033407	5.359962	0.000000	0.000255
IGF2	4.006727	5.309700	0.000000	0.000316
ZNF462	3.974184	5.248392	0.000000	0.000415
RNF224	3.958721	5.219261	0.000000	0.000460
ATXN1	3.932350	5.169582	0.000001	0.000569
ADM	3.875973	5.063375	0.000001	0.000936
RIPOR1	3.857852	5.029237	0.000001	0.001066
NDUFA4L2	3.853212	5.020496	0.000001	0.001069
TMEM253	3.834835	4.985874	0.000002	0.001223
DNAJC22	3.827311	4.971701	0.000002	0.001264
DSCAML1	3.793948	4.908850	0.000002	0.001662
ZFP36	3.768639	4.861169	0.000003	0.001967
ATP5F1D	3.767370	4.858780	0.000003	0.001967
NEK8	3.764539	4.853445	0.000003	0.001967
NR6A1	3.758120	4.841353	0.000003	0.002021
GBA	3.709462	4.749687	0.000005	0.003042
CASC4	3.700050	4.731956	0.000005	0.003190
ZMYM2	3.697525	4.727200	0.000006	0.003190
HOXA7	3.692889	4.718466	0.000006	0.003232
VIM	3.679184	4.692647	0.000007	0.003551
JADE2	3.629851	4.599710	0.000010	0.005325
ZNF219	3.622432	4.585733	0.000011	0.005532
COMTD1	3.618188	4.577738	0.000011	0.005595
MYC	3.610818	4.563854	0.000012	0.005816
CHIT1	3.602532	4.548244	0.000013	0.006097
SLC17A7	3.590282	4.525167	0.000014	0.006612
UPK2	3.584210	4.513728	0.000015	0.006695
PPM1J	3.583471	4.512335	0.000015	0.006695
TUBB	3.576911	4.499978	0.000016	0.006925
SUDS3	3.567476	4.482202	0.000017	0.007341
FRS3	3.547710	4.444965	0.000020	0.008487
UBE3D	3.527026	4.405999	0.000024	0.009879
