g.name	raw.score	z.score	p.value	q.value
LTBP4	15.088991	11.987842	0.000000	0.000000
RPS16	12.966022	10.043292	0.000000	0.000000
SUPT5H	11.851356	9.022305	0.000000	0.000000
ZNF227	10.720582	7.986564	0.000000	0.000000
AC008982.1	9.637679	6.994670	0.000000	0.000000
ZFP36	9.395836	6.773152	0.000000	0.000000
AC008537.1	9.341761	6.723622	0.000000	0.000000
SYNGAP1	9.110685	6.511966	0.000000	0.000001
TMEM231	8.766626	6.196822	0.000000	0.000004
MAZ	8.627372	6.069272	0.000000	0.000008
LSM14A	8.583793	6.029355	0.000000	0.000009
BBC3	8.501422	5.953907	0.000000	0.000013
CBX8	8.476808	5.931361	0.000000	0.000014
LIN37	8.305586	5.774529	0.000000	0.000033
VAMP2	8.170238	5.650556	0.000000	0.000062
GABARAP	8.086856	5.574182	0.000000	0.000085
HOXC10	8.083596	5.571196	0.000000	0.000085
DDR1	8.054659	5.544691	0.000000	0.000093
AC025165.3	7.886375	5.390549	0.000000	0.000205
OST4	7.789145	5.301491	0.000000	0.000313
GMFG	7.740695	5.257113	0.000000	0.000372
NBPF1	7.729159	5.246546	0.000000	0.000372
EID2B	7.724841	5.242592	0.000000	0.000372
C19orf73	7.687409	5.208305	0.000001	0.000426
SAMD4B	7.652452	5.176286	0.000001	0.000483
SLC39A1	7.598482	5.126851	0.000001	0.000599
PDXK	7.587022	5.116355	0.000001	0.000609
ATP6V1E1	7.522408	5.057171	0.000001	0.000794
DDAH2	7.509593	5.045434	0.000001	0.000813
BCL2L13	7.479166	5.017563	0.000001	0.000904
HOXA10	7.408898	4.953201	0.000002	0.001206
MIA-RAB4B	7.365513	4.913462	0.000002	0.001379
MIA	7.365513	4.913462	0.000002	0.001379
TBX18	7.345512	4.895142	0.000002	0.001464
SLC7A10	7.306471	4.859382	0.000003	0.001693
TMEM107	7.257790	4.814792	0.000004	0.002038
SYNE4	7.249552	4.807246	0.000004	0.002038
MAN2B1	7.246034	4.804024	0.000004	0.002038
PPP1R14A	7.222013	4.782022	0.000004	0.002206
AC092073.1	7.212632	4.773430	0.000004	0.002241
ADSS	7.177861	4.741581	0.000005	0.002522
HOXB4	7.174315	4.738332	0.000005	0.002522
CAPN2	7.070056	4.642836	0.000008	0.003855
WDR83	7.063841	4.637143	0.000009	0.003869
GPX4	7.057909	4.631710	0.000009	0.003879
AC012531.2	7.025870	4.602363	0.000010	0.004345
HOXC6	7.017011	4.594249	0.000010	0.004415
KIAA0355	7.003356	4.581742	0.000011	0.004578
P4HB	6.991751	4.571111	0.000012	0.004678
SLC17A7	6.988480	4.568115	0.000012	0.004678
AC021072.1	6.977484	4.558044	0.000012	0.004802
COX20	6.963067	4.544839	0.000013	0.005001
HOXD12	6.949945	4.532819	0.000014	0.005182
HSD11B1L	6.923581	4.508671	0.000015	0.005672
INHBE	6.916768	4.502431	0.000016	0.005728
PRRT2	6.905100	4.491743	0.000017	0.005903
ZNF511-PRAP1	6.854817	4.445686	0.000020	0.007124
ZNF146	6.815839	4.409984	0.000024	0.008201
MRPL10	6.798452	4.394058	0.000026	0.008647
