g.name	raw.score	z.score	p.value	q.value
IREB2	14.039266	20.407937	0.000000	0.000000
ATP5PB	13.359993	19.367502	0.000000	0.000000
RBM15	12.903348	18.668063	0.000000	0.000000
RNF167	10.733787	15.344969	0.000000	0.000000
COASY	10.103833	14.380074	0.000000	0.000000
CYB5D1	9.672327	13.719140	0.000000	0.000000
RBM39	9.341816	13.212900	0.000000	0.000000
AC023509.3	9.031961	12.738299	0.000000	0.000000
RPL23A	8.976733	12.653707	0.000000	0.000000
CLPTM1	8.859412	12.474007	0.000000	0.000000
ZNF345	8.779021	12.350873	0.000000	0.000000
SLC39A7	8.733748	12.281529	0.000000	0.000000
LSM3	8.687833	12.211201	0.000000	0.000000
PHF12	8.602179	12.080005	0.000000	0.000000
RPL27A	8.029904	11.203458	0.000000	0.000000
NSUN3	7.822324	10.885510	0.000000	0.000000
LPXN	7.739378	10.758463	0.000000	0.000000
FASTKD2	7.410596	10.254871	0.000000	0.000000
NPM1	7.399371	10.237678	0.000000	0.000000
DCAF6	7.399284	10.237544	0.000000	0.000000
FUBP1	7.376267	10.202289	0.000000	0.000000
SLC25A11	7.354072	10.168293	0.000000	0.000000
TTC32	7.326855	10.126605	0.000000	0.000000
WDR77	7.230183	9.978533	0.000000	0.000000
SLC39A9	7.051405	9.704700	0.000000	0.000000
GORASP2	6.980509	9.596110	0.000000	0.000000
RPS9	6.965608	9.573286	0.000000	0.000000
RPS19	6.928250	9.516066	0.000000	0.000000
EXOC8	6.905414	9.481088	0.000000	0.000000
SMIM10L1	6.885749	9.450968	0.000000	0.000000
INTS13	6.856675	9.406435	0.000000	0.000000
THAP2	6.847113	9.391789	0.000000	0.000000
EIF5	6.814315	9.341552	0.000000	0.000000
CAMK2D	6.686399	9.145625	0.000000	0.000000
DDX20	6.681359	9.137905	0.000000	0.000000
CDC5L	6.681243	9.137728	0.000000	0.000000
DNAJB4	6.636277	9.068854	0.000000	0.000000
CACYBP	6.514404	8.882181	0.000000	0.000000
HNRNPH3	6.471090	8.815838	0.000000	0.000000
VMP1	6.457841	8.795546	0.000000	0.000000
TMEM18	6.451453	8.785760	0.000000	0.000000
RAB33B	6.410959	8.723737	0.000000	0.000000
ABCC10	6.326891	8.594971	0.000000	0.000000
FGFR1OP2	6.314272	8.575642	0.000000	0.000000
ERCC6L2	6.309336	8.568082	0.000000	0.000000
ERGIC2	6.261658	8.495053	0.000000	0.000000
ATF4	6.246317	8.471555	0.000000	0.000000
MED1	6.245230	8.469890	0.000000	0.000000
FAM135A	6.214046	8.422127	0.000000	0.000000
RXRB	5.990092	8.079098	0.000000	0.000000
CDK12	5.944948	8.009952	0.000000	0.000000
YOD1	5.942901	8.006817	0.000000	0.000000
STXBP4	5.930599	7.987974	0.000000	0.000000
NUDC	5.872383	7.898805	0.000000	0.000000
USP54	5.813927	7.809268	0.000000	0.000000
RPS11	5.749179	7.710095	0.000000	0.000000
ASH2L	5.715100	7.657896	0.000000	0.000000
WDR6	5.662833	7.577840	0.000000	0.000000
RC3H2	5.657099	7.569057	0.000000	0.000000
MAP10	5.617433	7.508300	0.000000	0.000000
PPIL3	5.610888	7.498276	0.000000	0.000000
COX11	5.514683	7.350920	0.000000	0.000000
DDX3X	5.513165	7.348595	0.000000	0.000000
ANKRD49	5.511618	7.346225	0.000000	0.000000
NIF3L1	5.476607	7.292598	0.000000	0.000000
MAP3K7	5.467763	7.279052	0.000000	0.000000
DCAF16	5.442399	7.240202	0.000000	0.000000
FAM200B	5.442121	7.239777	0.000000	0.000000
MDH1B	5.388148	7.157106	0.000000	0.000000
RAPGEF6	5.333926	7.074056	0.000000	0.000000
FBXL5	5.328918	7.066385	0.000000	0.000000
PSMD5	5.305289	7.030192	0.000000	0.000000
NOL11	5.297858	7.018811	0.000000	0.000000
PIGN	5.281144	6.993210	0.000000	0.000000
AC024592.3	5.275746	6.984942	0.000000	0.000000
ZNF850	5.256089	6.954834	0.000000	0.000000
EDRF1	5.170437	6.823642	0.000000	0.000000
RNPC3	5.166669	6.817870	0.000000	0.000000
MAPK14	5.162909	6.812110	0.000000	0.000000
TRIM66	5.150712	6.793429	0.000000	0.000000
ARPC4	5.144376	6.783724	0.000000	0.000000
TP53	5.141077	6.778671	0.000000	0.000000
RPS28	5.131895	6.764607	0.000000	0.000000
TMEM245	5.104463	6.722589	0.000000	0.000000
KBTBD6	5.080741	6.686255	0.000000	0.000000
NCOA4	5.075931	6.678888	0.000000	0.000000
DDX3Y	5.074765	6.677101	0.000000	0.000000
SPDL1	5.059145	6.653177	0.000000	0.000000
ETF1	5.052801	6.643459	0.000000	0.000000
NKTR	5.041786	6.626588	0.000000	0.000000
PHF5A	4.965899	6.510353	0.000000	0.000000
BCAS3	4.957604	6.497646	0.000000	0.000000
ANKRD13C	4.922872	6.444448	0.000000	0.000000
RPL12	4.903080	6.414134	0.000000	0.000000
POLDIP3	4.863899	6.354120	0.000000	0.000000
SMG5	4.764893	6.202474	0.000000	0.000000
PCK1	4.751652	6.182193	0.000000	0.000000
BCLAF1	4.735708	6.157771	0.000000	0.000000
ZNF790	4.732106	6.152254	0.000000	0.000000
CCT8	4.704937	6.110639	0.000000	0.000001
RPL17-C18orf32	4.685903	6.081485	0.000000	0.000001
MGME1	4.652930	6.030981	0.000000	0.000001
CAND1	4.645871	6.020169	0.000000	0.000001
INO80	4.636082	6.005175	0.000000	0.000001
COPB2	4.577911	5.916076	0.000000	0.000002
CHURC1	4.572346	5.907551	0.000000	0.000002
MAK16	4.562776	5.892893	0.000000	0.000002
DHFR2	4.560485	5.889384	0.000000	0.000002
MRPS14	4.536742	5.853017	0.000000	0.000003
GIPC2	4.533726	5.848398	0.000000	0.000003
XPC	4.520227	5.827720	0.000000	0.000003
THADA	4.496714	5.791707	0.000000	0.000004
HHLA3	4.459056	5.734025	0.000000	0.000005
ATF7	4.452348	5.723752	0.000000	0.000005
ZNF317	4.451442	5.722364	0.000000	0.000005
STAT3	4.450466	5.720870	0.000000	0.000005
LRSAM1	4.449162	5.718872	0.000000	0.000005
RPS6	4.448595	5.718003	0.000000	0.000005
PAXBP1	4.433906	5.695504	0.000000	0.000006
SF1	4.424726	5.681444	0.000000	0.000006
SPRTN	4.402396	5.647241	0.000000	0.000008
RELCH	4.400201	5.643879	0.000000	0.000008
RPL17	4.391008	5.629798	0.000000	0.000008
QRICH1	4.370516	5.598410	0.000000	0.000010
SNX5	4.348490	5.564674	0.000000	0.000012
GPR19	4.325848	5.529993	0.000000	0.000014
WDR73	4.325489	5.529444	0.000000	0.000014
ATF2	4.319623	5.520458	0.000000	0.000015
NDUFA11	4.306969	5.501076	0.000000	0.000017
NCAPG	4.296587	5.485174	0.000000	0.000018
HNRNPK	4.292229	5.478499	0.000000	0.000018
AC135178.2	4.291399	5.477227	0.000000	0.000018
SNRPA	4.285843	5.468717	0.000000	0.000019
SMC4	4.271387	5.446575	0.000000	0.000021
HSPA4	4.271274	5.446403	0.000000	0.000021
KIN	4.244745	5.405768	0.000000	0.000026
PPP4R3B	4.225064	5.375623	0.000000	0.000031
ZWILCH	4.218716	5.365899	0.000000	0.000032
NBL1	4.196980	5.332607	0.000000	0.000038
CUL5	4.180418	5.307238	0.000000	0.000043
LIN7C	4.174788	5.298616	0.000000	0.000045
SPAG16	4.162426	5.279681	0.000000	0.000050
METTL16	4.157580	5.272258	0.000000	0.000051
CFAP70	4.155377	5.268884	0.000000	0.000052
TMEM79	4.131463	5.232256	0.000000	0.000062
ANKFY1	4.112495	5.203202	0.000001	0.000072
GPATCH3	4.087722	5.165258	0.000001	0.000087
EIF4A3	4.076556	5.148154	0.000001	0.000094
SRRT	4.067266	5.133926	0.000001	0.000101
SBNO1	4.028920	5.075191	0.000001	0.000135
SHPRH	4.015065	5.053970	0.000001	0.000150
MMS22L	4.008591	5.044054	0.000001	0.000156
C11orf54	4.007858	5.042931	0.000001	0.000156
IKZF5	3.973559	4.990395	0.000002	0.000202
PTPN4	3.968959	4.983349	0.000002	0.000208
RPL26	3.960830	4.970899	0.000002	0.000220
STYXL1	3.958605	4.967490	0.000002	0.000222
SMG7	3.954664	4.961454	0.000002	0.000227
USP47	3.947807	4.950951	0.000002	0.000238
ZNF559	3.943036	4.943644	0.000002	0.000245
SEC22C	3.935168	4.931593	0.000002	0.000258
