g.name	raw.score	z.score	p.value	q.value
GSK3A	12.400246	18.258367	0.000000	0.000000
FBXL19	8.430622	12.047193	0.000000	0.000000
USP5	6.980634	9.778431	0.000000	0.000000
CDCA3	6.788929	9.478474	0.000000	0.000000
PRPF31	6.509364	9.041047	0.000000	0.000000
PHF12	6.243881	8.625651	0.000000	0.000000
HDGF	6.230940	8.605403	0.000000	0.000000
ZSCAN22	6.229311	8.602854	0.000000	0.000000
ZNF140	6.158319	8.491774	0.000000	0.000000
AP2S1	6.152875	8.483256	0.000000	0.000000
PHF23	6.081029	8.370840	0.000000	0.000000
LIN37	5.982843	8.217211	0.000000	0.000000
NFKBIB	5.902820	8.092001	0.000000	0.000000
ZNF146	5.890337	8.072470	0.000000	0.000000
INTS9	5.773978	7.890406	0.000000	0.000000
DCAKD	5.738554	7.834979	0.000000	0.000000
UNK	5.562890	7.560122	0.000000	0.000000
TBC1D17	5.561401	7.557791	0.000000	0.000000
WRAP53	5.489404	7.445139	0.000000	0.000000
SIRT2	5.462184	7.402548	0.000000	0.000000
VCPIP1	5.421370	7.338689	0.000000	0.000000
CIC	5.319295	7.178974	0.000000	0.000000
PSENEN	5.239118	7.053523	0.000000	0.000000
AD000671.2	5.219985	7.023587	0.000000	0.000000
TFPT	5.204112	6.998749	0.000000	0.000000
CCDC90B	5.196498	6.986837	0.000000	0.000000
U2AF1L4	5.195817	6.985771	0.000000	0.000000
TP53	5.077635	6.800855	0.000000	0.000000
RANBP10	5.070619	6.789876	0.000000	0.000000
MDH1	5.047165	6.753178	0.000000	0.000000
ELOC	4.987682	6.660107	0.000000	0.000000
HMBOX1	4.986359	6.658036	0.000000	0.000000
GPR137	4.934931	6.577569	0.000000	0.000000
PPP1R13L	4.907866	6.535222	0.000000	0.000000
SNX8	4.896676	6.517712	0.000000	0.000000
CIAO2A	4.895463	6.515814	0.000000	0.000000
ZNF133	4.891350	6.509379	0.000000	0.000000
CD3EAP	4.880490	6.492386	0.000000	0.000000
ING4	4.864715	6.467703	0.000000	0.000000
PAF1	4.838015	6.425926	0.000000	0.000000
EIF2B4	4.806721	6.376962	0.000000	0.000000
