g.name	raw.score	z.score	p.value	q.value
ZFP36	1.369565	6.467858	0.000000	0.000007
FAM174B	1.298399	6.018392	0.000000	0.000054
ACTN4	1.260709	5.780348	0.000000	0.000116
DUSP1	1.259264	5.771219	0.000000	0.000116
NBPF1	1.249409	5.708979	0.000000	0.000133
TRIM55	1.239315	5.645226	0.000000	0.000159
PLEKHG2	1.217570	5.507886	0.000000	0.000294
FOSL2	1.210776	5.464978	0.000000	0.000325
SUPT5H	1.174283	5.234498	0.000000	0.000991
RPS16	1.152188	5.094946	0.000001	0.001608
AKR1B10	1.151047	5.087738	0.000001	0.001608
PCED1B	1.148814	5.073639	0.000001	0.001608
TRIB1	1.148126	5.069291	0.000001	0.001608
KYNU	1.127929	4.941730	0.000002	0.002827
TOGARAM2	1.113568	4.851029	0.000003	0.004114
AMIGO2	1.089549	4.699329	0.000006	0.007958
USP3	1.059777	4.511296	0.000015	0.017806
ITGB1	1.053734	4.473128	0.000018	0.019962
HNRNPUL1	1.039438	4.382837	0.000027	0.028207
POLG2	1.029750	4.321655	0.000035	0.034973
PON2	1.023678	4.283305	0.000041	0.039282
ZNF281	1.018653	4.251563	0.000047	0.042936
CCDC80	1.013718	4.220393	0.000054	0.046866
