g.name	raw.score	z.score	p.value	q.value
RFTN1	11.578826	8.860313	0.000000	0.000000
DUSP22	11.339440	8.628041	0.000000	0.000000
SLC15A4	9.946709	7.276701	0.000000	0.000000
TSPOAP1	9.819021	7.152808	0.000000	0.000000
RHOH	9.409193	6.755161	0.000000	0.000000
RGS1	9.129716	6.483990	0.000000	0.000001
MACC1	9.026649	6.383986	0.000000	0.000002
IRF2BP2	8.824912	6.188245	0.000000	0.000005
UBC	8.767633	6.132668	0.000000	0.000006
LAPTM5	8.708009	6.074816	0.000000	0.000008
BHLHE40	8.689544	6.056899	0.000000	0.000008
TNFRSF13B	8.520739	5.893112	0.000000	0.000019
IL21R	8.431388	5.806416	0.000000	0.000029
GCSAM	8.410198	5.785855	0.000000	0.000031
BLK	8.196531	5.578539	0.000000	0.000093
CSK	7.877446	5.268937	0.000000	0.000465
STK17B	7.844784	5.237246	0.000000	0.000517
MEF2D	7.727979	5.123912	0.000001	0.000879
ZFP36	7.667847	5.065568	0.000001	0.001102
CCR7	7.660853	5.058782	0.000001	0.001102
CD74	7.649097	5.047375	0.000001	0.001112
SELPLG	7.605743	5.005309	0.000001	0.001311
GPR15	7.583405	4.983635	0.000002	0.001347
CFLAR	7.582274	4.982537	0.000002	0.001347
ISCU	7.572788	4.973333	0.000002	0.001354
TRAF1	7.509125	4.911563	0.000002	0.001766
MPEG1	7.437006	4.841587	0.000003	0.002392
FGR	7.314171	4.722403	0.000006	0.004079
LY86	7.297053	4.705794	0.000006	0.004259
CYB561A3	7.183286	4.595408	0.000010	0.006880
CD69	7.099787	4.514390	0.000015	0.009629
SCIMP	7.068167	4.483709	0.000017	0.010615
JUNB	7.063120	4.478813	0.000018	0.010615
CBFA2T3	7.041039	4.457388	0.000019	0.011338
MYLPF	7.032078	4.448693	0.000020	0.011449
DUSP5	6.998613	4.416223	0.000023	0.012622
GPR132	6.996467	4.414140	0.000023	0.012622
PLD1	6.982944	4.401020	0.000025	0.013021
ASB2	6.968827	4.387323	0.000026	0.013378
TMEM138	6.964570	4.383191	0.000027	0.013378
HIST1H3D	6.947118	4.366259	0.000029	0.014055
CHI3L2	6.911695	4.331888	0.000034	0.015932
HERPUD1	6.887543	4.308454	0.000037	0.017220
TBC1D10B	6.863273	4.284906	0.000041	0.018046
ZNF48	6.862821	4.284467	0.000041	0.018046
NRROS	6.860112	4.281838	0.000042	0.018046
SLC35B2	6.837023	4.259435	0.000046	0.019436
LPXN	6.826925	4.249637	0.000048	0.019841
HIST1H4B	6.814080	4.237174	0.000050	0.020292
TNFAIP3	6.810521	4.233721	0.000051	0.020292
HIST1H2AD	6.804838	4.228207	0.000052	0.020292
NBPF1	6.801982	4.225436	0.000053	0.020292
CIRBP	6.775039	4.199294	0.000059	0.021837
BCL2	6.774804	4.199066	0.000059	0.021837
AL031777.3	6.765867	4.190394	0.000061	0.022234
CDC37	6.744208	4.169378	0.000067	0.023842
TMSB4X	6.730043	4.155634	0.000071	0.024803
CDKN1B	6.719077	4.144994	0.000074	0.025475
SART3	6.706448	4.132741	0.000078	0.026346
PIGX	6.654849	4.082675	0.000096	0.031823
HIST1H2BF	6.619759	4.048628	0.000110	0.035948
RAB8A	6.610059	4.039216	0.000114	0.036740
UPF2	6.548105	3.979104	0.000145	0.046011
HLA-DMB	6.530519	3.962041	0.000156	0.048467
