g.name	raw.score	z.score	p.value	q.value
FBN3	31.942495	28.271931	0.000000	0.000000
DBP	16.632010	14.119011	0.000000	0.000000
TPM4	15.742168	13.296447	0.000000	0.000000
AC011530.1	14.465396	12.116206	0.000000	0.000000
CCER2	13.497267	11.221274	0.000000	0.000000
SYNGR4	13.266267	11.007739	0.000000	0.000000
ACTG1	12.005970	9.842728	0.000000	0.000000
TAS2R40	11.696248	9.556422	0.000000	0.000000
AC008878.1	11.558752	9.429322	0.000000	0.000000
TMEM143	10.731495	8.664611	0.000000	0.000000
TEX54	10.629396	8.570231	0.000000	0.000000
ANKRD18A	10.299545	8.265318	0.000000	0.000000
ZNF227	10.177376	8.152386	0.000000	0.000000
DLL3	10.012277	7.999770	0.000000	0.000000
THAP7	9.806752	7.809784	0.000000	0.000000
DEGS1	9.509010	7.534553	0.000000	0.000000
MT1HL1	9.382079	7.417219	0.000000	0.000000
PPP1R14A	9.347673	7.385414	0.000000	0.000000
RPL23A	9.324079	7.363604	0.000000	0.000000
SARAF	9.247772	7.293066	0.000000	0.000000
ADIG	8.822663	6.900098	0.000000	0.000000
BBC3	8.734970	6.819035	0.000000	0.000000
FXYD3	8.340436	6.454330	0.000000	0.000000
PDE9A	8.289238	6.407003	0.000000	0.000000
FAM131C	8.194772	6.319679	0.000000	0.000001
AIPL1	8.081158	6.214655	0.000000	0.000001
ZNRD1	7.910693	6.057078	0.000000	0.000003
PSMG3	7.885079	6.033401	0.000000	0.000004
LARP4	7.702703	5.864813	0.000000	0.000009
NCOA7	7.679644	5.843497	0.000000	0.000010
CEP112	7.669812	5.834409	0.000000	0.000010
AC008982.1	7.607030	5.776374	0.000000	0.000014
GRIK5	7.592129	5.762599	0.000000	0.000015
TPSD1	7.568119	5.740405	0.000000	0.000016
RAB34	7.541931	5.716197	0.000000	0.000018
LRFN3	7.480505	5.659415	0.000000	0.000024
HOOK2	7.365822	5.553403	0.000000	0.000043
HIST1H4I	7.290109	5.483414	0.000000	0.000062
ACSS1	7.266634	5.461714	0.000000	0.000068
LRFN1	7.253198	5.449294	0.000000	0.000071
LMOD1	7.082950	5.291918	0.000000	0.000161
STX5	7.039545	5.251794	0.000000	0.000194
WDR46	7.004307	5.219220	0.000000	0.000221
TBC1D10B	7.001198	5.216347	0.000000	0.000221
C15orf39	6.998416	5.213775	0.000000	0.000221
DNAJB12	6.991059	5.206974	0.000001	0.000224
GPR61	6.935485	5.155602	0.000001	0.000286
PSME3	6.915554	5.137178	0.000001	0.000308
NECTIN4	6.858594	5.084524	0.000001	0.000395
PYGO2	6.839455	5.066833	0.000001	0.000423
RPS16	6.736139	4.971327	0.000002	0.000670
ZNF3	6.717723	4.954304	0.000002	0.000715
NBPF1	6.701515	4.939321	0.000002	0.000756
TIMP2	6.489465	4.743304	0.000005	0.001916
PTMA	6.455733	4.712122	0.000006	0.002180
AC010616.2	6.440168	4.697734	0.000006	0.002253
AGBL5	6.436089	4.693963	0.000007	0.002253
ZNF131	6.435931	4.693817	0.000007	0.002253
E2F2	6.372010	4.634729	0.000009	0.002918
DVL2	6.356861	4.620726	0.000009	0.003061
MED22	6.349337	4.613770	0.000010	0.003109
LY6G6C	6.339832	4.604983	0.000010	0.003185
GALR1	6.327436	4.593525	0.000010	0.003304
ZFP36	6.295614	4.564109	0.000012	0.003722
ZNF233	6.277446	4.547314	0.000013	0.003956
SLC9A5	6.266673	4.537356	0.000014	0.004076
TAPBP	6.260149	4.531325	0.000014	0.004127
SERTAD1	6.246396	4.518612	0.000015	0.004307
HRH3	6.229416	4.502916	0.000016	0.004556
SUPT5H	6.216000	4.490514	0.000017	0.004748
RUFY1	6.203584	4.479037	0.000018	0.004852
CASKIN1	6.201238	4.476868	0.000018	0.004852
KRT17	6.200673	4.476346	0.000018	0.004852
CCDC189	6.192921	4.469180	0.000018	0.004942
SCNM1	6.126624	4.407895	0.000024	0.006401
PSMB8	6.103663	4.386671	0.000026	0.006934
HR	6.094406	4.378113	0.000027	0.007106
PRX	6.081762	4.366426	0.000029	0.007382
LRRC14	6.070228	4.355763	0.000030	0.007636
GPRC5A	6.061446	4.347645	0.000031	0.007812
APOC2	6.047446	4.334703	0.000033	0.008161
OVOL3	5.966119	4.259526	0.000046	0.011016
TMEM147	5.964198	4.257750	0.000046	0.011016
AL162231.1	5.962743	4.256405	0.000046	0.011016
TYROBP	5.953950	4.248277	0.000048	0.011269
CCDC28B	5.940634	4.235967	0.000051	0.011735
NOS3	5.937624	4.233185	0.000051	0.011738
FAF1	5.926109	4.222541	0.000054	0.012139
TNFAIP8L2	5.882337	4.182078	0.000064	0.014227
POLG2	5.853248	4.155188	0.000071	0.015737
MAZ	5.842535	4.145285	0.000074	0.016218
AC092073.1	5.836515	4.139720	0.000076	0.016415
