g.name	raw.score	z.score	p.value	q.value
CLP1	1.548771	5.889206	0.000000	0.000234
DUSP6	1.470230	5.445176	0.000000	0.001448
TDGF1	1.429885	5.217089	0.000000	0.003258
NBPF1	1.414654	5.130977	0.000001	0.003699
ZNF532	1.407997	5.093342	0.000001	0.003699
YPEL4	1.388403	4.982572	0.000002	0.005386
ID1	1.372060	4.890178	0.000003	0.007269
DNMT3B	1.367297	4.863247	0.000003	0.007269
FO393400.1	1.338597	4.700997	0.000006	0.014038
AASS	1.329584	4.650041	0.000008	0.016033
LRRC2	1.321696	4.605443	0.000010	0.016731
PHC1	1.320981	4.601403	0.000010	0.016731
SFRP2	1.301295	4.490107	0.000017	0.025615
FGF1	1.292519	4.440494	0.000021	0.029684
ROR1	1.285870	4.402905	0.000025	0.032192
VSNL1	1.283922	4.391891	0.000026	0.032192
SOX2	1.277523	4.355717	0.000030	0.034203
COMMD7	1.276703	4.351081	0.000031	0.034203
