g.name	raw.score	z.score	p.value	q.value
BBC3	15.449704	10.579997	0.000000	0.000000
NBPF1	13.305856	8.778111	0.000000	0.000000
ZNF227	12.171493	7.824689	0.000000	0.000000
ZNF233	11.245856	7.046699	0.000000	0.000000
CCER2	11.159690	6.974277	0.000000	0.000000
CYGB	10.785188	6.659511	0.000000	0.000000
ZNF226	10.585621	6.491777	0.000000	0.000001
ZNF792	10.201493	6.168920	0.000000	0.000005
PAK4	9.936849	5.946489	0.000000	0.000019
RPS16	9.839990	5.865080	0.000000	0.000027
FXYD1	9.656866	5.711166	0.000000	0.000060
IRF2BP2	9.530092	5.604613	0.000000	0.000100
SUPT5H	9.249859	5.369080	0.000000	0.000336
PLAUR	9.226292	5.349272	0.000000	0.000347
ZNF225	9.137153	5.274351	0.000000	0.000482
LSM14A	9.081366	5.227463	0.000000	0.000579
DYRK1B	9.042379	5.194695	0.000001	0.000646
SLC7A10	8.992232	5.152546	0.000001	0.000759
PSG9	8.940622	5.109169	0.000001	0.000898
CEBPA	8.837593	5.022574	0.000001	0.001323
LTBP4	8.810327	4.999657	0.000001	0.001413
PLEKHG2	8.730232	4.932338	0.000002	0.001884
FBXO17	8.703622	4.909972	0.000002	0.001992
NFKBID	8.695723	4.903333	0.000002	0.001992
PPP1R14A	8.571455	4.798887	0.000004	0.003001
DEGS1	8.565924	4.794238	0.000004	0.003001
NUDT19	8.560760	4.789898	0.000004	0.003001
CAPN2	8.557273	4.786967	0.000004	0.003001
AC008537.1	8.506346	4.744164	0.000005	0.003553
PDXK	8.462354	4.707189	0.000006	0.004090
ZNF574	8.446580	4.693931	0.000007	0.004175
DMKN	8.440850	4.689115	0.000007	0.004175
ACP7	8.417340	4.669355	0.000007	0.004440
ZNF302	8.383933	4.641277	0.000008	0.004911
HCST	8.291893	4.563917	0.000012	0.006812
MIA-RAB4B	8.266578	4.542641	0.000013	0.006998
MIA	8.266578	4.542641	0.000013	0.006998
HNRNPL	8.263323	4.539905	0.000013	0.006998
ZNF222	8.255919	4.533682	0.000014	0.007014
C19orf47	8.234583	4.515749	0.000015	0.007391
ASGR1	8.228996	4.511053	0.000015	0.007391
AC067968.1	8.206064	4.491779	0.000017	0.007869
PLD3	8.163865	4.456311	0.000019	0.009008
B3GALNT2	8.116643	4.416621	0.000023	0.010319
CEBPG	8.115216	4.415422	0.000023	0.010319
MYO9A	8.106398	4.408011	0.000024	0.010356
AD000671.1	8.102524	4.404755	0.000024	0.010356
DNAJC18	8.076668	4.383023	0.000027	0.011156
LIN37	8.044522	4.356004	0.000030	0.012298
AL358472.7	8.029814	4.343643	0.000032	0.012718
SCGB2B2	8.013101	4.329595	0.000034	0.013252
KIRREL2	7.994443	4.313914	0.000036	0.013688
ECH1	7.993589	4.313195	0.000036	0.013688
LYPD5	7.956770	4.282250	0.000042	0.015346
ZNF569	7.951627	4.277927	0.000042	0.015348
ZNF526	7.905531	4.239184	0.000050	0.017778
MED29	7.888269	4.224675	0.000053	0.018373
ZNF234	7.886405	4.223109	0.000053	0.018373
LRFN1	7.870647	4.209864	0.000057	0.019099
DEDD2	7.840817	4.184792	0.000063	0.020865
ZNF224	7.823145	4.169938	0.000067	0.021836
NCCRP1	7.802388	4.152492	0.000072	0.023102
PAF1	7.775469	4.129868	0.000079	0.024968
COX6B1	7.770309	4.125531	0.000080	0.025022
BORCS6	7.756517	4.113938	0.000084	0.025842
ZNF546	7.711749	4.076311	0.000098	0.029691
GGPS1	7.677025	4.047127	0.000111	0.032647
EID2B	7.675194	4.045587	0.000111	0.032647
DPF1	7.668770	4.040188	0.000114	0.032884
ZNF283	7.657068	4.030352	0.000118	0.033726
IFNL1	7.603322	3.985180	0.000142	0.039851
ZNF570	7.595958	3.978990	0.000146	0.040278
ZNF45	7.571688	3.958592	0.000158	0.043076
MAP3K7CL	7.551925	3.941981	0.000169	0.045376
MT1HL1	7.538589	3.930772	0.000176	0.046271
LYPD3	7.537956	3.930240	0.000176	0.046271
COQ8B	7.510928	3.907523	0.000193	0.049923
