g.name	raw.score	z.score	p.value	q.value
PCK1	4.300546	11.061999	0.000000	0.000000
AC011498.4	3.622373	9.051192	0.000000	0.000000
AVPI1	3.464422	8.582859	0.000000	0.000000
PER1	3.421738	8.456300	0.000000	0.000000
NME1	3.377122	8.324012	0.000000	0.000000
NME1-NME2	3.274234	8.018945	0.000000	0.000000
NKTR	3.255037	7.962027	0.000000	0.000000
SECISBP2	3.118227	7.556381	0.000000	0.000000
NAB2	3.116112	7.550109	0.000000	0.000000
ZFP36	3.066242	7.402243	0.000000	0.000000
LRG1	3.047126	7.345561	0.000000	0.000000
AL135905.2	3.014996	7.250295	0.000000	0.000000
SERPINA1	2.979948	7.146377	0.000000	0.000000
ARRDC4	2.839209	6.729080	0.000000	0.000000
ARL3	2.829846	6.701318	0.000000	0.000000
NEMP1	2.763024	6.503189	0.000000	0.000000
LRRC27	2.688512	6.282258	0.000000	0.000001
SFXN2	2.677111	6.248455	0.000000	0.000001
PDSS2	2.649632	6.166977	0.000000	0.000002
PRR14L	2.614870	6.063908	0.000000	0.000004
DOLK	2.602826	6.028197	0.000000	0.000005
FUS	2.578871	5.957167	0.000000	0.000007
N4BP2L1	2.566016	5.919054	0.000000	0.000009
SMPD1	2.541068	5.845082	0.000000	0.000013
CTDNEP1	2.519333	5.780636	0.000000	0.000018
STK32C	2.516451	5.772090	0.000000	0.000018
PARD6B	2.514748	5.767040	0.000000	0.000018
NUP188	2.505417	5.739375	0.000000	0.000020
FAM117A	2.496375	5.712564	0.000000	0.000022
TMEM87B	2.437050	5.536665	0.000000	0.000058
IGFBP1	2.417843	5.479715	0.000000	0.000077
PLIN5	2.415071	5.471494	0.000000	0.000078
SPRED2	2.409936	5.456270	0.000000	0.000083
LMBR1	2.395957	5.414822	0.000000	0.000100
DIAPH1	2.387826	5.390714	0.000000	0.000111
JUNB	2.373355	5.347804	0.000000	0.000136
LNP1	2.362717	5.316263	0.000000	0.000157
FAM3C	2.345820	5.266165	0.000000	0.000199
DUSP1	2.338600	5.244757	0.000000	0.000217
ID2	2.329942	5.219084	0.000000	0.000242
RPS19	2.326106	5.207710	0.000001	0.000250
KLF11	2.318670	5.185661	0.000001	0.000274
CBX3	2.314442	5.173127	0.000001	0.000286
KLF9	2.302525	5.137791	0.000001	0.000329
RTF2	2.302204	5.136840	0.000001	0.000329
HSPA4	2.271884	5.046942	0.000001	0.000509
SEC22C	2.270146	5.041788	0.000001	0.000511
ABT1	2.254952	4.996737	0.000002	0.000627
WDHD1	2.251092	4.985292	0.000002	0.000651
DEPDC5	2.239480	4.950861	0.000002	0.000757
BPHL	2.231193	4.926290	0.000002	0.000837
NR1D1	2.204346	4.846687	0.000003	0.001212
CPPED1	2.190868	4.806725	0.000004	0.001442
RAPGEF6	2.189264	4.801969	0.000004	0.001445
DNALI1	2.188125	4.798590	0.000004	0.001445
PMPCA	2.178356	4.769625	0.000005	0.001630
GOLT1A	2.176684	4.764670	0.000005	0.001639
SLC50A1	2.175477	4.761091	0.000005	0.001639
NUDT3	2.165283	4.730865	0.000006	0.001860
BHLHE40	2.162985	4.724052	0.000006	0.001889
ENTR1	2.159068	4.712437	0.000006	0.001963
TPT1	2.152425	4.692739	0.000007	0.002118
HES1	2.150940	4.688336	0.000007	0.002128
STRBP	2.149742	4.684784	0.000007	0.002130
ELP5	2.143859	4.667343	0.000007	0.002276
TOMM70	2.137556	4.648652	0.000008	0.002445
CD164	2.134858	4.640654	0.000008	0.002500
FBXW5	2.129279	4.624111	0.000009	0.002659
SOCS4	2.126571	4.616083	0.000009	0.002719
FLOT1	2.123957	4.608330	0.000010	0.002778
C2orf15	2.108261	4.561792	0.000012	0.003343
AC079447.1	2.108261	4.561792	0.000012	0.003343
SIRT1	2.101355	4.541316	0.000013	0.003620
CCDC107	2.097462	4.529774	0.000014	0.003763
SEPT7	2.091129	4.510994	0.000015	0.004042
TENT5A	2.087402	4.499943	0.000016	0.004192
GADD45B	2.085652	4.494754	0.000016	0.004235
