g.name	raw.score	z.score	p.value	q.value
KLF10	1.836930	12.632022	0.000000	0.000000
TRIB1	1.651688	11.242744	0.000000	0.000000
TBC1D17	1.229699	8.077917	0.000000	0.000000
FOXP2	1.146689	7.455361	0.000000	0.000000
CIC	1.112572	7.199495	0.000000	0.000000
VPS26C	1.023110	6.528549	0.000000	0.000001
JUNB	1.010422	6.433387	0.000000	0.000001
TSEN34	0.961133	6.063734	0.000000	0.000010
MBOAT7	0.955921	6.024643	0.000000	0.000012
MAF1	0.940161	5.906447	0.000000	0.000021
DUSP4	0.936334	5.877745	0.000000	0.000023
BET1L	0.929491	5.826424	0.000000	0.000028
MNT	0.906019	5.650389	0.000000	0.000071
VGF	0.897174	5.584051	0.000000	0.000096
PLEKHH3	0.886733	5.505746	0.000000	0.000139
PHLPP1	0.875594	5.422210	0.000000	0.000205
ZNF250	0.864521	5.339161	0.000000	0.000302
RIC8A	0.862089	5.320921	0.000000	0.000314
ZSWIM4	0.858519	5.294148	0.000000	0.000343
MFSD3	0.852228	5.246966	0.000000	0.000418
KIFC2	0.847030	5.207981	0.000001	0.000488
CBLL1	0.839293	5.149960	0.000001	0.000629
CYHR1	0.833526	5.106707	0.000001	0.000751
HBP1	0.828119	5.066160	0.000001	0.000885
FAM174B	0.817672	4.987808	0.000002	0.001259
AP3M2	0.811211	4.939347	0.000002	0.001540
SSSCA1	0.809560	4.926966	0.000002	0.001577
POLR2L	0.802792	4.876207	0.000003	0.001950
SIX5	0.798581	4.844626	0.000003	0.002195
JUND	0.795614	4.822373	0.000004	0.002363
ZNF34	0.788784	4.771153	0.000005	0.002906
ELL	0.788063	4.765748	0.000005	0.002906
BAHCC1	0.782930	4.727245	0.000006	0.003383
MAP2K7	0.779009	4.697843	0.000006	0.003771
CRH	0.773877	4.659353	0.000008	0.004386
PUF60	0.773004	4.652803	0.000008	0.004397
GSK3A	0.762047	4.570633	0.000012	0.006249
CIRBP	0.753166	4.504023	0.000016	0.008231
PABPC1	0.747710	4.463107	0.000019	0.009251
PNKP	0.747709	4.463098	0.000019	0.009251
MAZ	0.747432	4.461023	0.000019	0.009251
ZNF395	0.744919	4.442174	0.000021	0.009821
PPP1R35	0.741533	4.416781	0.000023	0.010735
SPOP	0.739644	4.402610	0.000025	0.011167
PER1	0.737676	4.387854	0.000026	0.011651
SLC39A7	0.731760	4.343487	0.000032	0.013833
DHTKD1	0.728955	4.322445	0.000035	0.014831
CYC1	0.722953	4.277438	0.000042	0.017623
DUSP1	0.708426	4.168484	0.000067	0.026852
RRAS	0.708367	4.168043	0.000067	0.026852
RALYL	0.702713	4.125635	0.000080	0.030884
CDK13	0.702607	4.124846	0.000081	0.030884
DGAT1	0.697463	4.086267	0.000094	0.035124
RPLP2	0.697202	4.084304	0.000095	0.035124
ZFP36L2	0.695280	4.069889	0.000101	0.036573
AC006486.1	0.694464	4.063776	0.000103	0.036782
CITED2	0.693420	4.055943	0.000107	0.036782
PIDD1	0.693349	4.055413	0.000107	0.036782
TOB2	0.690292	4.032481	0.000117	0.039673
ERF	0.689643	4.027615	0.000120	0.039707
FBRS	0.689160	4.023991	0.000122	0.039707
GRK4	0.688134	4.016296	0.000125	0.040294
RPL41	0.686543	4.004363	0.000132	0.041026
MAP3K12	0.686267	4.002294	0.000133	0.041026
NOP14	0.685962	4.000011	0.000134	0.041026
RXRB	0.680430	3.958524	0.000158	0.047657
