g.name	raw.score	z.score	p.value	q.value
SH3GL1	36.293416	18.272280	0.000000	0.000000
HIST2H2AA3	26.771040	13.157168	0.000000	0.000000
SRC	25.394960	12.417983	0.000000	0.000000
NAA35	25.365871	12.402357	0.000000	0.000000
MAP2K1	23.532376	11.417463	0.000000	0.000000
UGT8	22.444733	10.833216	0.000000	0.000000
AC022400.6	21.493267	10.322120	0.000000	0.000000
ADAM9	21.486713	10.318599	0.000000	0.000000
LASP1	21.344634	10.242279	0.000000	0.000000
NDST2	20.428574	9.750201	0.000000	0.000000
HIST1H2BN	19.311069	9.149914	0.000000	0.000000
TM2D2	19.244970	9.114408	0.000000	0.000000
LSM14A	19.235059	9.109084	0.000000	0.000000
PHF23	19.220842	9.101447	0.000000	0.000000
TMEM219	19.147653	9.062132	0.000000	0.000000
AC010616.1	19.004000	8.984966	0.000000	0.000000
RNPEP	18.853713	8.904237	0.000000	0.000000
TIPIN	18.513347	8.721403	0.000000	0.000000
ARFGEF2	18.266792	8.588962	0.000000	0.000000
SPATS2	17.933792	8.410085	0.000000	0.000000
C19orf84	17.687614	8.277846	0.000000	0.000000
CUL1	17.525485	8.190756	0.000000	0.000000
EVI5L	17.306267	8.072999	0.000000	0.000000
ZNF226	17.130109	7.978373	0.000000	0.000000
KCTD2	17.099040	7.961683	0.000000	0.000000
FNDC5	17.038505	7.929166	0.000000	0.000000
SH3GL3	16.836149	7.820467	0.000000	0.000000
LAMC1	16.558307	7.671219	0.000000	0.000000
EFNA3	16.227802	7.493683	0.000000	0.000000
H3F3A	16.208327	7.483221	0.000000	0.000000
LRRC49	16.164228	7.459533	0.000000	0.000000
SRARP	16.148634	7.451156	0.000000	0.000000
SETX	16.102297	7.426266	0.000000	0.000000
AC008012.1	15.771881	7.248777	0.000000	0.000000
PAIP2	15.743713	7.233646	0.000000	0.000000
CCND2	15.697129	7.208622	0.000000	0.000000
HOXB2	15.684317	7.201740	0.000000	0.000000
TRAPPC3	15.571673	7.141232	0.000000	0.000000
PDLIM4	15.468673	7.085903	0.000000	0.000000
EPHB4	15.455307	7.078723	0.000000	0.000000
LYPD3	15.291416	6.990686	0.000000	0.000000
CPLX3	14.934703	6.799072	0.000000	0.000000
HACD3	14.851416	6.754333	0.000000	0.000000
SDE2	14.787426	6.719959	0.000000	0.000000
C6orf89	14.749525	6.699600	0.000000	0.000000
LARP6	14.725842	6.686878	0.000000	0.000000
CPEB2	14.661050	6.652074	0.000000	0.000000
RAB9A	14.654871	6.648755	0.000000	0.000000
SEC14L3	14.601228	6.619940	0.000000	0.000000
IRF2BP2	14.338228	6.478665	0.000000	0.000000
NOA1	14.230752	6.420932	0.000000	0.000000
L34079.1	14.105545	6.353675	0.000000	0.000000
SLC35G6	13.925149	6.256772	0.000000	0.000000
HIF1A	13.886109	6.235801	0.000000	0.000001
RGMB	13.859554	6.221537	0.000000	0.000001
ZNF233	13.788495	6.183366	0.000000	0.000001
GAPDHS	13.717604	6.145286	0.000000	0.000001
BUB3	13.672228	6.120911	0.000000	0.000001
AD000671.2	13.524733	6.041682	0.000000	0.000002
U2AF1L4	13.422980	5.987023	0.000000	0.000002
CLOCK	13.385238	5.966749	0.000000	0.000002
SERTAD4	13.307614	5.925052	0.000000	0.000003
PSME3	13.131693	5.830553	0.000000	0.000005
PSENEN	13.094069	5.810343	0.000000	0.000006
EEF2	13.042683	5.782740	0.000000	0.000007
KRTCAP2	12.884505	5.697772	0.000000	0.000011
C17orf50	12.782099	5.642763	0.000000	0.000014
CALM1	12.735842	5.617915	0.000000	0.000016
TMEM88	12.526267	5.505338	0.000000	0.000030
ATP5MC2	12.449624	5.464168	0.000000	0.000037
TMEM117	12.382703	5.428220	0.000000	0.000045
PDE4A	12.316683	5.392756	0.000000	0.000053
SULF2	12.000822	5.223086	0.000000	0.000130
MED13L	11.972198	5.207710	0.000001	0.000139
COX20	11.961634	5.202035	0.000001	0.000141
MAN2B1	11.952931	5.197360	0.000001	0.000143
MRPL49	11.856366	5.145489	0.000001	0.000184
NID1	11.772515	5.100447	0.000001	0.000229
HJV	11.766020	5.096958	0.000001	0.000230
CD22	11.743960	5.085108	0.000001	0.000241
CSF1R	11.672079	5.046496	0.000001	0.000290
PPP1R15A	11.649752	5.034503	0.000001	0.000304
SSR3	11.639970	5.029248	0.000001	0.000308
HMBOX1	11.610703	5.013527	0.000001	0.000330
MYO15A	11.590485	5.002666	0.000001	0.000342
AD000671.1	11.588089	5.001379	0.000001	0.000342
CCDC187	11.491683	4.949593	0.000002	0.000438
NVL	11.437624	4.920554	0.000002	0.000499
CDC42EP1	11.425228	4.913896	0.000002	0.000510
GGPS1	11.411634	4.906593	0.000002	0.000523
ZNF292	11.341347	4.868837	0.000003	0.000622
CYP27B1	11.302604	4.848026	0.000003	0.000681
NBPF1	11.298327	4.845728	0.000003	0.000681
WNK1	11.288436	4.840415	0.000003	0.000686
FOXO3	11.287238	4.839772	0.000003	0.000686
RAB4B-EGLN2	11.278287	4.834964	0.000003	0.000695
UTP11	11.258287	4.824220	0.000004	0.000724
POU2F1	11.149277	4.765664	0.000005	0.000949
TRIM46	11.114119	4.746778	0.000005	0.001028
MTMR11	11.074574	4.725536	0.000006	0.001125
ASH1L	11.066515	4.721207	0.000006	0.001137
PPP1R12B	11.059406	4.717388	0.000006	0.001147
ECH1	11.040525	4.707246	0.000006	0.001189
WDR83	11.037465	4.705602	0.000006	0.001189
PBX1	10.981792	4.675696	0.000007	0.001355
GDF11	10.967525	4.668032	0.000007	0.001391
RAB4B	10.950515	4.658895	0.000008	0.001438
SCML1	10.905416	4.634669	0.000009	0.001594
LFNG	10.880634	4.621357	0.000009	0.001680
MAST1	10.783248	4.569045	0.000012	0.002117
IGFLR1	10.756792	4.554834	0.000012	0.002239
PML	10.748624	4.550446	0.000013	0.002263
MUS81	10.699218	4.523907	0.000014	0.002530
FBXO17	10.693337	4.520747	0.000015	0.002544
