g.name	raw.score	z.score	p.value	q.value
KLF9	11.367162	12.689480	0.000000	0.000000
FOSL2	11.123759	12.375974	0.000000	0.000000
PER1	9.332314	10.068577	0.000000	0.000000
SLC16A7	9.162538	9.849904	0.000000	0.000000
NR1D1	8.861913	9.462697	0.000000	0.000000
BCL6	8.691889	9.243704	0.000000	0.000000
DUSP1	8.557966	9.071210	0.000000	0.000000
BHLHE40	8.314915	8.758158	0.000000	0.000000
NFIL3	8.017686	8.375324	0.000000	0.000000
MNT	7.472419	7.673016	0.000000	0.000000
KLF6	7.220940	7.349108	0.000000	0.000000
MT2A	7.176965	7.292469	0.000000	0.000000
FKBP5	7.157366	7.267224	0.000000	0.000000
BCL3	7.058349	7.139690	0.000000	0.000000
JPH2	7.007149	7.073744	0.000000	0.000000
SOCS3	6.943103	6.991253	0.000000	0.000000
NR4A3	6.842758	6.862007	0.000000	0.000000
IL1R1	6.803114	6.810946	0.000000	0.000000
FOS	6.754289	6.748058	0.000000	0.000000
ZFP36	6.743065	6.733601	0.000000	0.000000
IRF2BPL	6.737278	6.726147	0.000000	0.000000
MIDN	6.730671	6.717638	0.000000	0.000000
MT1E	6.573564	6.515282	0.000000	0.000000
ITGB1	6.555213	6.491647	0.000000	0.000000
IRF2BP2	6.551226	6.486512	0.000000	0.000000
PLEKHG2	6.526544	6.454720	0.000000	0.000000
ZFAND5	6.362623	6.243589	0.000000	0.000001
CCDC107	6.347470	6.224071	0.000000	0.000001
CYCS	6.208274	6.044786	0.000000	0.000003
MEF2D	6.155374	5.976651	0.000000	0.000005
HSPE1	6.123065	5.935036	0.000000	0.000006
STAT3	6.095134	5.899060	0.000000	0.000007
RDH5	6.077131	5.875873	0.000000	0.000008
STK40	6.074216	5.872118	0.000000	0.000008
ELMSAN1	6.064003	5.858964	0.000000	0.000008
MAP3K8	5.968992	5.736589	0.000000	0.000016
STOM	5.924118	5.678791	0.000000	0.000021
GEM	5.883435	5.626391	0.000000	0.000027
LDHA	5.879511	5.621336	0.000000	0.000027
UBC	5.879453	5.621261	0.000000	0.000027
CCL2	5.820339	5.545122	0.000000	0.000041
IRF1	5.813240	5.535979	0.000000	0.000042
BCLAF1	5.777489	5.489931	0.000000	0.000053
HSPBAP1	5.768905	5.478874	0.000000	0.000055
IBA57	5.688736	5.375617	0.000000	0.000090
ITGA7	5.688187	5.374910	0.000000	0.000090
BLOC1S1	5.685370	5.371281	0.000000	0.000090
BLOC1S1-RDH5	5.684871	5.370639	0.000000	0.000090
PDK4	5.681281	5.366015	0.000000	0.000091
USP37	5.649327	5.324857	0.000000	0.000111
WDR81	5.632718	5.303465	0.000000	0.000122
SPC24	5.601137	5.262788	0.000000	0.000148
DCUN1D3	5.568753	5.221078	0.000000	0.000181
AVPI1	5.557073	5.206033	0.000001	0.000192
DIRC2	5.551114	5.198358	0.000001	0.000196
CASP9	5.530566	5.171892	0.000001	0.000221
ERI2	5.510160	5.145608	0.000001	0.000248
SLC19A2	5.491477	5.121545	0.000001	0.000276
TPM2	5.481572	5.108787	0.000001	0.000290
GUK1	5.459944	5.080930	0.000001	0.000328
SLC50A1	5.454514	5.073936	0.000001	0.000335
GPCPD1	5.448183	5.065782	0.000001	0.000343
HOXA5	5.423600	5.034119	0.000001	0.000396
H6PD	5.409534	5.016001	0.000001	0.000427
PMVK	5.403406	5.008109	0.000001	0.000438
COQ10B	5.380641	4.978787	0.000002	0.000499
GADD45B	5.372769	4.968648	0.000002	0.000517
DEPP1	5.346997	4.935453	0.000002	0.000600
ARID5A	5.343906	4.931472	0.000002	0.000603
HNRNPU	5.338408	4.924391	0.000002	0.000616
FOXO3	5.332079	4.916239	0.000002	0.000632
CCNL1	5.327087	4.909810	0.000002	0.000643
BAG3	5.312178	4.890607	0.000003	0.000697
B3GALNT2	5.294218	4.867474	0.000003	0.000770
CIRBP	5.255667	4.817819	0.000004	0.000959
RHOB	5.254770	4.816664	0.000004	0.000959
DNAJC16	5.250180	4.810752	0.000004	0.000974
DES	5.242452	4.800798	0.000004	0.001008
WFDC1	5.239689	4.797240	0.000004	0.001013
CLCN6	5.236862	4.793598	0.000004	0.001017
LPP	5.223630	4.776556	0.000004	0.001084
TPT1	5.222616	4.775249	0.000004	0.001084
ACACB	5.216855	4.767830	0.000005	0.001109
BFSP1	5.206940	4.755058	0.000005	0.001165
TACC1	5.201885	4.748548	0.000005	0.001181
KLF11	5.200786	4.747132	0.000005	0.001181
B3GAT3	5.179895	4.720225	0.000006	0.001326
ITPKC	5.092985	4.608284	0.000010	0.002210
NBPF1	5.082778	4.595138	0.000010	0.002322
ITPRIP	5.077001	4.587696	0.000011	0.002376
GYPC	5.052480	4.556113	0.000012	0.002715
AL135905.2	5.044755	4.546163	0.000013	0.002810
MRGPRF	5.034616	4.533104	0.000014	0.002949
EIF4EBP3	5.013743	4.506219	0.000016	0.003295
ZMYND8	4.988191	4.473308	0.000018	0.003779
CDC7	4.985140	4.469379	0.000018	0.003806
CNOT9	4.976189	4.457849	0.000019	0.003966
TPRG1	4.913516	4.377126	0.000028	0.005607
IL6ST	4.888130	4.344428	0.000032	0.006401
FLOT1	4.875137	4.327693	0.000034	0.006814
PDLIM4	4.861729	4.310424	0.000037	0.007269
NID1	4.846498	4.290807	0.000040	0.007832
AHCYL1	4.839811	4.282193	0.000042	0.008047
SPARCL1	4.819938	4.256597	0.000046	0.008890
CSTF2T	4.816698	4.252424	0.000047	0.008963
CD63	4.807424	4.240479	0.000050	0.009341
RPL21	4.800252	4.231241	0.000052	0.009572
ZFP36L1	4.799504	4.230277	0.000052	0.009572
IFIT2	4.797275	4.227407	0.000053	0.009600
AASS	4.784029	4.210346	0.000056	0.010159
SHC1	4.783525	4.209696	0.000057	0.010159
HMGB1	4.777203	4.201553	0.000059	0.010419
DSTN	4.773908	4.197310	0.000060	0.010512
SSSCA1	4.761753	4.181654	0.000064	0.011127
JUNB	4.755162	4.173165	0.000066	0.011428
SLC20A2	4.750395	4.167025	0.000068	0.011527
HIST1H4B	4.750350	4.166967	0.000068	0.011527
KLF7	4.746162	4.161572	0.000069	0.011641
DDX59	4.745350	4.160527	0.000070	0.011641
HOXA2	4.732381	4.143823	0.000075	0.012355
USP2	4.731104	4.142178	0.000075	0.012355
MT1M	4.710647	4.115829	0.000084	0.013662
ALDH1B1	4.704539	4.107962	0.000086	0.013996
EFHB	4.699710	4.101742	0.000089	0.014203
TIPRL	4.698714	4.100459	0.000089	0.014203
USPL1	4.696423	4.097508	0.000090	0.014262
LYRM1	4.694111	4.094530	0.000091	0.014277
ERLIN2	4.692835	4.092886	0.000092	0.014277
AC013717.1	4.691752	4.091492	0.000092	0.014277
CHMP1B	4.651152	4.039199	0.000114	0.017476
LMOD1	4.649619	4.037224	0.000115	0.017476
KLF2	4.648735	4.036086	0.000116	0.017476
HSPB8	4.623282	4.003303	0.000132	0.019788
SLC2A4	4.613839	3.991140	0.000139	0.020619
PPP1R15A	4.604625	3.979272	0.000145	0.021457
TGM2	4.595173	3.967098	0.000153	0.022355
TNKS1BP1	4.590472	3.961043	0.000156	0.022670
ZFP36L2	4.588605	3.958638	0.000158	0.022670
LDLR	4.588159	3.958064	0.000158	0.022670
GABARAPL1	4.583628	3.952227	0.000162	0.022910
NOD1	4.583285	3.951786	0.000162	0.022910
COQ8B	4.578207	3.945246	0.000166	0.023344
AC022826.2	4.568119	3.932251	0.000175	0.024398
RAB5A	4.565898	3.929391	0.000177	0.024503
KCNJ8	4.556352	3.917096	0.000186	0.025536
YIPF1	4.549608	3.908409	0.000192	0.026238
UBE2W	4.546395	3.904270	0.000195	0.026451
HIST2H2BE	4.545299	3.902859	0.000196	0.026451
JUN	4.543774	3.900895	0.000198	0.026475
SERINC3	4.540675	3.896904	0.000201	0.026711
A2M	4.536869	3.892001	0.000205	0.027005
CKS1B	4.535853	3.890693	0.000206	0.027005
CNTNAP1	4.530233	3.883455	0.000212	0.027594
PLSCR1	4.525760	3.877692	0.000217	0.028035
ARIH1	4.507364	3.853999	0.000237	0.030526
TMEM259	4.505093	3.851074	0.000240	0.030674
MGRN1	4.500407	3.845038	0.000246	0.031194
VAMP2	4.494511	3.837444	0.000253	0.031785
HIST2H2AC	4.494061	3.836864	0.000254	0.031785
SYNC	4.483533	3.823305	0.000267	0.033270
KLF10	4.479809	3.818508	0.000272	0.033675
CHD1	4.474343	3.811467	0.000279	0.034378
NFX1	4.472294	3.808828	0.000282	0.034512
CREM	4.465728	3.800371	0.000292	0.035423
ZNF410	4.463917	3.798039	0.000294	0.035522
MAP2K3	4.460698	3.793893	0.000299	0.035868
AC129492.3	4.435499	3.761436	0.000338	0.040092
CCDC9	4.435356	3.761252	0.000338	0.040092
NR4A2	4.434059	3.759581	0.000340	0.040106
ID3	4.421251	3.743085	0.000362	0.042415
SLC25A28	4.416533	3.737008	0.000370	0.043137
ACTN1	4.411722	3.730811	0.000379	0.043890
C1RL	4.406557	3.724158	0.000388	0.044732
HIST1H4H	4.401428	3.717552	0.000398	0.045581
HSPE1-MOB4	4.383713	3.694736	0.000433	0.049320
