g.name	raw.score	z.score	p.value	q.value
FTH1	22.997714	35.416662	0.000000	0.000000
RAPGEF3	19.440000	29.747346	0.000000	0.000000
ZKSCAN3	12.722265	19.042450	0.000000	0.000000
FTL	10.349000	15.260586	0.000000	0.000000
FBXO30	8.969041	13.061583	0.000000	0.000000
SAPCD2	8.759694	12.727983	0.000000	0.000000
LRP11	8.585000	12.449603	0.000000	0.000000
BCR	7.461878	10.659877	0.000000	0.000000
SLC6A9	6.531204	9.176823	0.000000	0.000000
AL117348.2	6.236122	8.706602	0.000000	0.000000
SDF2L1	6.153571	8.575055	0.000000	0.000000
TNFSF14	6.028510	8.375766	0.000000	0.000000
YDJC	5.950551	8.251536	0.000000	0.000000
PYCR2	5.751347	7.934099	0.000000	0.000000
C10orf95	5.637163	7.752144	0.000000	0.000000
HIST1H4B	5.635224	7.749055	0.000000	0.000000
C6orf47	5.557816	7.625703	0.000000	0.000000
PCBP1	5.552918	7.617898	0.000000	0.000000
DENND4A	5.540837	7.598645	0.000000	0.000000
APOA5	5.481510	7.504107	0.000000	0.000000
SNAP29	5.353327	7.299842	0.000000	0.000000
CARD8	5.325347	7.255256	0.000000	0.000000
PI4KA	5.325041	7.254768	0.000000	0.000000
GPANK1	5.305143	7.223060	0.000000	0.000000
TMEM164	5.246857	7.130180	0.000000	0.000000
SLC2A1	5.225449	7.096066	0.000000	0.000000
TANGO2	5.222469	7.091318	0.000000	0.000000
ANKS1A	5.035122	6.792775	0.000000	0.000000
ABCB6	5.009469	6.751897	0.000000	0.000000
BTBD19	4.892082	6.564836	0.000000	0.000000
ACTB	4.813245	6.439207	0.000000	0.000000
CDK5R2	4.803633	6.423890	0.000000	0.000000
AL662899.2	4.755959	6.347921	0.000000	0.000000
MAPK1	4.729980	6.306522	0.000000	0.000001
SAFB	4.688041	6.239691	0.000000	0.000001
DDIT4	4.678449	6.224406	0.000000	0.000001
ARVCF	4.674367	6.217902	0.000000	0.000001
ETV5	4.645796	6.172373	0.000000	0.000001
BCL2L13	4.629959	6.147137	0.000000	0.000001
POLR2E	4.582592	6.071655	0.000000	0.000002
PATJ	4.538857	6.001963	0.000000	0.000003
CIZ1	4.536857	5.998776	0.000000	0.000003
P2RX6	4.531143	5.989670	0.000000	0.000003
STRIP2	4.518551	5.969605	0.000000	0.000003
ATP6V1E1	4.507020	5.951230	0.000000	0.000004
FOSL1	4.498510	5.937669	0.000000	0.000004
PIGV	4.477122	5.903587	0.000000	0.000005
HIST1H4A	4.471959	5.895359	0.000000	0.000005
KEAP1	4.382184	5.752299	0.000000	0.000011
FAM78A	4.351122	5.702802	0.000000	0.000014
TXNRD2	4.340327	5.685599	0.000000	0.000015
NBPF1	4.336000	5.678704	0.000000	0.000015
KMT2E	4.216469	5.488229	0.000000	0.000043
AKIRIN2	4.113388	5.323966	0.000000	0.000103
SEC24C	4.090102	5.286859	0.000000	0.000123
MGAT5	4.084469	5.277883	0.000000	0.000127
H3F3B	4.062918	5.243541	0.000000	0.000149
GPBP1L1	4.054959	5.230858	0.000000	0.000157
BLVRB	4.043286	5.212256	0.000001	0.000170
LAPTM5	4.013837	5.165328	0.000001	0.000213
GCLC	3.964061	5.086010	0.000001	0.000315
RCSD1	3.957653	5.075798	0.000001	0.000326
DDAH2	3.945327	5.056155	0.000001	0.000355
ZNF280B	3.914306	5.006724	0.000001	0.000444
RTN4	3.913286	5.005098	0.000001	0.000444
KCTD20	3.879408	4.951113	0.000002	0.000572
PRDX1	3.874612	4.943470	0.000002	0.000586
HIST1H2AC	3.824367	4.863404	0.000003	0.000855
SLC5A11	3.814286	4.847338	0.000003	0.000910
MAP3K2	3.810510	4.841322	0.000003	0.000924
CLIC1	3.794327	4.815533	0.000004	0.001032
GABPB2	3.784878	4.800476	0.000004	0.001094
PDCL	3.761898	4.763857	0.000005	0.001285
AC073111.5	3.753531	4.750523	0.000005	0.001351
ST7L	3.693959	4.655595	0.000008	0.002083
ZBTB14	3.668102	4.614391	0.000009	0.002488
DCTN4	3.663122	4.606455	0.000010	0.002548
GTPBP2	3.647061	4.580861	0.000011	0.002829
HIST1H2AG	3.637041	4.564894	0.000012	0.003004
BRD2	3.629980	4.553641	0.000013	0.003123
SEPT12	3.624673	4.545186	0.000013	0.003205
HSF5	3.614796	4.529446	0.000014	0.003401
ARID1A	3.611306	4.523885	0.000014	0.003445
VILL	3.608755	4.519820	0.000015	0.003468
YPEL1	3.600245	4.506258	0.000016	0.003643
SMIM22	3.596633	4.500502	0.000016	0.003695
CCDC71L	3.577286	4.469672	0.000018	0.004112
IGLL5	3.576878	4.469022	0.000018	0.004112
CLTCL1	3.576878	4.469022	0.000018	0.004112
IRF2BP2	3.570816	4.459363	0.000019	0.004246
GUCA1B	3.566714	4.452826	0.000020	0.004323
AC069503.2	3.528020	4.391167	0.000026	0.005616
PSMD9	3.524408	4.385410	0.000027	0.005648
ZNF280A	3.524143	4.384988	0.000027	0.005648
MAP1LC3B	3.488347	4.327946	0.000034	0.007165
MAD2L1BP	3.474898	4.306515	0.000037	0.007778
DDX39B	3.471429	4.300986	0.000038	0.007883
MBLAC1	3.458388	4.280205	0.000042	0.008530
FIBCD1	3.446122	4.260660	0.000046	0.009179
C22orf39	3.431020	4.236594	0.000051	0.010065
ATOX1	3.428531	4.232627	0.000051	0.010085
ENO1	3.427796	4.231456	0.000052	0.010085
PXT1	3.404918	4.195000	0.000060	0.011645
SEPT5	3.397204	4.182707	0.000063	0.012048
BHLHE40	3.396939	4.182284	0.000063	0.012048
HIST1H2BC	3.380122	4.155487	0.000071	0.013267
