g.name	raw.score	z.score	p.value	q.value
COQ5	9.282229	7.478324	0.000000	0.000000
DUSP22	8.886446	7.058643	0.000000	0.000000
TUBB	8.562517	6.715156	0.000000	0.000000
PPP1R10	8.459131	6.605527	0.000000	0.000001
JUNB	8.130040	6.256565	0.000000	0.000005
AC005837.2	7.769598	5.874360	0.000000	0.000043
RPS5	7.584167	5.677733	0.000000	0.000114
RFTN1	7.267918	5.342388	0.000000	0.000629
TNFSF9	7.247430	5.320663	0.000000	0.000629
ZFP36	7.155172	5.222835	0.000000	0.000918
B3GALT4	7.143821	5.210798	0.000001	0.000918
ODF3B	7.095419	5.159474	0.000001	0.001098
SLC39A9	6.955182	5.010769	0.000001	0.001909
ASB2	6.954940	5.010512	0.000001	0.001909
UQCC3	6.951417	5.006776	0.000001	0.001909
FGF17	6.932824	4.987061	0.000002	0.001975
ISCU	6.864780	4.914908	0.000002	0.002657
ZFP91	6.835924	4.884310	0.000003	0.002915
DCAF4L1	6.795511	4.841457	0.000003	0.003402
FGR	6.627085	4.662861	0.000008	0.007552
UBC	6.556612	4.588133	0.000011	0.009736
IQCD	6.555841	4.587315	0.000011	0.009736
SLC15A4	6.541021	4.571601	0.000012	0.010008
SPIB	6.520981	4.550351	0.000013	0.010567
ATP6V1G2	6.509562	4.538242	0.000013	0.010718
HIST1H4I	6.492488	4.520138	0.000015	0.011187
CAD	6.478082	4.504862	0.000016	0.011315
TPCN1	6.474612	4.501182	0.000016	0.011315
NDUFB8	6.451577	4.476756	0.000018	0.011868
BBC3	6.450082	4.475170	0.000018	0.011868
CSK	6.432929	4.456982	0.000019	0.012457
PYM1	6.421966	4.445357	0.000020	0.012588
MEIG1	6.414738	4.437692	0.000021	0.012588
ZFP91-CNTF	6.411118	4.433854	0.000021	0.012588
CD79A	6.399727	4.421775	0.000023	0.012900
IFNGR1	6.374669	4.395205	0.000025	0.013760
USP21	6.374036	4.394533	0.000026	0.013760
CYC1	6.325216	4.342765	0.000032	0.016798
DQX1	6.279689	4.294490	0.000039	0.020161
MGAT1	6.274125	4.288589	0.000040	0.020161
DDX39B	6.262604	4.276372	0.000043	0.020356
TMEM253	6.255199	4.268521	0.000044	0.020356
AC120057.2	6.254292	4.267559	0.000044	0.020356
TMEM262	6.250986	4.264053	0.000045	0.020356
VPS51	6.237967	4.250248	0.000048	0.021109
DCLRE1C	6.196285	4.206050	0.000057	0.024893
GPR15	6.141720	4.148190	0.000073	0.031024
NFKBIL1	6.128436	4.134104	0.000078	0.032202
SORL1	6.119815	4.124962	0.000081	0.032759
NAA50	6.113634	4.118408	0.000083	0.032983
PRMT1	6.083750	4.086719	0.000094	0.036825
NR2F2	6.079087	4.081775	0.000096	0.036854
PCBP1	6.053424	4.054562	0.000107	0.040391
MSC	6.029444	4.029135	0.000119	0.043935
CD69	6.021704	4.020927	0.000123	0.044575
NKIRAS2	6.017527	4.016498	0.000125	0.044575
KDM6B	5.990544	3.987886	0.000140	0.049106
