g.name	raw.score	z.score	p.value	q.value
HES7	60.134723	14.207045	0.000000	0.000000
BCL11A	58.037881	13.671500	0.000000	0.000000
RHBDF1	55.808152	13.102015	0.000000	0.000000
KDM6B	55.775290	13.093622	0.000000	0.000000
DDA1	55.752805	13.087879	0.000000	0.000000
HS3ST3B1	55.504568	13.024478	0.000000	0.000000
H2AFJ	55.475756	13.017119	0.000000	0.000000
IQCE	52.592096	12.280617	0.000000	0.000000
ZSWIM8	50.169488	11.661870	0.000000	0.000000
TBC1D24	49.210828	11.417023	0.000000	0.000000
C6orf58	46.924149	10.832992	0.000000	0.000000
INSM1	44.787327	10.287236	0.000000	0.000000
IRX4	44.020571	10.091403	0.000000	0.000000
BORCS6	43.065980	9.847595	0.000000	0.000000
HCFC1R1	43.009987	9.833294	0.000000	0.000000
MYO18A	42.231452	9.634452	0.000000	0.000000
DMKN	42.179934	9.621294	0.000000	0.000000
SOGA3	40.681416	9.238564	0.000000	0.000000
ANP32A	39.722581	8.993673	0.000000	0.000000
UNC5B	39.257825	8.874971	0.000000	0.000000
ABHD14A	39.173611	8.853463	0.000000	0.000000
MSX2	38.569657	8.699210	0.000000	0.000000
MAML3	38.549162	8.693975	0.000000	0.000000
SSC5D	38.507719	8.683390	0.000000	0.000000
PAGR1	38.262710	8.620814	0.000000	0.000000
AC074143.1	37.414558	8.404191	0.000000	0.000000
B4GALT2	37.291158	8.372674	0.000000	0.000000
H2AFZ	37.175799	8.343211	0.000000	0.000000
THOC6	37.145967	8.335591	0.000000	0.000000
RHOF	36.678667	8.216240	0.000000	0.000000
SNAI1	36.222568	8.099750	0.000000	0.000000
TNRC18	36.196766	8.093160	0.000000	0.000000
SMAD6	35.892452	8.015437	0.000000	0.000000
JMJD8	35.669845	7.958582	0.000000	0.000000
AAAS	35.623888	7.946844	0.000000	0.000000
SMAD7	35.335350	7.873150	0.000000	0.000000
ANTXRL	35.275162	7.857778	0.000000	0.000000
LIN37	35.260073	7.853924	0.000000	0.000000
CXXC5	35.058578	7.802461	0.000000	0.000000
TPRN	34.886809	7.758590	0.000000	0.000000
HIC1	34.700290	7.710952	0.000000	0.000000
TP53I13	34.395109	7.633007	0.000000	0.000000
EMX1	34.245868	7.594890	0.000000	0.000000
SPEF1	34.205927	7.584689	0.000000	0.000000
ZNF536	34.136333	7.566915	0.000000	0.000000
TMEM132B	33.860538	7.496475	0.000000	0.000000
ZIC5	33.830967	7.488922	0.000000	0.000000
MLLT6	33.578878	7.424538	0.000000	0.000000
CYP27B1	33.435630	7.387951	0.000000	0.000000
BBC3	33.198043	7.327270	0.000000	0.000000
SIRT7	32.986215	7.273168	0.000000	0.000000
CREB3L4	32.875264	7.244831	0.000000	0.000000
SNAPC2	32.608528	7.176705	0.000000	0.000000
CCDC25	31.600917	6.919356	0.000000	0.000000
TUBB3	31.518436	6.898289	0.000000	0.000000
