g.name	raw.score	z.score	p.value	q.value
AC092835.1	2.094250	16.131397	0.000000	0.000000
C19orf18	1.998267	15.268419	0.000000	0.000000
ZSCAN18	1.723871	12.801333	0.000000	0.000000
ZNF502	1.591883	11.614627	0.000000	0.000000
ZNF555	1.588082	11.580458	0.000000	0.000000
ZNF501	1.561389	11.340461	0.000000	0.000000
ZNF572	1.442823	10.274435	0.000000	0.000000
MRPS5	1.286243	8.866625	0.000000	0.000000
ZNF883	1.284081	8.847193	0.000000	0.000000
ZNF300	1.011976	6.400699	0.000000	0.000001
ZNF454	0.974893	6.067286	0.000000	0.000007
LPAR5	0.917975	5.555541	0.000000	0.000132
ACRBP	0.902239	5.414058	0.000000	0.000264
RPL12	0.866079	5.088946	0.000001	0.001351
LRSAM1	0.833933	4.799919	0.000004	0.005265
ZNF891	0.817086	4.648448	0.000008	0.010095
