g.name	raw.score	z.score	p.value	q.value
ID1	6.333192	8.728739	0.000000	0.000000
AHCY	5.010991	6.567275	0.000000	0.000002
SRC	4.863068	6.325458	0.000000	0.000005
BCL2L1	4.785923	6.199346	0.000000	0.000009
ZMYND8	4.752682	6.145005	0.000000	0.000010
HNMT	4.667300	6.005428	0.000000	0.000020
SRP54	4.623723	5.934190	0.000000	0.000026
PTP4A1	4.539857	5.797090	0.000000	0.000050
ASXL1	4.366116	5.513067	0.000000	0.000222
STRN3	4.263385	5.345128	0.000000	0.000497
AP4S1	4.251520	5.325732	0.000000	0.000501
HECTD1	4.228079	5.287412	0.000000	0.000563
CEBPB	4.210160	5.258118	0.000000	0.000606
RNASE4	4.191850	5.228187	0.000000	0.000659
ANG	4.180685	5.209934	0.000001	0.000676
BPIFB2	4.163651	5.182088	0.000001	0.000728
PNN	4.157294	5.171696	0.000001	0.000728
AL163636.2	4.127371	5.122779	0.000001	0.000871
NBPF1	4.122729	5.115191	0.000001	0.000871
TXNDC11	4.110866	5.095798	0.000001	0.000903
AJUBA	4.101234	5.080052	0.000001	0.000903
NRL	4.100790	5.079327	0.000001	0.000903
CTDSP1	4.073283	5.034359	0.000001	0.001032
MAP1LC3B	4.069291	5.027833	0.000001	0.001032
CARHSP1	4.069174	5.027643	0.000001	0.001032
DCAF11	4.059956	5.012573	0.000001	0.001070
AL132780.3	4.049045	4.994736	0.000002	0.001127
RALGAPA1	4.024932	4.955317	0.000002	0.001322
FOXA1	4.007623	4.927022	0.000002	0.001468
TTC6	3.989069	4.896691	0.000002	0.001647
RBCK1	3.957777	4.845536	0.000003	0.002044
TRAPPC6B	3.933664	4.806117	0.000004	0.002395
NFKBIA	3.908258	4.764585	0.000005	0.002833
RBM39	3.901306	4.753220	0.000005	0.002903
SEPHS2	3.879479	4.717539	0.000006	0.003339
TRIB3	3.815655	4.613202	0.000010	0.005282
ROCK2	3.805863	4.597195	0.000010	0.005532
HEATR5A	3.801230	4.589622	0.000011	0.005578
SAMHD1	3.793223	4.576532	0.000011	0.005771
ADGRG6	3.780465	4.555675	0.000012	0.006188
NDE1	3.774129	4.545318	0.000013	0.006329
PRM3	3.753068	4.510889	0.000015	0.007220
MARF1	3.749868	4.505657	0.000016	0.007221
IGFBP1	3.729516	4.472388	0.000018	0.008034
APOB	3.729122	4.471744	0.000018	0.008034
MIA2	3.722748	4.461323	0.000019	0.008234
SPHK1	3.713277	4.445840	0.000020	0.008634
SYNJ2	3.698219	4.421225	0.000023	0.009429
MGME1	3.675164	4.383536	0.000027	0.010904
SUN5	3.654050	4.349019	0.000031	0.012424
SNX5	3.645748	4.335447	0.000033	0.012769
DUSP1	3.644665	4.333678	0.000033	0.012769
TMEM212	3.637156	4.321402	0.000035	0.013212
DHRS2	3.617142	4.288684	0.000040	0.014928
SERPINA1	3.589498	4.243494	0.000049	0.017773
PRM2	3.582941	4.232774	0.000051	0.018267
NFE2L2	3.577522	4.223915	0.000053	0.018632
APOC3	3.557633	4.191402	0.000061	0.020679
AGPS	3.557351	4.190942	0.000061	0.020679
G2E3	3.542270	4.166287	0.000068	0.022541
SCFD1	3.530550	4.147128	0.000073	0.024009
AMBP	3.511537	4.116047	0.000084	0.026859
ACOX1	3.470019	4.048176	0.000110	0.034468
ARHGAP5	3.469395	4.047155	0.000111	0.034468
TEN1-CDK3	3.459558	4.031074	0.000118	0.036215
TEN1	3.456094	4.025412	0.000121	0.036489
PPP1R3E	3.449673	4.014914	0.000126	0.036991
NFS1	3.449474	4.014589	0.000126	0.036991
AL135905.2	3.446384	4.009538	0.000129	0.037201
ZNF335	3.443040	4.004072	0.000132	0.037482
PLLP	3.431098	3.984549	0.000142	0.039951
TNP2	3.426561	3.977133	0.000147	0.040577
ROMO1	3.422705	3.970828	0.000150	0.041036
INSIG2	3.413553	3.955868	0.000160	0.042954
CTGF	3.403906	3.940097	0.000170	0.045104
IER3	3.386814	3.912156	0.000189	0.049671
