g.name	raw.score	z.score	p.value	q.value
ZNF227	8.699299	8.161430	0.000000	0.000000
ZNF503	7.881538	7.166404	0.000000	0.000000
ZNF146	7.506473	6.710036	0.000000	0.000000
ZNF233	7.272599	6.425466	0.000000	0.000002
FOXC1	6.786931	5.834520	0.000000	0.000052
ZNF225	6.768766	5.812418	0.000000	0.000052
FBXO17	6.761645	5.803754	0.000000	0.000052
NR2F1	6.751329	5.791200	0.000000	0.000052
SENP8	6.706888	5.737127	0.000000	0.000063
ZNF585B	6.596677	5.603025	0.000000	0.000121
LGI4	6.532331	5.524730	0.000000	0.000170
TOMM20	6.405034	5.369840	0.000000	0.000337
ZNF226	6.399576	5.363198	0.000000	0.000337
ZNF383	6.387279	5.348236	0.000000	0.000337
ENAH	6.382255	5.342123	0.000000	0.000337
ZNF570	6.320796	5.267342	0.000000	0.000443
NID1	6.320447	5.266917	0.000000	0.000443
ZNF569	6.294498	5.235344	0.000000	0.000494
SIM2	6.249669	5.180796	0.000001	0.000621
ZNF850	6.231196	5.158319	0.000001	0.000663
CEBPA	6.202457	5.123350	0.000001	0.000756
DPY19L3	6.189301	5.107343	0.000001	0.000783
COL6A1	6.181267	5.097567	0.000001	0.000787
WDR88	6.172659	5.087094	0.000001	0.000792
LSM14A	6.166742	5.079893	0.000001	0.000792
VSTM2B	6.133706	5.039696	0.000001	0.000934
ITPKC	6.115931	5.018069	0.000001	0.001002
UBA2	6.039119	4.924607	0.000002	0.001538
SFMBT2	6.017543	4.898353	0.000002	0.001689
ZNF260	5.993701	4.869343	0.000003	0.001861
ZNF529	5.990056	4.864908	0.000003	0.001861
AC008982.1	5.892666	4.746406	0.000005	0.003176
POU3F2	5.880678	4.731820	0.000005	0.003176
KIAA0355	5.879741	4.730680	0.000006	0.003176
AC008537.1	5.877656	4.728142	0.000006	0.003176
CCDC187	5.866885	4.715037	0.000006	0.003285
TBCE	5.852750	4.697838	0.000006	0.003466
SCN1B	5.807906	4.643274	0.000008	0.004354
NUDT19	5.797356	4.630437	0.000009	0.004502
MYO9A	5.743071	4.564384	0.000012	0.005947
RHPN2	5.738310	4.558591	0.000012	0.005958
LTBP4	5.717562	4.533346	0.000014	0.006523
ETV2	5.689138	4.498760	0.000016	0.007359
RACK1	5.687158	4.496351	0.000016	0.007359
GNG4	5.669936	4.475395	0.000018	0.007904
PRPH	5.634156	4.431859	0.000022	0.009387
LIN37	5.612023	4.404929	0.000024	0.010348
COQ8B	5.592497	4.381170	0.000027	0.011247
B3GALNT2	5.583842	4.370640	0.000028	0.011537
ZIC2	5.568453	4.351914	0.000031	0.012269
ZNF536	5.556876	4.337828	0.000033	0.012787
ECH1	5.528284	4.303038	0.000038	0.014575
GGPS1	5.523254	4.296917	0.000039	0.014682
ZFP14	5.519549	4.292410	0.000040	0.014692
MGAT4B	5.509330	4.279976	0.000042	0.015214
LRFN3	5.500211	4.268879	0.000044	0.015668
ZNF382	5.480467	4.244855	0.000049	0.017051
AC012309.1	5.432331	4.186286	0.000062	0.021406
HNRNPL	5.429371	4.182684	0.000063	0.021406
ZNF345	5.407133	4.155626	0.000071	0.023563
ARID4B	5.367795	4.107760	0.000086	0.028245
PSENEN	5.349132	4.085052	0.000095	0.030499
ACTN4	5.336006	4.069080	0.000101	0.032034
HCST	5.307398	4.034270	0.000117	0.036310
RGS9BP	5.269699	3.988400	0.000140	0.042974
LBR	5.265961	3.983852	0.000143	0.042986
ZNF790	5.263392	3.980725	0.000145	0.042986
USF2	5.246985	3.960762	0.000156	0.045848
RAB3D	5.227324	3.936840	0.000172	0.049630
AC009133.6	5.224442	3.933333	0.000174	0.049630
IBTK	5.219482	3.927297	0.000179	0.049980
SNRPA	5.213822	3.920411	0.000183	0.049980
IGFLR1	5.212889	3.919275	0.000184	0.049980
PLD3	5.211076	3.917069	0.000186	0.049980
SDE2	5.208330	3.913728	0.000188	0.049980
RPS16	5.203334	3.907649	0.000193	0.049980
SIRT2	5.202991	3.907231	0.000193	0.049980
