g.name	raw.score	z.score	p.value	q.value
PIP4P1	3.434299	11.758457	0.000000	0.000000
OSGEP	3.046642	10.209481	0.000000	0.000000
APEX1	2.870297	9.504855	0.000000	0.000000
CUTA	2.767675	9.094802	0.000000	0.000000
GTPBP6	2.428935	7.741289	0.000000	0.000000
DVL2	2.281225	7.151078	0.000000	0.000000
SYNGAP1	2.221726	6.913334	0.000000	0.000000
CTSA	2.218944	6.902220	0.000000	0.000000
NR1D1	2.216351	6.891856	0.000000	0.000000
NEURL2	2.184188	6.763345	0.000000	0.000000
GALNS	2.136817	6.574061	0.000000	0.000000
HPS5	2.104576	6.445235	0.000000	0.000001
NAPA	2.072699	6.317864	0.000000	0.000001
ILF3	2.068675	6.301782	0.000000	0.000001
C19orf24	2.042829	6.198509	0.000000	0.000002
SPNS1	2.023213	6.120128	0.000000	0.000004
ALG1	2.009669	6.066012	0.000000	0.000005
GTF2H1	1.998998	6.023372	0.000000	0.000006
ATP6V0B	1.953581	5.841900	0.000000	0.000016
CNPPD1	1.946826	5.814908	0.000000	0.000018
TRAPPC2L	1.939456	5.785459	0.000000	0.000020
AL136295.1	1.933291	5.760825	0.000000	0.000022
LAMP1	1.929524	5.745774	0.000000	0.000023
PCK2	1.853895	5.443581	0.000000	0.000122
SPATA25	1.843991	5.404007	0.000000	0.000145
BAX	1.826037	5.332266	0.000000	0.000205
GZF1	1.805712	5.251052	0.000000	0.000302
NRL	1.803873	5.243707	0.000000	0.000302
DCAF11	1.802390	5.237781	0.000000	0.000302
NAGPA	1.765084	5.088714	0.000001	0.000631
IPO4	1.751750	5.035434	0.000001	0.000800
DHX35	1.738069	4.980770	0.000002	0.000987
KAT5	1.737612	4.978945	0.000002	0.000987
FAM118B	1.736651	4.975104	0.000002	0.000987
SLC35B2	1.725818	4.931817	0.000002	0.001158
ATP6V0D1	1.725668	4.931221	0.000002	0.001158
AC009690.1	1.719056	4.904800	0.000002	0.001283
TRIB3	1.716460	4.894425	0.000003	0.001314
CLCN6	1.707280	4.857746	0.000003	0.001531
ARFGEF2	1.686999	4.776707	0.000004	0.002200
FDXR	1.685845	4.772095	0.000005	0.002200
LAMTOR1	1.679893	4.748316	0.000005	0.002405
GABARAP	1.674710	4.727606	0.000006	0.002592
SGTA	1.672123	4.717269	0.000006	0.002660
PHF1	1.670750	4.711781	0.000006	0.002669
IRF9	1.666551	4.695004	0.000007	0.002825
STX4	1.663119	4.681288	0.000007	0.002948
UBE2V1	1.659732	4.667755	0.000007	0.003076
ABCB6	1.643768	4.603970	0.000010	0.004049
AC138894.1	1.635091	4.569297	0.000012	0.004419
PCIF1	1.634328	4.566251	0.000012	0.004419
RMND1	1.633797	4.564128	0.000012	0.004419
LTB4R2	1.633773	4.564031	0.000012	0.004419
CHMP4A	1.633690	4.563699	0.000012	0.004419
CDKL3	1.632653	4.559555	0.000012	0.004422
UBAP2	1.630402	4.550561	0.000013	0.004524
UBAP2L	1.623759	4.524017	0.000014	0.005014
TINF2	1.614806	4.488245	0.000017	0.005789
YTHDF1	1.612867	4.480497	0.000017	0.005893
CDK4	1.610364	4.470493	0.000018	0.006060
AL136295.4	1.597403	4.418707	0.000023	0.007503
RETREG2	1.596414	4.414753	0.000023	0.007512
MARCH9	1.587575	4.379438	0.000027	0.008635
DHRS1	1.576273	4.334277	0.000033	0.010213
NOP9	1.576137	4.333731	0.000033	0.010213
EMC9	1.565275	4.290331	0.000040	0.012128
WDR62	1.562654	4.279859	0.000042	0.012495
EEF2	1.561434	4.274986	0.000043	0.012501
RPUSD4	1.560905	4.272869	0.000043	0.012501
UQCRC2	1.557222	4.258153	0.000046	0.013121
EGR1	1.555520	4.251351	0.000047	0.013316
KIAA0391	1.553184	4.242018	0.000049	0.013662
C1orf43	1.550237	4.230244	0.000052	0.014164
CIDEB	1.546861	4.216754	0.000055	0.014792
LTB4R	1.544810	4.208560	0.000057	0.015107
GAA	1.541008	4.193365	0.000061	0.015891
MTHFR	1.538530	4.183464	0.000063	0.016349
AP5Z1	1.536631	4.175876	0.000065	0.016659
PTBP1	1.533221	4.162250	0.000069	0.017410
NEU1	1.527519	4.139468	0.000076	0.018897
PHF23	1.523769	4.124485	0.000081	0.019856
AL132780.3	1.520295	4.110603	0.000085	0.020768
RNASEK	1.518640	4.103990	0.000088	0.021082
FAHD1	1.515600	4.091844	0.000092	0.021895
AL136295.3	1.513375	4.082953	0.000096	0.022438
SLC17A9	1.507823	4.060767	0.000105	0.024174
CAPN10	1.507363	4.058929	0.000106	0.024174
ARMT1	1.505841	4.052848	0.000108	0.024315
ESF1	1.505602	4.051894	0.000109	0.024315
AJUBA	1.503197	4.042283	0.000113	0.024998
PET117	1.496938	4.017276	0.000125	0.027014
OSBPL2	1.496794	4.016699	0.000125	0.027014
AC104472.3	1.496343	4.014898	0.000126	0.027014
SLC33A1	1.492606	3.999967	0.000134	0.028126
MAFG	1.492041	3.997707	0.000135	0.028126
SOCS5	1.491839	3.996899	0.000135	0.028126
AMDHD2	1.489471	3.987439	0.000141	0.028908
SLC35A5	1.488620	3.984040	0.000143	0.029003
MDP1	1.483782	3.964705	0.000154	0.031003
UBE2Q1	1.482026	3.957692	0.000158	0.031558
BPIFB2	1.478234	3.942539	0.000168	0.033172
PLD3	1.474730	3.928538	0.000178	0.034302
AC048338.1	1.474389	3.927175	0.000179	0.034302
IMP4	1.474242	3.926586	0.000179	0.034302
CCDC115	1.470136	3.910180	0.000191	0.036232
MAPRE1	1.467235	3.898590	0.000200	0.037501
THAP8	1.466718	3.896523	0.000201	0.037501
SPATA20	1.462656	3.880293	0.000214	0.039574
CABLES2	1.460684	3.872415	0.000221	0.040427
SEPT2	1.453394	3.843283	0.000247	0.044665
MCOLN1	1.453036	3.841856	0.000249	0.044665
TMEM116	1.450545	3.831901	0.000258	0.045864
TPD52L2	1.450144	3.830297	0.000260	0.045864
