g.name	raw.score	z.score	p.value	q.value
KRT86	9.398448	16.844192	0.000000	0.000000
BCL3	6.915193	11.985548	0.000000	0.000000
NEK8	4.614950	7.484979	0.000000	0.000000
POLR2L	4.571338	7.399649	0.000000	0.000000
THOC6	4.436488	7.135807	0.000000	0.000000
TSPAN4	4.426694	7.116644	0.000000	0.000000
ZFP36	4.223118	6.718335	0.000000	0.000000
HCFC1R1	4.170396	6.615182	0.000000	0.000000
CCDC97	4.098009	6.473552	0.000000	0.000001
SLFNL1	4.073180	6.424973	0.000000	0.000001
FTL	4.067521	6.413899	0.000000	0.000001
GSK3A	4.038684	6.357479	0.000000	0.000001
CD151	4.036979	6.354144	0.000000	0.000001
AC010325.1	4.031729	6.343871	0.000000	0.000001
TP53	3.888803	6.064228	0.000000	0.000005
CD68	3.880330	6.047649	0.000000	0.000006
RAB34	3.847798	5.983998	0.000000	0.000008
PLEKHG2	3.831563	5.952233	0.000000	0.000009
SLC25A11	3.813360	5.916618	0.000000	0.000010
ID1	3.809400	5.908870	0.000000	0.000010
RPL23A	3.799509	5.889519	0.000000	0.000011
C19orf33	3.781381	5.854049	0.000000	0.000013
ENO3	3.743130	5.779210	0.000000	0.000019
RNF167	3.742427	5.777833	0.000000	0.000019
PFN1	3.734190	5.761718	0.000000	0.000020
CHMP2A	3.641999	5.581341	0.000000	0.000053
ABCC3	3.602385	5.503832	0.000000	0.000078
FAM173A	3.582653	5.465225	0.000000	0.000093
KRT7	3.577492	5.455127	0.000000	0.000094
EIF4A1	3.575413	5.451060	0.000000	0.000094
CYP24A1	3.487598	5.279244	0.000000	0.000228
DLG4	3.463100	5.231313	0.000000	0.000284
LRRC14	3.457896	5.221130	0.000000	0.000290
RECQL4	3.449470	5.204645	0.000001	0.000307
RPS11	3.444475	5.194872	0.000001	0.000313
DVL2	3.432893	5.172210	0.000001	0.000343
GAPDH	3.425982	5.158690	0.000001	0.000358
HNRNPUL1	3.413480	5.134229	0.000001	0.000395
TNS3	3.400516	5.108863	0.000001	0.000438
WRAP53	3.385678	5.079831	0.000001	0.000495
DUSP1	3.348556	5.007201	0.000001	0.000697
SIX5	3.341141	4.992692	0.000002	0.000732
TLCD1	3.329766	4.970436	0.000002	0.000786
PIP5KL1	3.329065	4.969066	0.000002	0.000786
PCED1B	3.299130	4.910495	0.000002	0.001026
BHLHE40	3.292578	4.897675	0.000002	0.001069
MED29	3.285174	4.883190	0.000003	0.001123
PAF1	3.270318	4.854122	0.000003	0.001266
RPS16	3.260412	4.834742	0.000003	0.001363
ZNF34	3.236829	4.788599	0.000004	0.001667
AMIGO2	3.232879	4.780871	0.000004	0.001696
SUPT5H	3.223432	4.762388	0.000005	0.001817
MFSD3	3.209781	4.735679	0.000005	0.002024
ITPKC	3.191347	4.699611	0.000006	0.002355
MNT	3.182526	4.682352	0.000007	0.002500
UBC	3.180850	4.679072	0.000007	0.002500
ALDH3A1	3.175883	4.669354	0.000007	0.002571
GABARAP	3.169746	4.657347	0.000008	0.002621
P4HB	3.169660	4.657178	0.000008	0.002621
AC008982.1	3.168129	4.654183	0.000008	0.002621
MAT2A	3.164885	4.647837	0.000008	0.002636
HEXIM1	3.163897	4.645903	0.000008	0.002636
FAM83E	3.156875	4.632164	0.000009	0.002765
AXL	3.154891	4.628282	0.000009	0.002771
POLG2	3.133905	4.587221	0.000011	0.003297
MYC	3.128619	4.576880	0.000011	0.003404
RPL13A	3.098547	4.518043	0.000015	0.004382
C12orf57	3.080822	4.483363	0.000017	0.005047
ARHGDIA	3.078436	4.478693	0.000018	0.005079
VEZF1	3.065308	4.453008	0.000020	0.005615
LRRC24	3.054610	4.432075	0.000022	0.006076
TRAF7	3.050422	4.423882	0.000022	0.006213
CCDC106	3.042700	4.408773	0.000024	0.006551
ARHGEF1	3.029571	4.383086	0.000027	0.007235
CLDN6	3.027009	4.378074	0.000027	0.007297
RPS9	3.024424	4.373015	0.000028	0.007362
WDR81	3.021753	4.367790	0.000029	0.007434
CLCF1	3.016434	4.357383	0.000030	0.007679
RPS19	3.014289	4.353186	0.000031	0.007722
CD79A	3.010378	4.345534	0.000032	0.007884
AC092143.1	3.004991	4.334994	0.000033	0.008151
SPHK2	3.001305	4.327782	0.000034	0.008307
UBE2M	2.998016	4.321346	0.000035	0.008438
MRPL12	2.991145	4.307903	0.000037	0.008836
AC139530.2	2.987492	4.300756	0.000038	0.009005
AC006486.1	2.980345	4.286772	0.000041	0.009451
MPDU1	2.975229	4.276762	0.000043	0.009751
GRAMD1A	2.971853	4.270157	0.000044	0.009916
RPL18	2.970141	4.266808	0.000044	0.009946
PSMC5	2.964202	4.255188	0.000047	0.010335
AP003419.1	2.957904	4.242865	0.000049	0.010640
ERF	2.957079	4.241251	0.000050	0.010640
ALDH3B1	2.956754	4.240615	0.000050	0.010640
GPRIN2	2.947945	4.223380	0.000053	0.011324
APRT	2.946643	4.220832	0.000054	0.011326
SNAPC5	2.924874	4.178240	0.000065	0.013403
EIF2B4	2.917019	4.162871	0.000069	0.014043
SNX17	2.916629	4.162108	0.000069	0.014043
CBX5	2.900102	4.129772	0.000079	0.015895
ZC3H10	2.891499	4.112940	0.000085	0.016867
HNRNPA1	2.888733	4.107527	0.000087	0.017075
ESYT1	2.883830	4.097934	0.000090	0.017587
CYC1	2.881316	4.093016	0.000092	0.017770
PKM	2.879487	4.089438	0.000093	0.017859
NUMBL	2.878058	4.086641	0.000094	0.017892
ZFP36L2	2.860589	4.052461	0.000108	0.020128
NFKB2	2.860442	4.052174	0.000108	0.020128
USP3	2.859102	4.049553	0.000110	0.020128
DPM2	2.858564	4.048499	0.000110	0.020128
DDIT4	2.843013	4.018074	0.000124	0.022549
EID3	2.830582	3.993752	0.000137	0.024633
RARA	2.827116	3.986970	0.000141	0.024965
TBC1D17	2.826578	3.985918	0.000142	0.024965
MRPS12	2.820387	3.973805	0.000149	0.025969
PTOV1	2.811857	3.957115	0.000159	0.027504
SF3B6	2.808305	3.950166	0.000163	0.027912
MAFG	2.807727	3.949034	0.000164	0.027912
ITGA3	2.802672	3.939144	0.000170	0.028776
PRRT2	2.795104	3.924337	0.000181	0.029892
SARS2	2.793669	3.921530	0.000183	0.029892
SLC25A10	2.793513	3.921223	0.000183	0.029892
TCIM	2.793386	3.920975	0.000183	0.029892
TRIB1	2.791577	3.917435	0.000186	0.030064
ZNF276	2.785220	3.904998	0.000195	0.031308
FAM228B	2.781614	3.897942	0.000200	0.031924
VPS9D1	2.756229	3.848275	0.000243	0.038388
COQ8B	2.754139	3.844186	0.000247	0.038690
RPL41	2.746900	3.830022	0.000260	0.040532
TPM1	2.743574	3.823516	0.000267	0.041231
ACTN4	2.739050	3.814664	0.000276	0.042321
ZNF513	2.737781	3.812181	0.000279	0.042397
MMP24OS	2.733984	3.804751	0.000287	0.043284
ACP4	2.729559	3.796093	0.000296	0.044395
SNRPA	2.726281	3.789681	0.000304	0.045149
TNFRSF1A	2.720567	3.778500	0.000317	0.046751
ALOXE3	2.718429	3.774317	0.000322	0.047146
CCDC85B	2.716520	3.770581	0.000326	0.047467
ATG16L2	2.708799	3.755475	0.000345	0.049879
