g.name	raw.score	z.score	p.value	q.value
AL132780.3	8.103208	6.942660	0.000000	0.000000
AJUBA	7.975983	6.800488	0.000000	0.000000
PCK2	7.759768	6.558872	0.000000	0.000001
DHRS2	7.654600	6.441349	0.000000	0.000002
PNN	7.242094	5.980382	0.000000	0.000027
EMC9	7.047816	5.763279	0.000000	0.000081
CBLN3	6.974157	5.680967	0.000000	0.000111
HECTD1	6.892540	5.589761	0.000000	0.000154
KHNYN	6.882445	5.578481	0.000000	0.000154
ID1	6.842608	5.533963	0.000000	0.000178
NBPF1	6.825125	5.514426	0.000000	0.000180
TRAPPC6B	6.800318	5.486706	0.000000	0.000189
THTPA	6.790037	5.475216	0.000000	0.000189
PSME1	6.734194	5.412812	0.000000	0.000223
ZFHX2	6.730915	5.409149	0.000000	0.000223
SRP54	6.721281	5.398382	0.000000	0.000223
DCAF11	6.718655	5.395448	0.000000	0.000223
AP4S1	6.679767	5.351992	0.000000	0.000266
NFKBIA	6.660856	5.330859	0.000000	0.000281
NEDD8	6.648364	5.316899	0.000000	0.000281
GMPR2	6.642450	5.310291	0.000000	0.000281
DHRS1	6.630772	5.297240	0.000000	0.000281
NEDD8-MDP1	6.624670	5.290421	0.000000	0.000281
NOP9	6.622524	5.288024	0.000000	0.000281
AL136295.1	6.584444	5.245470	0.000000	0.000337
NRL	6.548039	5.204788	0.000001	0.000401
CHMP4A	6.537424	5.192926	0.000001	0.000410
TINF2	6.522478	5.176224	0.000001	0.000432
ZMYND8	6.510929	5.163319	0.000001	0.000445
TM9SF1	6.501574	5.152864	0.000001	0.000455
LTB4R2	6.455749	5.101655	0.000001	0.000562
STRN3	6.453105	5.098701	0.000001	0.000562
RNF31	6.439394	5.083380	0.000001	0.000590
RBM39	6.370300	5.006168	0.000001	0.000845
PPP1R3E	6.333062	4.964556	0.000002	0.001010
MDP1	6.314965	4.944332	0.000002	0.001085
HOMEZ	6.296499	4.923697	0.000002	0.001169
BPIFB2	6.263401	4.886710	0.000003	0.001357
TTC6	6.255926	4.878357	0.000003	0.001357
DAD1	6.255069	4.877399	0.000003	0.001357
PSME2	6.245910	4.867165	0.000003	0.001392
SCFD1	6.231158	4.850680	0.000003	0.001472
FOXA1	6.207157	4.823859	0.000004	0.001637
BCL2L2	6.202257	4.818384	0.000004	0.001642
BCL2L2-PABPN1	6.176249	4.789320	0.000004	0.001846
KIAA0391	6.121352	4.727973	0.000006	0.002418
PPP2R3C	6.109319	4.714527	0.000006	0.002522
AL121594.1	6.098913	4.702898	0.000006	0.002609
RBCK1	6.078650	4.680254	0.000007	0.002842
ARHGAP5	6.065831	4.665929	0.000007	0.002978
AL163636.2	6.047439	4.645377	0.000008	0.003213
ANG	6.032194	4.628341	0.000009	0.003410
RNASE4	6.026318	4.621774	0.000009	0.003449
ABHD4	6.014100	4.608122	0.000010	0.003605
AP1G2	6.006201	4.599294	0.000010	0.003686
C14orf119	5.902328	4.483218	0.000017	0.006133
IPO4	5.888686	4.467973	0.000018	0.006451
ACIN1	5.880336	4.458643	0.000019	0.006609
HEATR5A	5.865660	4.442242	0.000021	0.006989
FITM1	5.861321	4.437394	0.000021	0.007022
TXNDC11	5.839037	4.412491	0.000024	0.007712
AL139353.1	5.791877	4.359791	0.000030	0.009560
AL136295.5	5.784579	4.351636	0.000031	0.009740
DTD2	5.781529	4.348227	0.000031	0.009740
NFS1	5.775936	4.341978	0.000032	0.009835
ROMO1	5.773186	4.338904	0.000033	0.009835
BCL2L1	5.763925	4.328555	0.000034	0.010057
PABPN1	5.762405	4.326857	0.000034	0.010057
IRF9	5.753915	4.317370	0.000036	0.010326
SLC7A7	5.735545	4.296841	0.000039	0.010947
SUN5	5.734344	4.295499	0.000039	0.010947
TCEA2	5.732938	4.293928	0.000040	0.010947
MIA2	5.722064	4.281776	0.000042	0.011375
SOX18	5.713338	4.272025	0.000043	0.011619
MRPL52	5.711951	4.270475	0.000044	0.011619
ASXL1	5.703339	4.260852	0.000046	0.011947
SEC23A	5.656246	4.208226	0.000057	0.014645
TSSK4	5.652909	4.204497	0.000058	0.014645
SNX5	5.652107	4.203601	0.000058	0.014645
MGME1	5.646181	4.196979	0.000060	0.014869
AL136295.4	5.630396	4.179339	0.000064	0.015812
PRM3	5.585815	4.129520	0.000079	0.019011
EGLN3	5.583893	4.127372	0.000080	0.019011
G2E3	5.582859	4.126218	0.000080	0.019011
SPTSSA	5.576729	4.119367	0.000082	0.019325
OSGIN1	5.569748	4.111566	0.000085	0.019724
CARHSP1	5.561250	4.102070	0.000089	0.020272
ZNFX1	5.520156	4.056149	0.000107	0.024171
RALGAPA1	5.504300	4.038429	0.000115	0.025676
OXA1L	5.487010	4.019108	0.000124	0.027446
BAZ1A	5.477890	4.008917	0.000129	0.028278
TRIB3	5.471574	4.001859	0.000133	0.028773
PRM2	5.467598	3.997415	0.000135	0.028974
LRP10	5.444107	3.971165	0.000150	0.031826
FBXO33	5.441163	3.967875	0.000152	0.031905
AL136295.3	5.433210	3.958988	0.000158	0.032704
CIDEB	5.409184	3.932139	0.000175	0.035382
LTB4R	5.408949	3.931876	0.000175	0.035382
C14orf93	5.408381	3.931242	0.000176	0.035382
HIST1H2AD	5.404680	3.927106	0.000179	0.035602
AL031777.3	5.388949	3.909526	0.000191	0.037432
BRMS1L	5.388709	3.909258	0.000192	0.037432
CFL2	5.368466	3.886638	0.000209	0.040485
HIST1H3D	5.357442	3.874318	0.000220	0.041704
RALY	5.357194	3.874040	0.000220	0.041704
IGFBP1	5.341101	3.856057	0.000236	0.044284
PRMT5	5.317043	3.829173	0.000261	0.048644
UQCRC2	5.314429	3.826252	0.000264	0.048736
SRC	5.306224	3.817083	0.000274	0.049832
SDR39U1	5.304922	3.815628	0.000275	0.049832
