g.name	raw.score	z.score	p.value	q.value
DGCR8	53.295455	13.237343	0.000000	0.000000
BTBD19	48.055094	11.845942	0.000000	0.000000
SDF2L1	41.808738	10.187433	0.000000	0.000000
AC098650.1	38.764233	9.379068	0.000000	0.000000
ABHD8	38.505960	9.310493	0.000000	0.000000
MYL12A	37.685535	9.092656	0.000000	0.000000
ZCWPW2	37.604822	9.071226	0.000000	0.000000
SESN2	37.005777	8.912170	0.000000	0.000000
AZI2	36.767124	8.848803	0.000000	0.000000
ECSIT	36.374985	8.744684	0.000000	0.000000
HINT3	35.671450	8.557884	0.000000	0.000000
UBE2D2	35.435059	8.495119	0.000000	0.000000
NUP214	35.066495	8.397259	0.000000	0.000000
FCHO2	35.040025	8.390231	0.000000	0.000000
STT3B	34.676252	8.293643	0.000000	0.000000
DAXX	34.396901	8.219471	0.000000	0.000000
ZNF747	34.226040	8.174104	0.000000	0.000000
ARFRP1	33.432931	7.963521	0.000000	0.000000
ICAM4	33.379881	7.949436	0.000000	0.000000
TMEM135	33.182569	7.897046	0.000000	0.000000
TMEM173	32.272094	7.655300	0.000000	0.000000
IL27RA	31.729708	7.511288	0.000000	0.000000
MTHFR	31.450649	7.437193	0.000000	0.000000
ZNF513	31.202302	7.371253	0.000000	0.000000
THAP7	30.996975	7.316736	0.000000	0.000000
AC013717.1	30.447965	7.170965	0.000000	0.000000
P2RX6	30.405554	7.159704	0.000000	0.000000
NDUFA2	30.376589	7.152013	0.000000	0.000000
SSH1	29.986901	7.048545	0.000000	0.000000
SHC1	29.654525	6.960293	0.000000	0.000000
MDC1	29.195079	6.838303	0.000000	0.000000
ABHD11	29.148540	6.825946	0.000000	0.000000
PDCD10	28.940871	6.770807	0.000000	0.000000
TIA1	28.662460	6.696884	0.000000	0.000000
CSNK2B	28.550569	6.667175	0.000000	0.000000
TATDN1	28.469658	6.645692	0.000000	0.000000
DNAJB5	28.235233	6.583448	0.000000	0.000000
MRPS15	28.204059	6.575171	0.000000	0.000000
BRD2	27.990653	6.518509	0.000000	0.000000
C2orf42	27.937975	6.504522	0.000000	0.000000
WARS2	27.925787	6.501286	0.000000	0.000000
H2AFV	27.599168	6.414563	0.000000	0.000000
UBXN10	27.537045	6.398068	0.000000	0.000000
SUSD6	27.379257	6.356173	0.000000	0.000000
UBE2G2	27.243599	6.320154	0.000000	0.000000
RNF214	27.187371	6.305224	0.000000	0.000000
SOS1	27.086460	6.278431	0.000000	0.000000
C1orf116	27.061965	6.271927	0.000000	0.000000
PEX12	26.951381	6.242565	0.000000	0.000001
HSPA1B	26.869772	6.220897	0.000000	0.000001
