g.name	raw.score	z.score	p.value	q.value
LTBP4	18.140265	9.890483	0.000000	0.000000
ZNF384	16.276099	8.713646	0.000000	0.000000
ZNF764	14.938116	7.868984	0.000000	0.000000
RAB3D	14.625350	7.671536	0.000000	0.000000
RPS16	14.172162	7.385441	0.000000	0.000000
SMG9	13.903030	7.215540	0.000000	0.000000
ZNF227	13.427040	6.915050	0.000000	0.000000
C19orf47	13.162468	6.748027	0.000000	0.000000
DNAJC18	12.750467	6.487934	0.000000	0.000001
SUPT5H	12.485163	6.320448	0.000000	0.000002
ZNF629	12.371514	6.248702	0.000000	0.000002
TMEM107	12.298769	6.202779	0.000000	0.000003
METTL1	12.212055	6.148037	0.000000	0.000004
AC025165.3	12.002565	6.015787	0.000000	0.000008
PLD3	11.990370	6.008089	0.000000	0.000008
NBPF1	11.938584	5.975396	0.000000	0.000009
WDR46	11.735793	5.847376	0.000000	0.000018
NMT1	11.249444	5.540346	0.000000	0.000095
DYRK1B	11.235793	5.531728	0.000000	0.000095
SLC39A1	11.001575	5.383868	0.000000	0.000199
VMO1	10.986139	5.374123	0.000000	0.000199
ASS1	10.977673	5.368778	0.000000	0.000199
AQP2	10.939030	5.344383	0.000000	0.000217
CSNK1D	10.865356	5.297873	0.000000	0.000266
HNRNPL	10.815915	5.266661	0.000000	0.000301
C19orf70	10.784222	5.246654	0.000000	0.000322
SRRM5	10.683714	5.183204	0.000001	0.000432
PFDN6	10.618049	5.141750	0.000001	0.000516
PPP1R14A	10.551476	5.099722	0.000001	0.000617
INAFM1	10.456968	5.040060	0.000001	0.000808
C19orf33	10.400791	5.004596	0.000001	0.000934
ZNF576	10.297082	4.939125	0.000002	0.001253
LTN1	10.226074	4.894298	0.000003	0.001514
LYPD3	10.209408	4.883777	0.000003	0.001548
VAMP2	10.163061	4.854518	0.000003	0.001723
ZNF772	10.155831	4.849954	0.000003	0.001723
RPS24	10.044335	4.779567	0.000004	0.002353
FXYD3	9.988976	4.744620	0.000005	0.002706
BX255925.3	9.980301	4.739143	0.000005	0.002706
NFKBID	9.926560	4.705217	0.000006	0.003096
MED29	9.915016	4.697929	0.000006	0.003126
SHMT2	9.843204	4.652594	0.000008	0.003772
RAB34	9.826863	4.642278	0.000008	0.003865
AC002310.4	9.818858	4.637225	0.000009	0.003867
P4HB	9.772829	4.608167	0.000010	0.004308
WDR88	9.766653	4.604268	0.000010	0.004308
PAF1	9.758784	4.599300	0.000010	0.004313
MRPS12	9.735975	4.584901	0.000011	0.004512
CIC	9.693394	4.558020	0.000012	0.004998
HPCAL1	9.634886	4.521085	0.000015	0.005792
COPZ2	9.516117	4.446106	0.000020	0.007902
CAPN2	9.511265	4.443043	0.000021	0.007902
TEDC2	9.490279	4.429795	0.000022	0.008222
MANSC4	9.476858	4.421322	0.000023	0.008378
FABP3	9.425568	4.388943	0.000026	0.009487
PDXK	9.371716	4.354946	0.000030	0.010661
HIST1H2AH	9.368351	4.352822	0.000031	0.010661
SOD1	9.364009	4.350081	0.000031	0.010661
TMEM102	9.292253	4.304782	0.000038	0.012684
SLC7A10	9.287982	4.302086	0.000038	0.012684
SNAPC2	9.277758	4.295631	0.000039	0.012827
KREMEN2	9.269080	4.290153	0.000040	0.012920
LIN37	9.247307	4.276408	0.000043	0.013285
ZNF230	9.247048	4.276244	0.000043	0.013285
B9D2	9.239270	4.271334	0.000044	0.013358
BBC3	9.216005	4.256647	0.000046	0.013885
ZNF768	9.213635	4.255151	0.000047	0.013885
HID1	9.200691	4.246979	0.000048	0.014148
AC004076.1	9.195683	4.243818	0.000049	0.014148
SPRED3	9.189599	4.239977	0.000050	0.014175
HOXC12	9.153063	4.216912	0.000055	0.015109
HIST1H2AM	9.146266	4.212621	0.000056	0.015109
HIST1H3J	9.145376	4.212059	0.000056	0.015109
BLVRB	9.144843	4.211723	0.000056	0.015109
C19orf73	9.122874	4.197854	0.000059	0.015803
AC097637.1	9.084773	4.173801	0.000066	0.017246
PPIE	9.016190	4.130505	0.000079	0.020230
RASGRP4	9.013977	4.129108	0.000079	0.020230
MAN2B1	9.006218	4.124210	0.000081	0.020382
TMEM205	8.981214	4.108425	0.000086	0.021478
HCST	8.971381	4.102217	0.000088	0.021761
FKBP4	8.942865	4.084215	0.000095	0.023139
AL358472.7	8.914199	4.066118	0.000103	0.024610
PAK4	8.870365	4.038446	0.000115	0.027202
MIA-RAB4B	8.855128	4.028827	0.000119	0.027621
MIA	8.855128	4.028827	0.000119	0.027621
ZNF689	8.824283	4.009355	0.000129	0.029526
IFNL1	8.808460	3.999366	0.000134	0.029865
PSMB9	8.806997	3.998443	0.000135	0.029865
SIPA1L2	8.806358	3.998039	0.000135	0.029865
RMDN3	8.797449	3.992415	0.000138	0.030208
RBM27	8.773581	3.977347	0.000146	0.031728
WDR83	8.763181	3.970781	0.000150	0.032217
DDR1	8.726937	3.947901	0.000165	0.034818
GPRC5A	8.719851	3.943428	0.000168	0.034818
TMEM231	8.719389	3.943136	0.000168	0.034818
FAM110D	8.680185	3.918387	0.000185	0.037980
GPX4	8.627882	3.885368	0.000210	0.042761
LGI4	8.614174	3.876714	0.000217	0.043473
EPHB4	8.612896	3.875908	0.000218	0.043473
B9D1	8.589806	3.861331	0.000231	0.045540
ARHGAP45	8.570258	3.848991	0.000242	0.046974
SERTAD1	8.567585	3.847303	0.000244	0.046974
MIEN1	8.565024	3.845686	0.000245	0.046974
BHLHE40	8.545027	3.833062	0.000257	0.048838
ZNF750	8.540550	3.830236	0.000260	0.048904
FAM98C	8.528676	3.822740	0.000268	0.049726
MAGIX	8.525905	3.820991	0.000270	0.049726
BPI	8.515557	3.814458	0.000276	0.049826
MEOX1	8.514590	3.813848	0.000277	0.049826
ATL3	8.513699	3.813285	0.000278	0.049826
