g.name	raw.score	z.score	p.value	q.value
DUSP1	1.400286	7.809109	0.000000	0.000000
AMIGO2	1.189713	6.254877	0.000000	0.000013
PCED1B	1.168922	6.101419	0.000000	0.000016
ZFP36	1.168869	6.101027	0.000000	0.000016
AKR1B10	1.133975	5.843479	0.000000	0.000061
NBPF1	1.071145	5.379731	0.000000	0.000688
KYNU	1.036458	5.123712	0.000001	0.002263
TNS4	1.030258	5.077950	0.000001	0.002500
CCDC80	1.023202	5.025867	0.000001	0.002891
CHD2	1.007029	4.906496	0.000002	0.004688
FTH1	1.004511	4.887911	0.000003	0.004688
LSM14A	0.994135	4.811326	0.000004	0.006230
ITGB1	0.990872	4.787239	0.000004	0.006437
PON2	0.986955	4.758333	0.000005	0.006437
ZNF281	0.986890	4.757849	0.000005	0.006437
STOM	0.977533	4.688787	0.000007	0.008362
CEBPG	0.973206	4.656853	0.000008	0.009137
RHOB	0.963194	4.582952	0.000011	0.011959
ZNF507	0.962041	4.574442	0.000011	0.011959
USP3	0.957142	4.538279	0.000013	0.013396
TCIM	0.955345	4.525017	0.000014	0.013548
TOGARAM2	0.953837	4.513890	0.000015	0.013599
AL034430.2	0.936029	4.382450	0.000027	0.023341
ZNF780B	0.934304	4.369714	0.000028	0.023651
PLEKHG2	0.922429	4.282063	0.000042	0.033173
FAM174B	0.914989	4.227153	0.000053	0.040291
SLC22A5	0.908073	4.176107	0.000065	0.048080
