g.name	raw.score	z.score	p.value	q.value
ID1	5.425543	6.409132	0.000000	0.000010
AJUBA	5.233062	6.121133	0.000000	0.000027
AL132780.3	5.195207	6.064494	0.000000	0.000027
EMC9	5.036093	5.826422	0.000000	0.000078
NRL	5.012024	5.790408	0.000000	0.000078
HECTD1	4.998745	5.770539	0.000000	0.000078
BPIFB2	4.922686	5.656737	0.000000	0.000122
TINF2	4.905550	5.631097	0.000000	0.000122
DCAF11	4.898208	5.620112	0.000000	0.000122
PNN	4.789270	5.457115	0.000000	0.000271
NBPF1	4.698115	5.320724	0.000000	0.000515
NFKBIA	4.641721	5.236346	0.000000	0.000736
RBM39	4.561322	5.116050	0.000001	0.001267
ZMYND8	4.547036	5.094673	0.000001	0.001312
PCK2	4.488337	5.006846	0.000001	0.001909
PPP1R3E	4.383732	4.850331	0.000003	0.003711
AL136295.1	4.381169	4.846496	0.000003	0.003711
RNF31	4.350715	4.800930	0.000004	0.004366
TRAPPC6B	4.294155	4.716304	0.000006	0.006187
PSME1	4.243377	4.640328	0.000008	0.008386
NEDD8	4.222492	4.609077	0.000010	0.009229
GMPR2	4.211152	4.592110	0.000011	0.009525
SRP54	4.198734	4.573530	0.000011	0.009737
STRN3	4.188537	4.558273	0.000012	0.009737
NEDD8-MDP1	4.187521	4.556753	0.000012	0.009737
PSME2	4.183508	4.550748	0.000013	0.009737
ROMO1	4.163261	4.520454	0.000015	0.010757
AP4S1	4.152625	4.504540	0.000016	0.010812
NFS1	4.151919	4.503484	0.000016	0.010812
TM9SF1	4.143596	4.491031	0.000017	0.011054
MGME1	4.099410	4.424917	0.000022	0.014337
ZNFX1	4.093271	4.415733	0.000023	0.014337
BCL2L1	4.081947	4.398789	0.000025	0.014337
MDP1	4.081801	4.398570	0.000025	0.014337
CHMP4A	4.081304	4.397828	0.000025	0.014337
THTPA	4.069284	4.379842	0.000027	0.015084
ZFHX2	4.063110	4.370604	0.000028	0.015281
SNX5	4.057100	4.361611	0.000030	0.015475
FLOT1	4.045176	4.343771	0.000032	0.016296
BCL2L2-PABPN1	3.999517	4.275454	0.000043	0.021328
TRIB3	3.975120	4.238950	0.000050	0.024306
CTGF	3.957735	4.212938	0.000056	0.025497
KHNYN	3.957588	4.212717	0.000056	0.025497
RABGGTA	3.954830	4.208591	0.000057	0.025497
RBCK1	3.952815	4.205576	0.000058	0.025497
RANBP3	3.933450	4.176601	0.000065	0.028163
NR1D1	3.911658	4.143996	0.000074	0.031568
CEBPB	3.898425	4.124196	0.000081	0.033547
DHRS2	3.891482	4.113807	0.000084	0.033884
TCEA2	3.890178	4.111857	0.000085	0.033884
HOMEZ	3.882252	4.099997	0.000089	0.034877
FOXA1	3.872398	4.085253	0.000095	0.036334
TTC6	3.857858	4.063498	0.000104	0.038953
ASXL1	3.849079	4.050363	0.000109	0.039663
CBLN3	3.848778	4.049912	0.000109	0.039663
SOX18	3.844945	4.044177	0.000112	0.039869
HEATR5A	3.820845	4.008117	0.000130	0.045290
