g.name	raw.score	z.score	p.value	q.value
SP5	5.289448	18.736157	0.000000	0.000000
AXIN2	4.232068	14.629171	0.000000	0.000000
ROCK2	3.802675	12.961357	0.000000	0.000000
LGR5	3.499819	11.785029	0.000000	0.000000
MAP1LC3B	3.375820	11.303406	0.000000	0.000000
NKD1	3.322934	11.097991	0.000000	0.000000
TSPAN8	2.934356	9.588709	0.000000	0.000000
FBXO31	2.914219	9.510492	0.000000	0.000000
MLLT6	2.776317	8.974864	0.000000	0.000000
ADH4	2.688479	8.633694	0.000000	0.000000
CAPZA2	2.591195	8.255830	0.000000	0.000000
AFP	2.557295	8.124158	0.000000	0.000000
IRF2BP2	2.427556	7.620238	0.000000	0.000000
ID1	2.347119	7.307812	0.000000	0.000000
APOB	2.322294	7.211389	0.000000	0.000000
FABP1	2.291687	7.092506	0.000000	0.000000
BCL2L1	2.267143	6.997174	0.000000	0.000000
ZNF503	2.225991	6.837338	0.000000	0.000000
NR1D1	2.215380	6.796121	0.000000	0.000000
RMDN2	2.180710	6.661460	0.000000	0.000000
ADGRG6	2.168915	6.615647	0.000000	0.000000
RHBG	2.160096	6.581393	0.000000	0.000000
CTSZ	2.092825	6.320103	0.000000	0.000001
TMEM212	2.075972	6.254644	0.000000	0.000001
ITIH2	2.064651	6.210675	0.000000	0.000001
SRC	2.060796	6.195700	0.000000	0.000001
AL132780.3	2.036070	6.099662	0.000000	0.000002
MSH5-SAPCD1	2.020397	6.038787	0.000000	0.000003
PTP4A1	2.008348	5.991985	0.000000	0.000004
DSP	1.995371	5.941582	0.000000	0.000006
MSH5	1.988595	5.915265	0.000000	0.000006
FGL1	1.980374	5.883331	0.000000	0.000008
FGA	1.967427	5.833045	0.000000	0.000010
UGT1A1	1.965633	5.826076	0.000000	0.000010
NFKBIA	1.961880	5.811500	0.000000	0.000011
KRT39	1.960493	5.806114	0.000000	0.000011
AJUBA	1.957098	5.792924	0.000000	0.000011
TUBB1	1.951304	5.770421	0.000000	0.000012
IL1R1	1.950007	5.765385	0.000000	0.000012
C2orf83	1.946067	5.750081	0.000000	0.000013
SRP54	1.937178	5.715553	0.000000	0.000016
TGFBR2	1.923440	5.662194	0.000000	0.000021
FGG	1.914548	5.627655	0.000000	0.000025
INSIG2	1.892192	5.540823	0.000000	0.000039
RNASE8	1.889793	5.531505	0.000000	0.000040
CLIC1	1.889429	5.530093	0.000000	0.000040
PLD1	1.877621	5.484228	0.000000	0.000049
DUSP6	1.877091	5.482169	0.000000	0.000049
RBMS1	1.868246	5.447812	0.000000	0.000058
FOXA1	1.849331	5.374345	0.000000	0.000085
AHSG	1.846750	5.364322	0.000000	0.000088
ZMYND8	1.844951	5.357335	0.000000	0.000090
BPIFB2	1.834375	5.316256	0.000000	0.000109
TTC6	1.818241	5.253591	0.000000	0.000150
AC026398.1	1.802590	5.192797	0.000001	0.000202
FMNL2	1.800277	5.183814	0.000001	0.000207
APOA2	1.788045	5.136304	0.000001	0.000260
FAM169A	1.779860	5.104515	0.000001	0.000301
CRLS1	1.770884	5.069648	0.000001	0.000354
MBL2	1.767322	5.055815	0.000001	0.000373
HECTD1	1.765287	5.047908	0.000001	0.000382
DHRS2	1.751426	4.994071	0.000002	0.000488
LRMDA	1.751077	4.992717	0.000002	0.000488
SPATS2L	1.744794	4.968311	0.000002	0.000542
YAP1	1.737290	4.939165	0.000002	0.000617
CCL20	1.732277	4.919696	0.000002	0.000669
RNASE4	1.730551	4.912991	0.000002	0.000681
EVA1A	1.729778	4.909988	0.000002	0.000681
TINF2	1.726619	4.897719	0.000002	0.000711
RRBP1	1.725970	4.895197	0.000002	0.000711
AP4S1	1.722804	4.882901	0.000003	0.000744
GRB7	1.721940	4.879543	0.000003	0.000746
TOMM40L	1.719949	4.871811	0.000003	0.000764
HNRNPLL	1.708400	4.826953	0.000003	0.000937
SUN5	1.702142	4.802646	0.000004	0.001039
TMEM37	1.698324	4.787819	0.000004	0.001092
SNX17	1.697906	4.786194	0.000004	0.001092
EIF2B4	1.697388	4.784181	0.000004	0.001092
ANG	1.695081	4.775221	0.000004	0.001112
AHCY	1.695030	4.775024	0.000004	0.001112
TM4SF1	1.691931	4.762985	0.000005	0.001163
PNN	1.690164	4.756125	0.000005	0.001184
AMDHD1	1.689656	4.754149	0.000005	0.001184
DKK1	1.683028	4.728407	0.000006	0.001322
EMC9	1.673618	4.691857	0.000007	0.001552
NOTUM	1.660838	4.642218	0.000008	0.001932
HEPACAM	1.660229	4.639852	0.000008	0.001932
NRL	1.655489	4.621442	0.000009	0.002080
SLC17A2	1.651589	4.606295	0.000010	0.002206
COG1	1.649679	4.598875	0.000010	0.002257
SLC6A12	1.647898	4.591956	0.000011	0.002304
RALGAPA1	1.646115	4.585034	0.000011	0.002328
