g.name	raw.score	z.score	p.value	q.value
TRIM55	1.203932	8.139616	0.000000	0.000000
TRIB1	0.983490	6.187709	0.000000	0.000014
DUSP1	0.979005	6.147995	0.000000	0.000014
FAM174B	0.976496	6.125775	0.000000	0.000014
ZFP36	0.934016	5.749634	0.000000	0.000105
AKR1B10	0.930042	5.714446	0.000000	0.000107
ACTN4	0.918592	5.613065	0.000000	0.000164
PCED1B	0.908572	5.524344	0.000000	0.000221
KYNU	0.907404	5.513998	0.000000	0.000221
RHOB	0.901854	5.464859	0.000000	0.000244
RPS16	0.901184	5.458927	0.000000	0.000244
FOSL2	0.890401	5.363442	0.000000	0.000375
SUPT5H	0.881271	5.282607	0.000000	0.000533
AMIGO2	0.868998	5.173934	0.000001	0.000874
USP3	0.839808	4.915467	0.000002	0.003003
AKR1B1	0.837925	4.898791	0.000002	0.003056
CCDC80	0.831403	4.841041	0.000003	0.003810
TOGARAM2	0.821645	4.754644	0.000005	0.005446
ITGB1	0.818124	4.723461	0.000006	0.005981
SERTAD1	0.815520	4.700407	0.000006	0.006334
ID1	0.809801	4.649772	0.000008	0.007644
PLEKHG2	0.806646	4.621835	0.000009	0.008306
NBPF1	0.799293	4.556727	0.000012	0.010711
GSAP	0.794321	4.512700	0.000015	0.012533
IRF2BP2	0.780919	4.394031	0.000026	0.020410
ABCC3	0.778048	4.368608	0.000029	0.021438
AXL	0.777667	4.365238	0.000029	0.021438
PAF1	0.768445	4.283579	0.000041	0.029427
MED29	0.765778	4.259967	0.000046	0.030630
HNRNPUL1	0.765078	4.253762	0.000047	0.030630
FURIN	0.764102	4.245125	0.000049	0.030630
SCHIP1	0.763846	4.242858	0.000049	0.030630
SCYGR1	0.760415	4.212475	0.000056	0.033773
GPI	0.757733	4.188726	0.000062	0.036219
ECH1	0.753877	4.154587	0.000071	0.040569
