g.name	raw.score	z.score	p.value	q.value
YDJC	17.905013	10.538211	0.000000	0.000000
BCR	17.653269	10.369443	0.000000	0.000000
RPS6KC1	15.802229	9.128508	0.000000	0.000000
HIST1H3D	15.767980	9.105548	0.000000	0.000000
MAPK1	15.073699	8.640103	0.000000	0.000000
PI4KA	14.990751	8.584495	0.000000	0.000000
CCDC116	14.882973	8.512242	0.000000	0.000000
ZNF280A	14.877570	8.508619	0.000000	0.000000
SDF2L1	14.757835	8.428349	0.000000	0.000000
ITPRIP	13.499582	7.584819	0.000000	0.000000
HIST1H4E	12.941078	7.210399	0.000000	0.000000
SNAP29	12.914194	7.192375	0.000000	0.000000
NUP214	12.876091	7.166832	0.000000	0.000000
CCDC159	12.866694	7.160532	0.000000	0.000000
IMMT	12.781490	7.103411	0.000000	0.000000
FECH	12.672022	7.030024	0.000000	0.000000
DDR1	12.133939	6.669294	0.000000	0.000000
AIF1L	12.120203	6.660085	0.000000	0.000000
UBXN10	12.118548	6.658976	0.000000	0.000000
EPS15	11.884259	6.501909	0.000000	0.000000
NBPF1	11.783041	6.434053	0.000000	0.000000
CRKL	11.511646	6.252110	0.000000	0.000001
HESX1	11.460824	6.218039	0.000000	0.000001
CLIC1	11.239408	6.069602	0.000000	0.000003
ESPN	11.162375	6.017959	0.000000	0.000004
ZFPM1	11.066338	5.953576	0.000000	0.000006
INTS6L	11.036134	5.933328	0.000000	0.000007
DUSP1	10.895786	5.839239	0.000000	0.000011
ZNF217	10.758248	5.747033	0.000000	0.000018
SHC1	10.688863	5.700518	0.000000	0.000023
UBL4A	10.603554	5.643327	0.000000	0.000031
LUZP6	10.560268	5.614308	0.000000	0.000036
UBE2H	10.538895	5.599980	0.000000	0.000037
SNAP23	10.426921	5.524913	0.000000	0.000055
HIST1H4I	10.410250	5.513736	0.000000	0.000057
PPIL2	10.384842	5.496703	0.000000	0.000060
CD164	10.378927	5.492738	0.000000	0.000060
MSH5	10.357500	5.478372	0.000000	0.000063
RAB3D	10.351435	5.474306	0.000000	0.000063
GADD45A	10.228671	5.392006	0.000000	0.000097
ZMYND8	10.220119	5.386273	0.000000	0.000097
HES2	10.198416	5.371723	0.000000	0.000103
CBFA2T3	10.123349	5.321398	0.000000	0.000130
CCDC91	10.118605	5.318218	0.000000	0.000130
MDM4	10.024262	5.254971	0.000000	0.000178
ATG9B	9.992979	5.233998	0.000000	0.000192
FAM78A	9.990161	5.232110	0.000000	0.000192
PRAME	9.975380	5.222200	0.000000	0.000197
MACC1	9.971796	5.219797	0.000000	0.000197
THG1L	9.952848	5.207095	0.000001	0.000206
PPP1R15A	9.940682	5.198938	0.000001	0.000211
ADGRF3	9.921481	5.186066	0.000001	0.000221
DGCR8	9.883368	5.160516	0.000001	0.000247
PIP5KL1	9.863281	5.147049	0.000001	0.000260
MSH5-SAPCD1	9.837156	5.129535	0.000001	0.000280
BRIX1	9.741131	5.065160	0.000001	0.000381
ADAT1	9.728748	5.056859	0.000001	0.000391
LIG3	9.680983	5.024837	0.000001	0.000451
LAMC3	9.646300	5.001586	0.000001	0.000498
APPL1	9.627273	4.988830	0.000002	0.000522
GATA2	9.609141	4.976674	0.000002	0.000546
TANGO2	9.558525	4.942742	0.000002	0.000635
KAT6B	9.504651	4.906624	0.000002	0.000747
FRRS1	9.433552	4.858960	0.000003	0.000928
ZNF280B	9.367800	4.814879	0.000004	0.001131
LRRC61	9.361399	4.810588	0.000004	0.001137
HIST1H3B	9.343875	4.798840	0.000004	0.001185
HIST1H2BJ	9.336989	4.794224	0.000004	0.001193
PYCR2	9.321321	4.783720	0.000004	0.001237
AMN1	9.311250	4.776969	0.000004	0.001246
SPTA1	9.309991	4.776125	0.000004	0.001246
COMT	9.292916	4.764677	0.000005	0.001298
GALNT5	9.284490	4.759029	0.000005	0.001315
KMT2E	9.272507	4.750996	0.000005	0.001348
CPEB4	9.247139	4.733989	0.000005	0.001442
FO393400.1	9.235450	4.726153	0.000006	0.001476
AL117348.2	9.220137	4.715887	0.000006	0.001530
TRDMT1	9.215006	4.712447	0.000006	0.001535
MAD2L1BP	9.198307	4.701252	0.000006	0.001593
YPEL1	9.195268	4.699215	0.000006	0.001593
RAB36	9.183656	4.691430	0.000007	0.001631
HINT1	9.164848	4.678821	0.000007	0.001710
IRF2BP1	9.157452	4.673863	0.000007	0.001729
SDCCAG8	9.129513	4.655132	0.000008	0.001864
BHLHE40	9.122907	4.650704	0.000008	0.001880
RCSD1	9.103052	4.637393	0.000009	0.001977
MOB1A	9.090631	4.629066	0.000009	0.002031
RAB34	9.054951	4.605147	0.000010	0.002243
XPR1	9.046506	4.599485	0.000010	0.002276
NDUFB7	9.030834	4.588978	0.000011	0.002361
NQO2	9.027417	4.586688	0.000011	0.002361
MORC3	8.999776	4.568157	0.000012	0.002542
LY6G5C	8.974158	4.550983	0.000013	0.002719
DDIT4	8.963427	4.543789	0.000013	0.002762
MED15	8.962015	4.542842	0.000013	0.002762
CBX8	8.947366	4.533022	0.000014	0.002833
STK19	8.946850	4.532675	0.000014	0.002833
ZNF106	8.925022	4.518042	0.000015	0.002996
CPED1	8.844726	4.464212	0.000019	0.003777
FLNC	8.829314	4.453880	0.000020	0.003916
RSPH14	8.811750	4.442105	0.000021	0.004085
VSIG10L	8.776701	4.418608	0.000023	0.004489
FBXO24	8.769147	4.413544	0.000023	0.004509
SLC30A6	8.768611	4.413184	0.000024	0.004509
GNB1L	8.754964	4.404036	0.000025	0.004621
SERPIND1	8.753858	4.403294	0.000025	0.004621
KLHL22	8.750120	4.400788	0.000025	0.004629
GTPBP2	8.709886	4.373815	0.000028	0.005162
SDE2	8.694726	4.363652	0.000029	0.005319
RTL10	8.693439	4.362789	0.000029	0.005319
HIST1H2BC	8.657987	4.339022	0.000033	0.005845
VPS25	8.653322	4.335895	0.000033	0.005872
FIBCD1	8.638469	4.325938	0.000034	0.006076
TMEM60	8.552187	4.268094	0.000044	0.007722
ZKSCAN3	8.546113	4.264022	0.000045	0.007789
KCNMB3	8.538282	4.258773	0.000046	0.007897
SSBP2	8.495154	4.229859	0.000052	0.008852
TSPOAP1	8.457171	4.204396	0.000058	0.009772
IGF2R	8.444238	4.195726	0.000060	0.010049
HSD17B6	8.414351	4.175690	0.000065	0.010837
CIC	8.388264	4.158200	0.000070	0.011560
FAH	8.367665	4.144391	0.000074	0.012142
RNF10	8.357619	4.137656	0.000076	0.012303
GATA1	8.357045	4.137271	0.000077	0.012303
MLLT11	8.353676	4.135013	0.000077	0.012319
CAPG	8.343719	4.128337	0.000079	0.012563
PLCD3	8.338770	4.125020	0.000081	0.012636
PLK3	8.318162	4.111204	0.000085	0.013271
MRPL40	8.301424	4.099983	0.000089	0.013789
RNF145	8.288667	4.091431	0.000092	0.014171
PROSER2	8.279814	4.085496	0.000095	0.014408
UGGT1	8.229991	4.052095	0.000109	0.016381
NCOA7	8.214127	4.041459	0.000113	0.016973
NBAS	8.183484	4.020917	0.000123	0.018300
CAP1	8.177693	4.017034	0.000125	0.018451
NUP210L	8.163199	4.007317	0.000130	0.019043
HSPA1B	8.159981	4.005160	0.000131	0.019068
RHBDD1	8.100443	3.965246	0.000154	0.022029
AKR1D1	8.098745	3.964108	0.000154	0.022029
THAP2	8.097823	3.963489	0.000155	0.022029
HNRNPL	8.078517	3.950547	0.000163	0.023017
TOP3B	8.075942	3.948820	0.000164	0.023017
CLEC2D	8.053959	3.934083	0.000174	0.024223
ARL15	8.034093	3.920765	0.000183	0.025346
AKR7A2	7.985270	3.888034	0.000208	0.028603
TXNRD2	7.980992	3.885166	0.000210	0.028725
IFITM3	7.975104	3.881219	0.000214	0.028971
CNKSR3	7.935631	3.854757	0.000237	0.031876
DNM2	7.927111	3.849044	0.000242	0.032367
IL18RAP	7.908556	3.836606	0.000254	0.033347
KLF3	7.908364	3.836477	0.000254	0.033347
RNF187	7.907794	3.836094	0.000254	0.033347
CCL26	7.889782	3.824019	0.000266	0.034697
DDAH2	7.829944	3.783904	0.000310	0.040154
GMPR	7.822495	3.778910	0.000316	0.040493
PHTF2	7.821543	3.778272	0.000317	0.040493
PSMD5	7.805891	3.767779	0.000330	0.041860
CYTH1	7.792073	3.758515	0.000342	0.043070
RCC1	7.789542	3.756819	0.000344	0.043073
CKS1B	7.787039	3.755140	0.000346	0.043075
PPP1R9B	7.774948	3.747035	0.000357	0.044129
NEK8	7.770810	3.744261	0.000360	0.044314
ID3	7.760605	3.737419	0.000370	0.045184
HIST1H2AG	7.730209	3.717042	0.000399	0.048452
AGPAT1	7.722610	3.711947	0.000406	0.049079
UFD1	7.716601	3.707919	0.000413	0.049518
