g.name	raw.score	z.score	p.value	q.value
ID1	9.010761	6.828290	0.000000	0.000001
AJUBA	8.197775	6.054964	0.000000	0.000043
ZMYND8	8.086202	5.948833	0.000000	0.000048
AL132780.3	8.057643	5.921667	0.000000	0.000048
PNN	7.983073	5.850735	0.000000	0.000059
PCK2	7.594421	5.481043	0.000000	0.000386
SRP54	7.570341	5.458137	0.000000	0.000386
RBM39	7.523123	5.413222	0.000000	0.000431
DCAF11	7.454802	5.348235	0.000000	0.000511
EMC9	7.446191	5.340044	0.000000	0.000511
STRN3	7.400798	5.296865	0.000000	0.000584
NBPF1	7.374372	5.271728	0.000000	0.000612
NFKBIA	7.358190	5.256335	0.000000	0.000612
AP4S1	7.331439	5.230889	0.000000	0.000650
TINF2	7.293117	5.194437	0.000001	0.000733
HECTD1	7.209603	5.114997	0.000001	0.001035
PPP1R3E	7.007573	4.922823	0.000002	0.002477
ROMO1	7.002052	4.917571	0.000002	0.002477
NFS1	6.971633	4.888636	0.000003	0.002658
TTC6	6.964305	4.881665	0.000003	0.002658
MGME1	6.950190	4.868239	0.000003	0.002703
NRL	6.923259	4.842622	0.000003	0.002922
SNX5	6.899863	4.820367	0.000004	0.003088
FOXA1	6.892272	4.813146	0.000004	0.003088
TRAPPC6B	6.882374	4.803731	0.000004	0.003101
ZNFX1	6.841718	4.765058	0.000005	0.003588
AHSG	6.806310	4.731378	0.000005	0.003916
NEDD8	6.805932	4.731018	0.000006	0.003916
GMPR2	6.770673	4.697479	0.000006	0.004326
BPIFB2	6.768369	4.695288	0.000007	0.004326
BCL2L2-PABPN1	6.760645	4.687940	0.000007	0.004333
NEDD8-MDP1	6.690143	4.620878	0.000009	0.005735
RBCK1	6.674136	4.605651	0.000010	0.005819
FLOT1	6.673021	4.604591	0.000010	0.005819
PSME1	6.664253	4.596250	0.000010	0.005874
HOMEZ	6.479977	4.420964	0.000023	0.012587
IGFBP1	6.462574	4.404410	0.000024	0.013175
KIAA0391	6.425182	4.368842	0.000029	0.014676
AL136295.1	6.424090	4.367804	0.000029	0.014676
ASXL1	6.405465	4.350087	0.000031	0.015458
BCL2L2	6.359341	4.306213	0.000038	0.018235
DHRS2	6.284861	4.235366	0.000051	0.023673
HEATR5A	6.283358	4.233937	0.000051	0.023673
APOB	6.276968	4.227858	0.000052	0.023738
PPP2R3C	6.250480	4.202663	0.000058	0.025811
AL121594.1	6.224924	4.178353	0.000065	0.026416
HNMT	6.217213	4.171018	0.000067	0.026416
CTDSP1	6.216912	4.170731	0.000067	0.026416
RNF31	6.216142	4.169999	0.000067	0.026416
SCFD1	6.214261	4.168210	0.000067	0.026416
BCL2L1	6.213219	4.167219	0.000068	0.026416
TCEA2	6.182634	4.138126	0.000076	0.029235
IER3	6.151377	4.108394	0.000086	0.032424
TRIB3	6.117193	4.075877	0.000099	0.036353
TM9SF1	6.111345	4.070315	0.000101	0.036510
MDP1	6.094461	4.054255	0.000108	0.038275
CHMP4A	6.082248	4.042637	0.000113	0.039415
SOX18	6.059337	4.020844	0.000123	0.042293
