g.name	raw.score	z.score	p.value	q.value
PDLIM2	7.113052	14.010923	0.000000	0.000000
PPM1N	6.373664	12.303532	0.000000	0.000000
KRTAP5-6	6.333727	12.211309	0.000000	0.000000
AC006538.2	5.805358	10.991201	0.000000	0.000000
SPSB1	5.685622	10.714706	0.000000	0.000000
SNAI1	5.463095	10.200847	0.000000	0.000000
TMEM132B	5.417420	10.095376	0.000000	0.000000
ZNF581	5.242613	9.691711	0.000000	0.000000
RNF224	5.202464	9.599001	0.000000	0.000000
CDC37	5.172665	9.530189	0.000000	0.000000
OSM	5.139280	9.453095	0.000000	0.000000
AC008397.2	4.951226	9.018843	0.000000	0.000000
AC008397.1	4.951226	9.018843	0.000000	0.000000
TSPAN9	4.908437	8.920034	0.000000	0.000000
ANKRD63	4.875902	8.844905	0.000000	0.000000
FICD	4.842990	8.768904	0.000000	0.000000
SLC25A51	4.813849	8.701612	0.000000	0.000000
AURKAIP1	4.739043	8.528869	0.000000	0.000000
TNFRSF25	4.733929	8.517061	0.000000	0.000000
LTB4R	4.686842	8.408327	0.000000	0.000000
CIDEB	4.675245	8.381549	0.000000	0.000000
SLC39A3	4.672569	8.375368	0.000000	0.000000
METRN	4.657341	8.340205	0.000000	0.000000
SGSM1	4.590183	8.185122	0.000000	0.000000
AL355987.3	4.557525	8.109709	0.000000	0.000000
AAAS	4.555691	8.105475	0.000000	0.000000
TMEM141	4.541771	8.073330	0.000000	0.000000
TMEM88	4.540726	8.070918	0.000000	0.000000
RGS16	4.528534	8.042763	0.000000	0.000000
PTGER1	4.503516	7.984993	0.000000	0.000000
B3GALNT2	4.492947	7.960586	0.000000	0.000000
BCL2L2	4.392744	7.729198	0.000000	0.000000
FUT7	4.386034	7.713702	0.000000	0.000000
FIBP	4.382315	7.705114	0.000000	0.000000
SPHK1	4.320446	7.562247	0.000000	0.000000
RTN4RL2	4.307464	7.532269	0.000000	0.000000
ZNF839	4.303156	7.522322	0.000000	0.000000
LRRC73	4.273455	7.453737	0.000000	0.000000
SYT8	4.253729	7.408186	0.000000	0.000000
RINL	4.215429	7.319742	0.000000	0.000000
PPP1R32	4.208999	7.304893	0.000000	0.000000
CLEC16A	4.123070	7.106469	0.000000	0.000000
MUC12	4.119850	7.099031	0.000000	0.000000
LTBP2	4.111148	7.078938	0.000000	0.000000
NBPF1	4.110060	7.076426	0.000000	0.000000
TNFAIP8L1	4.100656	7.054710	0.000000	0.000000
PROSER2	4.078165	7.002774	0.000000	0.000000
FOXC2	4.076131	6.998077	0.000000	0.000000
HAPLN3	4.068859	6.981283	0.000000	0.000000
RPP38	4.033060	6.898618	0.000000	0.000000
SLURP1	4.019376	6.867019	0.000000	0.000000
TUSC2	3.977078	6.769344	0.000000	0.000000
CAPN7	3.952323	6.712180	0.000000	0.000000
DMKN	3.922411	6.643107	0.000000	0.000000
HOXC8	3.902990	6.598259	0.000000	0.000000
SLC34A3	3.869973	6.522016	0.000000	0.000000
RPL38	3.835920	6.443382	0.000000	0.000000
TIMM10	3.794631	6.348036	0.000000	0.000000
WNT10A	3.776622	6.306452	0.000000	0.000000
RELCH	3.746613	6.237154	0.000000	0.000000
AL096870.1	3.733086	6.205919	0.000000	0.000001
PLA2G4C	3.707981	6.147946	0.000000	0.000001
ELAVL1	3.691746	6.110455	0.000000	0.000001
GSTK1	3.691702	6.110353	0.000000	0.000001
DYNC1H1	3.683903	6.092345	0.000000	0.000001
ARID3A	3.675674	6.073343	0.000000	0.000001
GTF2IRD1	3.645762	6.004269	0.000000	0.000002
CIB3	3.634517	5.978302	0.000000	0.000002
DEPP1	3.633525	5.976013	0.000000	0.000002
MESP1	3.612827	5.928217	0.000000	0.000003
SST	3.608842	5.919015	0.000000	0.000003
ZNF396	3.604964	5.910060	0.000000	0.000003
BTBD16	3.597534	5.892901	0.000000	0.000003
OSR2	3.590139	5.875826	0.000000	0.000003
HNRNPA2B1	3.572279	5.834584	0.000000	0.000004
NXPH4	3.565500	5.818929	0.000000	0.000005
WNT11	3.549341	5.781616	0.000000	0.000006
SLC9A3R1	3.549069	5.780986	0.000000	0.000006
SLC7A10	3.537940	5.755287	0.000000	0.000006
PPP1R1B	3.537140	5.753440	0.000000	0.000006
CHRND	3.521174	5.716572	0.000000	0.000008
RPS14	3.519464	5.712623	0.000000	0.000008
B3GALT2	3.468824	5.595684	0.000000	0.000015
RNASEK-C17orf49	3.456264	5.566683	0.000000	0.000018
ZNHIT3	3.442561	5.535038	0.000000	0.000021
DEFB132	3.430578	5.507368	0.000000	0.000024
BCL6	3.426316	5.497525	0.000000	0.000025
RANBP3	3.407262	5.453526	0.000000	0.000031
VSIG10L	3.376332	5.382104	0.000000	0.000046
CBX6	3.352323	5.326662	0.000000	0.000061
HTR2A	3.346990	5.314347	0.000000	0.000064
GPX4	3.343044	5.305234	0.000000	0.000067
PIGN	3.342482	5.303936	0.000000	0.000067
SPATA3	3.335614	5.288076	0.000000	0.000072
FXYD1	3.334271	5.284976	0.000000	0.000072
KCNIP2	3.333850	5.284003	0.000000	0.000072
EEF1A2	3.322166	5.257023	0.000000	0.000082
NPM3	3.314157	5.238528	0.000000	0.000089
HSD11B1L	3.292878	5.189392	0.000001	0.000114
LGALS7	3.276999	5.152724	0.000001	0.000136
GRIN2D	3.261841	5.117721	0.000001	0.000162
DHRS7B	3.232578	5.050146	0.000001	0.000226
CRB3	3.225016	5.032686	0.000001	0.000244
ITPK1	3.210578	4.999344	0.000001	0.000286
ZNF792	3.190639	4.953302	0.000002	0.000356
C19orf70	3.189772	4.951299	0.000002	0.000356
ASIC2	3.182929	4.935498	0.000002	0.000381
LIF	3.170587	4.906997	0.000002	0.000433
DDN	3.170166	4.906025	0.000002	0.000433
MAL	3.159052	4.880360	0.000003	0.000486
AC073610.2	3.134990	4.824797	0.000004	0.000631
RPL3	3.124131	4.799721	0.000004	0.000706
CDK6	3.121754	4.794232	0.000004	0.000718
TEDDM1	3.117113	4.783516	0.000004	0.000749
SAAL1	3.114616	4.777750	0.000004	0.000764
IFI6	3.100184	4.744423	0.000005	0.000887
SOX4	3.098938	4.741545	0.000005	0.000892
ADHFE1	3.074280	4.684605	0.000007	0.001131
AC009879.3	3.074280	4.684605	0.000007	0.001131
APOC4-APOC2	3.073993	4.683942	0.000007	0.001131
APOC4	3.073993	4.683942	0.000007	0.001131
NOC4L	3.068728	4.671786	0.000007	0.001187
GPR45	3.040227	4.605971	0.000010	0.001598
RPS19BP1	3.028588	4.579093	0.000011	0.001794
SLC13A3	3.026377	4.573988	0.000011	0.001821
POLR1C	3.019920	4.559078	0.000012	0.001934
TPD52	3.012096	4.541011	0.000013	0.002084
PRMT1	3.007228	4.529769	0.000014	0.002175
PCYOX1L	3.000036	4.513161	0.000015	0.002327
IQSEC2	2.981868	4.471208	0.000018	0.002788
ATXN1	2.964826	4.431855	0.000022	0.003296
OR2S2	2.963149	4.427982	0.000022	0.003328
DUOX1	2.962306	4.426036	0.000022	0.003331
DUOXA1	2.956245	4.412039	0.000024	0.003518
TTYH2	2.954263	4.407462	0.000024	0.003563
CYB561D1	2.948614	4.394417	0.000026	0.003745
RAMP3	2.943481	4.382566	0.000027	0.003917
GAL3ST3	2.936464	4.366362	0.000029	0.004161
CRY2	2.936052	4.365409	0.000029	0.004161
AC025165.3	2.934766	4.362441	0.000029	0.004185
NUAK1	2.930913	4.353543	0.000031	0.004320
GET4	2.925403	4.340820	0.000032	0.004533
TYMP	2.923403	4.336201	0.000033	0.004593
C1orf216	2.920026	4.328403	0.000034	0.004700
VPS18	2.919708	4.327669	0.000034	0.004700
C9orf152	2.909230	4.303472	0.000038	0.005182
MYBPH	2.904903	4.293480	0.000040	0.005372
