IPO4	10.129223	6.122286	0.000000	0.000058
AL136295.4	9.928392	5.953690	0.000000	0.000080
NBPF1	9.752325	5.805884	0.000000	0.000106
AL132780.3	9.731098	5.788064	0.000000	0.000106
TM9SF1	9.624553	5.698620	0.000000	0.000141
EMC9	9.584901	5.665332	0.000000	0.000142
AJUBA	9.507236	5.600133	0.000000	0.000176
DHRS2	9.430015	5.535307	0.000000	0.000221
RNF31	9.098409	5.256926	0.000000	0.000849
AL136295.5	9.082969	5.243965	0.000000	0.000849
PSME2	9.021223	5.192129	0.000001	0.000928
PCK1	9.021040	5.191976	0.000001	0.000928
PCK2	8.985914	5.162488	0.000001	0.000998
LTB4R2	8.821718	5.024647	0.000001	0.001788
PABPN1	8.815977	5.019827	0.000001	0.001788
AP1G2	8.717862	4.937460	0.000002	0.002526
TINF2	8.546776	4.793835	0.000004	0.004783
OSBPL2	8.518655	4.770229	0.000005	0.004810
PSMB11	8.517649	4.769384	0.000005	0.004810
CIRBP	8.476862	4.735143	0.000005	0.005377
DCAF11	8.400028	4.670642	0.000007	0.006913
NRL	8.370247	4.645641	0.000008	0.006913
RBM39	8.370170	4.645577	0.000008	0.006913
CBLN3	8.366711	4.642673	0.000008	0.006913
ZFHX2	8.264642	4.556986	0.000012	0.009843
UCKL1	8.236625	4.533466	0.000014	0.010218
PSME1	8.234538	4.531715	0.000014	0.010218
ID1	8.213945	4.514427	0.000015	0.010218
UBFD1	8.207009	4.508604	0.000015	0.010218
THTPA	8.204967	4.506890	0.000015	0.010218
DHRS1	8.197366	4.500509	0.000016	0.010218
NOP9	8.185386	4.490452	0.000017	0.010218
KIAA0391	8.175883	4.482474	0.000017	0.010218
PSMB5	8.173409	4.480398	0.000017	0.010218
C16orf86	8.166004	4.474181	0.000018	0.010218
LYRM1	8.127855	4.442155	0.000021	0.011198
EARS2	8.126677	4.441166	0.000021	0.011198
NEDD8	8.089515	4.409969	0.000024	0.012086
AL096870.1	8.083165	4.404638	0.000024	0.012086
CARMIL3	8.076643	4.399163	0.000025	0.012086
KHNYN	8.073668	4.396666	0.000025	0.012086
GMPR2	8.071939	4.395214	0.000025	0.012086
NEDD8-MDP1	8.046871	4.374170	0.000028	0.012849
ERI2	8.042653	4.370629	0.000028	0.012849
DCUN1D3	8.025121	4.355911	0.000030	0.013397
RABGGTA	8.009910	4.343141	0.000032	0.013854
ZNFX1	7.984747	4.322017	0.000035	0.014859
PHF20	7.952267	4.294751	0.000039	0.016252
TGM1	7.948438	4.291536	0.000040	0.016252
BPIFB2	7.924368	4.271329	0.000044	0.017206
CDH24	7.921424	4.268858	0.000044	0.017206
C14orf119	7.900922	4.251647	0.000047	0.017908
CIDEB	7.892635	4.244690	0.000049	0.017908
STK35	7.886755	4.239753	0.000050	0.017908
LTB4R	7.884120	4.237542	0.000050	0.017908
PNN	7.884026	4.237463	0.000050	0.017908
AP4S1	7.864175	4.220798	0.000054	0.018879
AL136295.3	7.833997	4.195463	0.000060	0.020640
ADCY4	7.788444	4.157222	0.000070	0.023625
STRN3	7.785793	4.154997	0.000071	0.023625
PARD6A	7.742573	4.118714	0.000083	0.027001
ACD	7.726426	4.105159	0.000087	0.028088
LSM14B	7.720674	4.100330	0.000089	0.028195
ACIN1	7.695362	4.079081	0.000097	0.030275
NFKBIA	7.681130	4.067133	0.000102	0.031296
MYH7	7.648292	4.039566	0.000114	0.034030
IRF9	7.647604	4.038989	0.000114	0.034030
PPP2R3C	7.626245	4.021057	0.000123	0.036042
JPH4	7.611589	4.008755	0.000129	0.037318
RIPK3	7.605018	4.003238	0.000132	0.037607
ENKD1	7.579055	3.981442	0.000144	0.039413
AL121594.1	7.579013	3.981407	0.000144	0.039413
CPNE6	7.578501	3.980978	0.000144	0.039413
TRAPPC6B	7.570718	3.974444	0.000148	0.039904
HOMEZ	7.562896	3.967877	0.000152	0.040412
TMEM74B	7.540753	3.949288	0.000164	0.042926
EIF6	7.516454	3.928889	0.000177	0.045913
PPP1R3E	7.501488	3.916325	0.000186	0.047614
