g.name	raw.score	z.score	p.value	q.value
TP53INP2	9.268041	9.065726	0.000000	0.000000
ID1	8.347152	8.003993	0.000000	0.000000
NR1D1	8.247074	7.888610	0.000000	0.000000
OXA1L	8.167854	7.797273	0.000000	0.000000
BCL2L1	7.186751	6.666118	0.000000	0.000000
SRP54	7.014583	6.467618	0.000000	0.000001
C17orf64	6.988028	6.437002	0.000000	0.000001
DCAF11	6.919141	6.357579	0.000000	0.000002
AJUBA	6.786459	6.204605	0.000000	0.000004
AL132780.3	6.604358	5.994652	0.000000	0.000013
PTP4A1	6.574606	5.960349	0.000000	0.000014
NRL	6.451426	5.818330	0.000000	0.000028
PCK2	6.448003	5.814384	0.000000	0.000028
CIRBP	6.380727	5.736818	0.000000	0.000041
EMC9	6.172800	5.497090	0.000000	0.000145
NFKBIA	6.159079	5.481270	0.000000	0.000149
ROCK2	6.120485	5.436774	0.000000	0.000178
C16orf70	6.034840	5.338030	0.000000	0.000287
MAP1LC3B	5.890806	5.171968	0.000001	0.000650
ACIN1	5.874826	5.153543	0.000001	0.000679
IL1R1	5.785610	5.050682	0.000001	0.001094
PNN	5.758070	5.018931	0.000001	0.001174
TMCO6	5.757678	5.018478	0.000001	0.001174
PIGU	5.734193	4.991402	0.000002	0.001289
MKKS	5.698979	4.950802	0.000002	0.001481
ORMDL3	5.691288	4.941934	0.000002	0.001481
SERPINB1	5.689305	4.939648	0.000002	0.001481
TMEM37	5.682708	4.932042	0.000002	0.001483
PSME1	5.655261	4.900398	0.000002	0.001673
C2orf49	5.637971	4.880463	0.000003	0.001743
AHCY	5.636162	4.878377	0.000003	0.001743
MBL2	5.616953	4.856230	0.000003	0.001880
PNISR	5.603691	4.840940	0.000003	0.001928
ARSB	5.600265	4.836990	0.000003	0.001928
ZMYND8	5.596387	4.832519	0.000003	0.001928
BPIFB2	5.582007	4.815940	0.000004	0.002031
FLYWCH2	5.555085	4.784901	0.000004	0.002294
NBPF1	5.522784	4.747659	0.000005	0.002667
SLX4IP	5.470465	4.687338	0.000007	0.003454
RBM39	5.463727	4.679570	0.000007	0.003492
ZC3H7A	5.414537	4.622856	0.000009	0.004436
TBX6	5.384391	4.588100	0.000011	0.005016
DEPP1	5.379879	4.582897	0.000011	0.005016
GPATCH8	5.378044	4.580782	0.000011	0.005016
EIF6	5.343827	4.541331	0.000013	0.005872
KDM6B	5.333422	4.529336	0.000014	0.006065
TUBB3	5.306991	4.498862	0.000016	0.006812
HADHA	5.291727	4.481264	0.000017	0.007218
NR0B2	5.284503	4.472934	0.000018	0.007339
TRIB3	5.263038	4.448187	0.000020	0.008032
DDX39B	5.258613	4.443085	0.000021	0.008055
AL034430.1	5.248392	4.431301	0.000022	0.008324
SERPINE1	5.239056	4.420537	0.000023	0.008566
ZNFX1	5.206489	4.382989	0.000027	0.009755
IRF9	5.206147	4.382594	0.000027	0.009755
APOA2	5.200161	4.375693	0.000028	0.009874
PPP6R3	5.194245	4.368872	0.000029	0.009955
AC092143.1	5.191578	4.365798	0.000029	0.009955
TRAPPC6B	5.177494	4.349559	0.000031	0.010351
MARF1	5.177066	4.349066	0.000031	0.010351
TCEA2	5.153442	4.321829	0.000035	0.011458
FOXA1	5.119889	4.283144	0.000041	0.012882
TMC8	5.118689	4.281760	0.000042	0.012882
RNF31	5.116735	4.279508	0.000042	0.012882
DUSP6	5.114312	4.276715	0.000043	0.012882
MTFR2	5.113915	4.276256	0.000043	0.012882
SOX18	5.099317	4.259425	0.000046	0.013634
TTC6	5.093054	4.252205	0.000047	0.013754
NDE1	5.091549	4.250469	0.000048	0.013754
CSNK1D	5.065783	4.220763	0.000054	0.015375
AP4S1	5.060978	4.215224	0.000055	0.015517
TINF2	5.046631	4.198681	0.000059	0.016404
ARHGEF16	5.043755	4.195366	0.000060	0.016406
CYGB	5.033279	4.183287	0.000063	0.017024
LMLN2	5.028621	4.177917	0.000065	0.017179
DOT1L	5.022200	4.170515	0.000067	0.017485
GGT7	5.018339	4.166063	0.000068	0.017581
CTDSP1	5.011106	4.157723	0.000070	0.017968
STRN3	5.006379	4.152273	0.000072	0.018147
AMBP	4.998361	4.143029	0.000075	0.018621
FLOT1	4.983767	4.126203	0.000080	0.019716
SMARCD2	4.975632	4.116824	0.000083	0.020243
SUCLA2	4.960599	4.099492	0.000089	0.021475
KHK	4.953794	4.091646	0.000092	0.021847
CMIP	4.951913	4.089478	0.000093	0.021847
AP3D1	4.946833	4.083620	0.000095	0.022116
G6PC	4.935831	4.070935	0.000101	0.023023
WDFY2	4.906427	4.037035	0.000115	0.026013
APOC1	4.904832	4.035196	0.000116	0.026013
CPT1A	4.901670	4.031550	0.000118	0.026105
VAMP5	4.892105	4.020522	0.000123	0.026991
SAMHD1	4.888755	4.016660	0.000125	0.027115
BCKDK	4.871442	3.996699	0.000136	0.029057
EFNA1	4.866015	3.990442	0.000139	0.029475
ADGRG3	4.842257	3.963051	0.000155	0.032244
LAMA5	4.841840	3.962569	0.000155	0.032244
ACP1	4.837131	3.957140	0.000159	0.032605
PSMD1	4.828844	3.947586	0.000165	0.033514
ASXL1	4.826314	3.944669	0.000167	0.033560
AL136295.1	4.823041	3.940896	0.000169	0.033722
TECPR1	4.800135	3.914486	0.000188	0.036695
ZBTB7B	4.798212	3.912269	0.000189	0.036695
TM9SF1	4.796743	3.910575	0.000191	0.036695
NAGLU	4.793076	3.906347	0.000194	0.036695
ATP1B1	4.790752	3.903668	0.000196	0.036695
FITM1	4.789998	3.902798	0.000196	0.036695
SPRED2	4.789388	3.902096	0.000197	0.036695
BRI3	4.785051	3.897095	0.000201	0.037071
SUN5	4.769823	3.879538	0.000215	0.039326
HNMT	4.763814	3.872610	0.000221	0.039725
C14orf119	4.763499	3.872247	0.000221	0.039725
DBP	4.757176	3.864957	0.000228	0.040496
PSMC3IP	4.750270	3.856994	0.000235	0.041391
