g.name	raw.score	z.score	p.value	q.value
SP2	2.189794	12.215875	0.000000	0.000000
DNM2	1.819784	9.747105	0.000000	0.000000
HNRNPC	1.702319	8.963360	0.000000	0.000000
CIC	1.593695	8.238601	0.000000	0.000000
KHSRP	1.519270	7.742021	0.000000	0.000000
PABPN1	1.518245	7.735186	0.000000	0.000000
NLK	1.466806	7.391972	0.000000	0.000000
ZSWIM3	1.449226	7.274674	0.000000	0.000000
EIF2AK3	1.438949	7.206105	0.000000	0.000000
ACOT8	1.436193	7.187717	0.000000	0.000000
PMEL	1.398812	6.938305	0.000000	0.000000
SP1	1.392922	6.899009	0.000000	0.000000
OSBP	1.362144	6.693651	0.000000	0.000000
RAB5B	1.357807	6.664716	0.000000	0.000000
AL132780.3	1.251355	5.954446	0.000000	0.000011
AJUBA	1.218514	5.735328	0.000000	0.000036
LRCH4	1.194171	5.572908	0.000000	0.000082
PPM1B	1.193414	5.567855	0.000000	0.000082
TOM1L2	1.190816	5.550519	0.000000	0.000083
PNN	1.190313	5.547163	0.000000	0.000083
AC013717.1	1.174273	5.440142	0.000000	0.000138
DCAF7	1.173732	5.436535	0.000000	0.000138
ARHGAP5	1.171164	5.419397	0.000000	0.000145
RBM39	1.168321	5.400427	0.000000	0.000154
TBC1D10B	1.154822	5.310363	0.000000	0.000239
PCK1	1.138154	5.199151	0.000001	0.000413
DRC3	1.136804	5.190141	0.000001	0.000416
AGPAT1	1.134424	5.174262	0.000001	0.000436
EMC9	1.130298	5.146731	0.000001	0.000483
SLC25A25	1.129270	5.139876	0.000001	0.000483
NAIF1	1.128519	5.134867	0.000001	0.000483
MYLPF	1.120063	5.078442	0.000001	0.000624
STIP1	1.111542	5.021590	0.000001	0.000806
RFX1	1.110532	5.014853	0.000001	0.000809
TRAPPC6B	1.103050	4.964933	0.000002	0.001008
ANKHD1-EIF4EBP3	1.101896	4.957234	0.000002	0.001018
ANKHD1	1.092022	4.891352	0.000003	0.001370
RNF5	1.077402	4.793800	0.000004	0.002140
NFS1	1.074745	4.776072	0.000004	0.002270
DCAF11	1.071796	4.756401	0.000005	0.002430
ROMO1	1.070294	4.746375	0.000005	0.002487
MBIP	1.062030	4.691237	0.000007	0.003149
NRL	1.056403	4.653697	0.000008	0.003666
SCFD1	1.055404	4.647026	0.000008	0.003695
TTC6	1.048749	4.602628	0.000010	0.004437
RNF31	1.042657	4.561979	0.000012	0.005229
FOXA1	1.036470	4.520700	0.000015	0.006173
EVI5L	1.033634	4.501778	0.000016	0.006583
DUSP22	1.026532	4.454388	0.000020	0.007973
HEATR5A	1.024803	4.442856	0.000021	0.008225
AP4S1	1.021201	4.418818	0.000023	0.008861
G2E3	1.020956	4.417188	0.000023	0.008861
TINF2	1.010936	4.350331	0.000031	0.011654
ZNFX1	1.008512	4.334154	0.000033	0.012271
OSER1	1.004238	4.305643	0.000038	0.013627
ZMYND8	1.002781	4.295917	0.000039	0.013955
NGDN	0.997198	4.258665	0.000046	0.016079
PSME2	0.995954	4.250369	0.000048	0.016369
FBXO33	0.990607	4.214691	0.000055	0.018715
STRN3	0.986818	4.189408	0.000062	0.020465
PPP1R3E	0.980407	4.146637	0.000074	0.024023
SRP54	0.979872	4.143063	0.000075	0.024023
ESF1	0.973517	4.100661	0.000089	0.028157
DAD1	0.971749	4.088866	0.000093	0.029089
NDUFAF5	0.970470	4.080333	0.000097	0.029657
ACIN1	0.967757	4.062230	0.000104	0.031442
MGME1	0.966861	4.056253	0.000107	0.031604
PSME1	0.966464	4.053603	0.000108	0.031604
FBXO24	0.964278	4.039020	0.000114	0.033039
BCL2L2-PABPN1	0.959991	4.010414	0.000128	0.036541
C14orf119	0.959101	4.004479	0.000131	0.036894
BAZ2A	0.956563	3.987544	0.000141	0.038537
SNX5	0.955920	3.983256	0.000143	0.038537
ABHD4	0.955912	3.983203	0.000143	0.038537
ZNF687	0.955146	3.978092	0.000146	0.038805
AL139353.1	0.954317	3.972560	0.000149	0.039146
DTD2	0.950490	3.947025	0.000165	0.042749
HOMEZ	0.945699	3.915061	0.000187	0.047851
