g.name	raw.score	z.score	p.value	q.value
TSPOAP1	7.925998	24.608862	0.000000	0.000000
POLDIP3	4.907445	14.716709	0.000000	0.000000
CD74	3.628589	10.525747	0.000000	0.000000
C12orf57	3.515843	10.156265	0.000000	0.000000
WDR74	3.474319	10.020187	0.000000	0.000000
HIST1H1E	3.365538	9.663700	0.000000	0.000000
CD68	3.168981	9.019557	0.000000	0.000000
BLCAP	3.061566	8.667547	0.000000	0.000000
HIST2H2BE	2.842582	7.949911	0.000000	0.000000
HIST2H2AC	2.642900	7.295528	0.000000	0.000000
ELL	2.604447	7.169515	0.000000	0.000000
ZBTB4	2.583917	7.102233	0.000000	0.000000
HIST1H2BC	2.577818	7.082246	0.000000	0.000000
MEPCE	2.489648	6.793302	0.000000	0.000000
POLR2A	2.454844	6.679248	0.000000	0.000000
HIST1H2BD	2.433401	6.608975	0.000000	0.000000
IRF4	2.431736	6.603519	0.000000	0.000000
ZCWPW1	2.413142	6.542585	0.000000	0.000000
RFTN1	2.386320	6.454686	0.000000	0.000000
PATL2	2.312570	6.212999	0.000000	0.000002
DUSP2	2.310531	6.206316	0.000000	0.000002
B2M	2.304500	6.186552	0.000000	0.000002
EIF4A1	2.244168	5.988838	0.000000	0.000006
HIST1H2AC	2.212133	5.883856	0.000000	0.000010
ZMIZ2	2.208238	5.871091	0.000000	0.000010
BOLA1	2.176064	5.765653	0.000000	0.000018
HIST2H2AB	2.161233	5.717050	0.000000	0.000024
JUNB	2.136917	5.637364	0.000000	0.000036
TYMP	2.131136	5.618417	0.000000	0.000038
SCO2	2.086252	5.471326	0.000000	0.000084
PRR7	2.079352	5.448714	0.000000	0.000092
P2RY11	2.073030	5.427996	0.000000	0.000099
AP002990.1	2.069036	5.414908	0.000000	0.000103
TMEM259	2.067877	5.411110	0.000000	0.000103
IRF2BP2	2.041109	5.323388	0.000000	0.000159
PTPN6	2.038277	5.314109	0.000000	0.000163
NDUFAF3	2.027715	5.279494	0.000000	0.000190
STAT3	2.012320	5.229044	0.000000	0.000239
ZNFX1	2.011472	5.226264	0.000000	0.000239
TNKS1BP1	2.005533	5.206800	0.000001	0.000258
BHLHE40	1.994265	5.169877	0.000001	0.000305
CCR7	1.988220	5.150065	0.000001	0.000329
DDIT4	1.962569	5.066003	0.000001	0.000494
POLG2	1.959145	5.054784	0.000001	0.000511
HEXIM1	1.946784	5.014274	0.000001	0.000613
GADD45B	1.924865	4.942442	0.000002	0.000857
MUS81	1.918406	4.921276	0.000002	0.000931
PPAN	1.912029	4.900377	0.000002	0.001011
PPAN-P2RY11	1.910725	4.896105	0.000002	0.001011
TET2	1.903054	4.870967	0.000003	0.001120
TMSB4X	1.894624	4.843339	0.000003	0.001243
ATF4	1.893936	4.841084	0.000003	0.001243
HSP90AB1	1.892851	4.837528	0.000003	0.001243
SCO2	1.886062	4.815280	0.000004	0.001358
ERCC1	1.883116	4.805626	0.000004	0.001397
DUSP22	1.864630	4.745045	0.000005	0.001832
JUND	1.861538	4.734914	0.000005	0.001889
SLC35A2	1.853935	4.709997	0.000006	0.002088
AC010325.1	1.852587	4.705579	0.000006	0.002096
FCMR	1.842964	4.674045	0.000007	0.002389
FUS	1.838686	4.660025	0.000008	0.002509
MED22	1.835355	4.649108	0.000008	0.002597
CLDND1	1.827968	4.624900	0.000009	0.002783
PLEKHG2	1.827800	4.624350	0.000009	0.002783
ASTL	1.827692	4.623995	0.000009	0.002783
KLF6	1.823154	4.609126	0.000010	0.002936
PARP2	1.805504	4.551284	0.000013	0.003769
TTI2	1.796916	4.523139	0.000014	0.004220
RPL7A	1.793648	4.512431	0.000015	0.004365
ENO3	1.784593	4.482755	0.000017	0.004917
NEK8	1.772606	4.443472	0.000021	0.005776
DALRD3	1.767382	4.426352	0.000022	0.006145
ZC3H10	1.766181	4.422416	0.000023	0.006168
SLC35B2	1.763815	4.414663	0.000023	0.006296
AC073283.3	1.760811	4.404818	0.000024	0.006488
E2F3	1.751123	4.373072	0.000028	0.007360
B3GALT4	1.748707	4.365152	0.000029	0.007520
LENG9	1.736501	4.325152	0.000035	0.008833
MPDU1	1.725388	4.288734	0.000040	0.010202
HIST1H2BJ	1.717681	4.263477	0.000045	0.011223
EIF1	1.708279	4.232665	0.000051	0.012635
HLA-DMA	1.706808	4.227844	0.000052	0.012738
C19orf24	1.704526	4.220366	0.000054	0.012988
PIM2	1.689581	4.171390	0.000066	0.015762
GPR132	1.686636	4.161738	0.000069	0.016215
PSMB9	1.675513	4.125288	0.000080	0.018361
PFN1	1.675318	4.124649	0.000081	0.018361
HIST1H1D	1.674548	4.122126	0.000082	0.018361
CALM2	1.674091	4.120627	0.000082	0.018361
HIST4H4	1.662517	4.082698	0.000096	0.021213
TAF12	1.659410	4.072515	0.000100	0.021870
ESYT1	1.652740	4.050657	0.000109	0.023640
CCNL2	1.646137	4.029018	0.000119	0.025522
SLC25A11	1.642946	4.018562	0.000124	0.026336
HIST1H2BG	1.639959	4.008774	0.000129	0.027103
MAT2A	1.637258	3.999922	0.000134	0.027788
IL4I1	1.633433	3.987387	0.000141	0.028756
GADD45A	1.633066	3.986182	0.000141	0.028756
PMAIP1	1.623129	3.953620	0.000161	0.032394
LYN	1.621392	3.947925	0.000165	0.032481
HNRNPAB	1.621376	3.947876	0.000165	0.032481
NFKBIA	1.620308	3.944373	0.000167	0.032611
TNIP1	1.616049	3.930417	0.000176	0.034118
PSMB8	1.614506	3.925361	0.000180	0.034452
CREB3	1.613798	3.923040	0.000182	0.034452
PPIA	1.610750	3.913052	0.000189	0.035488
IER5	1.610021	3.910662	0.000191	0.035488
BRD2	1.609105	3.907661	0.000193	0.035574
RNF167	1.608231	3.904795	0.000195	0.035644
RPS2	1.597787	3.870571	0.000223	0.040347
RMI2	1.593731	3.857278	0.000234	0.042091
RPS18	1.592781	3.854165	0.000237	0.042218
TLN1	1.591178	3.848911	0.000242	0.042700
GPR15	1.584242	3.826181	0.000264	0.046183
HIST1H2BK	1.579202	3.809665	0.000281	0.048224
STX5	1.579081	3.809269	0.000282	0.048224
VPS52	1.578709	3.808048	0.000283	0.048224
