g.name	raw.score	z.score	p.value	q.value
ZMYND8	6.435242	5.943938	0.000000	0.000110
ID1	6.381846	5.881595	0.000000	0.000110
PRADC1	6.337709	5.830064	0.000000	0.000110
CCT7	6.084572	5.534518	0.000000	0.000443
ZNFX1	5.979752	5.412135	0.000000	0.000693
CEBPB	5.801023	5.203463	0.000001	0.001749
RBM39	5.702148	5.088023	0.000001	0.002715
AL132780.3	5.539781	4.898454	0.000002	0.005630
AJUBA	5.533819	4.891493	0.000003	0.005630
MGME1	5.404387	4.740377	0.000005	0.010491
SNX5	5.372262	4.702869	0.000006	0.011385
TMEM186	5.149652	4.442964	0.000021	0.034253
DCAF11	5.129452	4.419380	0.000023	0.035101
MAP1LC3B	5.070558	4.350620	0.000031	0.044064
