g.name	raw.score	z.score	p.value	q.value
RNPEPL1	6.730559	8.134749	0.000000	0.000000
DUSP1	5.930484	6.984142	0.000000	0.000000
FRS3	5.733499	6.700853	0.000000	0.000000
FIBP	5.631177	6.553701	0.000000	0.000001
MIDN	5.568150	6.463061	0.000000	0.000001
ABCA2	5.526416	6.403042	0.000000	0.000002
PRR14	5.494221	6.356742	0.000000	0.000002
RHOF	5.479026	6.334889	0.000000	0.000002
ADRM1	5.368449	6.175865	0.000000	0.000005
BCL6	5.317019	6.101903	0.000000	0.000007
TEDC1	5.304975	6.084582	0.000000	0.000007
VPS18	5.248187	6.002914	0.000000	0.000010
HIC1	5.218139	5.959701	0.000000	0.000012
NR6A1	5.199359	5.932693	0.000000	0.000013
PTPN6	5.194156	5.925210	0.000000	0.000013
CHIT1	5.173566	5.895600	0.000000	0.000014
TBX6	5.160648	5.877022	0.000000	0.000015
SCO2	5.118122	5.815864	0.000000	0.000020
SLC39A13	5.051720	5.720369	0.000000	0.000031
TPBGL	5.048714	5.716047	0.000000	0.000031
AC135178.2	5.047351	5.714086	0.000000	0.000031
ACBD4	5.033662	5.694400	0.000000	0.000033
SETD1B	5.028751	5.687337	0.000000	0.000033
CNEP1R1	5.024312	5.680953	0.000000	0.000033
PTMA	5.006971	5.656015	0.000000	0.000035
GORASP2	5.005721	5.654217	0.000000	0.000035
COMTD1	5.000021	5.646021	0.000000	0.000035
USP3	4.984510	5.623713	0.000000	0.000039
TRAPPC5	4.975157	5.610262	0.000000	0.000040
RPL26	4.942133	5.562769	0.000000	0.000051
CTDSP1	4.852474	5.433829	0.000000	0.000099
ROM1	4.841570	5.418148	0.000000	0.000105
NEK8	4.778025	5.326763	0.000000	0.000165
UPK2	4.774050	5.321046	0.000000	0.000165
S100A2	4.771522	5.317410	0.000000	0.000165
CEBPB	4.755401	5.294226	0.000000	0.000181
PCBD2	4.742915	5.276269	0.000000	0.000194
ARL2	4.718386	5.240993	0.000000	0.000227
AP5B1	4.646483	5.137588	0.000001	0.000377
ESYT1	4.643608	5.133454	0.000001	0.000377
DTX4	4.629408	5.113032	0.000001	0.000408
ARL2-SNX15	4.623975	5.105218	0.000001	0.000415
USF2	4.606442	5.080004	0.000001	0.000453
NFKB2	4.605460	5.078592	0.000001	0.000453
ZC3H10	4.602056	5.073696	0.000001	0.000454
CCDC85B	4.594509	5.062842	0.000001	0.000469
DUSP28	4.589847	5.056138	0.000001	0.000475
TOR1AIP1	4.582453	5.045505	0.000001	0.000491
CATSPERZ	4.577695	5.038662	0.000001	0.000498
PPM1J	4.571034	5.029083	0.000001	0.000512
ERCC1	4.563410	5.018119	0.000001	0.000530
PANO1	4.544529	4.990965	0.000002	0.000596
REXO1	4.518614	4.953696	0.000002	0.000704
RELT	4.504345	4.933176	0.000002	0.000765
CIRBP	4.490096	4.912684	0.000002	0.000817
STK17A	4.488092	4.909802	0.000002	0.000817
GPSM3	4.487265	4.908612	0.000002	0.000817
SOCS3	4.482533	4.901808	0.000002	0.000831
TPGS1	4.478796	4.896433	0.000002	0.000838
TOX4	4.472897	4.887950	0.000003	0.000844
METTL25	4.471215	4.885530	0.000003	0.000844
ZFP36	4.470694	4.884781	0.000003	0.000844
PLK3	4.449209	4.853884	0.000003	0.000966
FBRS	4.430098	4.826400	0.000003	0.001086
STIM1	4.419795	4.811582	0.000004	0.001149
MYO1F	4.408742	4.795686	0.000004	0.001221
LRP10	4.388819	4.767035	0.000005	0.001379
FUZ	4.358314	4.723164	0.000006	0.001674
KDM6B	4.356117	4.720006	0.000006	0.001674
RHOG	4.342399	4.700277	0.000006	0.001811
AQP6	4.335743	4.690706	0.000007	0.001868
GNAI2	4.326890	4.677974	0.000007	0.001955
TUBB	4.322459	4.671602	0.000007	0.001986
ZNHIT2	4.294501	4.631394	0.000009	0.002343
GRK6	4.293518	4.629981	0.000009	0.002343
SEPT5-GP1BB	4.291737	4.627419	0.000009	0.002343
MXD3	4.269900	4.596014	0.000010	0.002660
JUNB	4.266615	4.591290	0.000011	0.002660
PSMB8	4.266451	4.591055	0.000011	0.002660
TP53	4.264844	4.588744	0.000011	0.002660
PRELID1	4.258323	4.579365	0.000011	0.002743
