g.name	raw.score	z.score	p.value	q.value
DUSP22	7.441482	6.614202	0.000000	0.000002
JUNB	7.377941	6.537273	0.000000	0.000002
TSPOAP1	7.346558	6.499277	0.000000	0.000002
ZNF335	7.068765	6.162950	0.000000	0.000011
PNKP	6.992527	6.070647	0.000000	0.000016
UBC	6.830232	5.874155	0.000000	0.000043
RFTN1	6.668502	5.678346	0.000000	0.000113
RFX1	6.604456	5.600805	0.000000	0.000153
BHLHE40	6.528764	5.509164	0.000000	0.000227
ZNFX1	6.412837	5.368810	0.000000	0.000424
AKT1S1	6.390694	5.342001	0.000000	0.000424
CD74	6.389567	5.340636	0.000000	0.000424
AP3D1	6.258821	5.182340	0.000001	0.000901
NBPF1	6.115821	5.009209	0.000001	0.002021
LAPTM5	6.075124	4.959936	0.000002	0.002411
DOT1L	5.892193	4.738459	0.000005	0.006616
ZFP36	5.841607	4.677214	0.000007	0.008308
C17orf99	5.820361	4.651492	0.000008	0.008847
CDC37	5.765972	4.585642	0.000011	0.011361
ODF3B	5.668062	4.467102	0.000019	0.018253
SP1	5.653463	4.449426	0.000020	0.018253
PI4KA	5.646734	4.441280	0.000021	0.018253
SP110	5.644192	4.438202	0.000021	0.018253
SCIMP	5.619250	4.408004	0.000024	0.019992
IL21R	5.599803	4.384460	0.000027	0.021286
HNRNPL	5.538464	4.310196	0.000037	0.028266
SLC15A4	5.489456	4.250861	0.000048	0.032883
HIST1H4I	5.488311	4.249475	0.000048	0.032883
KMT2E	5.484235	4.244540	0.000049	0.032883
BORCS6	5.481593	4.241341	0.000050	0.032883
DPP9	5.426845	4.175057	0.000065	0.041057
PSMB8	5.425343	4.173239	0.000066	0.041057
PTPN6	5.417760	4.164058	0.000069	0.041366
SLC25A25	5.393480	4.134662	0.000077	0.045357
NAIF1	5.383015	4.121992	0.000082	0.046233
TNFRSF13B	5.378210	4.116174	0.000084	0.046233
