g.name	raw.score	z.score	p.value	q.value
DHRS2	6.232614	6.711273	0.000000	0.000001
NBPF1	6.181885	6.633577	0.000000	0.000001
AL132780.3	6.090912	6.494244	0.000000	0.000002
AJUBA	6.030852	6.402258	0.000000	0.000002
KHNYN	5.922877	6.236884	0.000000	0.000006
TINF2	5.888998	6.184996	0.000000	0.000006
NOP9	5.878689	6.169207	0.000000	0.000006
DHRS1	5.860961	6.142055	0.000000	0.000006
MYH7	5.836593	6.104734	0.000000	0.000007
CBLN3	5.822582	6.083274	0.000000	0.000007
LTB4R2	5.799445	6.047838	0.000000	0.000008
PCK2	5.672650	5.853640	0.000000	0.000024
AP1G2	5.601976	5.745398	0.000000	0.000042
PSMB5	5.555264	5.673854	0.000000	0.000058
PSMB11	5.532458	5.638925	0.000000	0.000066
JPH4	5.525598	5.628418	0.000000	0.000066
ZFHX2	5.504246	5.595716	0.000000	0.000069
NEDD8	5.503219	5.594142	0.000000	0.000069
GMPR2	5.494890	5.581386	0.000000	0.000069
PNN	5.490284	5.574331	0.000000	0.000069
NEDD8-MDP1	5.488205	5.571147	0.000000	0.000069
THTPA	5.464604	5.535000	0.000000	0.000080
CIDEB	5.458688	5.525939	0.000000	0.000080
EMC9	5.451358	5.514713	0.000000	0.000080
LTB4R	5.449450	5.511791	0.000000	0.000080
SPTSSA	5.381855	5.408264	0.000000	0.000136
OXA1L	5.373530	5.395513	0.000000	0.000140
RNF31	5.368822	5.388303	0.000000	0.000141
AP4S1	5.359354	5.373802	0.000000	0.000147
MIPOL1	5.354720	5.366704	0.000000	0.000148
PSME2	5.340276	5.344581	0.000000	0.000161
TSSK4	5.336142	5.338250	0.000000	0.000161
CARMIL3	5.310480	5.298946	0.000000	0.000193
RABGGTA	5.286532	5.262268	0.000000	0.000227
EGLN3	5.261065	5.223263	0.000000	0.000270
AL139353.1	5.252393	5.209981	0.000001	0.000282
DTD2	5.244841	5.198414	0.000001	0.000284
PSME1	5.244542	5.197957	0.000001	0.000284
STRN3	5.240704	5.192078	0.000001	0.000285
AL136295.5	5.236592	5.185781	0.000001	0.000288
CHMP4A	5.229623	5.175108	0.000001	0.000296
RBM39	5.226545	5.170393	0.000001	0.000297
AL136295.1	5.211486	5.147328	0.000001	0.000323
ACIN1	5.209653	5.144521	0.000001	0.000323
CDH24	5.171029	5.085365	0.000001	0.000412
TRAPPC6B	5.170061	5.083882	0.000001	0.000412
ABHD4	5.168750	5.081875	0.000001	0.000412
IRF9	5.167753	5.080348	0.000001	0.000412
PRMT5	5.122295	5.010725	0.000001	0.000573
SLC22A17	5.103611	4.982109	0.000002	0.000648
TM9SF1	5.092292	4.964774	0.000002	0.000692
SDR39U1	5.060116	4.915494	0.000002	0.000866
DAD1	5.051451	4.902223	0.000002	0.000890
CMA1	5.049662	4.899482	0.000002	0.000890
C14orf119	5.048273	4.897355	0.000002	0.000890
NUBPL	5.045747	4.893486	0.000003	0.000890
NRL	5.044288	4.891252	0.000003	0.000890
FITM1	5.037198	4.880392	0.000003	0.000910
DCAF11	5.036671	4.879584	0.000003	0.000910
RALGAPA1	5.028958	4.867771	0.000003	0.000948
TGM1	5.020646	4.855041	0.000003	0.000990
MDP1	5.018750	4.852138	0.000003	0.000990
CPNE6	5.010116	4.838913	0.000003	0.001039
GPR33	4.993422	4.813346	0.000004	0.001157
CEBPE	4.987640	4.804489	0.000004	0.001189
CLEC14A	4.982728	4.796967	0.000004	0.001214
AL136295.4	4.975701	4.786204	0.000004	0.001259
SRP54	4.954928	4.754389	0.000005	0.001443
FBXO33	4.939497	4.730755	0.000006	0.001591
KIAA0391	4.937082	4.727056	0.000006	0.001596
LMLN2	4.922471	4.704678	0.000006	0.001749
REC8	4.919403	4.699979	0.000006	0.001758
IPO4	4.917897	4.697672	0.000006	0.001758
PPP1R3E	4.904311	4.676864	0.000007	0.001912
NFKBIA	4.888823	4.653144	0.000008	0.002083
