g.name	raw.score	z.score	p.value	q.value
EGR1	4.166965	9.168224	0.000000	0.000000
ZNF335	3.618285	7.744906	0.000000	0.000000
HIST1H2BD	3.294327	6.904534	0.000000	0.000000
GABARAP	3.154865	6.542757	0.000000	0.000001
C19orf48	3.150146	6.530516	0.000000	0.000001
TMED1	3.101722	6.404902	0.000000	0.000002
HIST1H1D	3.007125	6.159510	0.000000	0.000007
CCDC103	2.991920	6.120065	0.000000	0.000007
RBBP5	2.983624	6.098547	0.000000	0.000007
EFTUD2	2.927177	5.952118	0.000000	0.000015
CBX3	2.926938	5.951498	0.000000	0.000015
FARS2	2.919325	5.931749	0.000000	0.000015
C19orf38	2.914736	5.919844	0.000000	0.000015
FAM187A	2.903828	5.891549	0.000000	0.000015
BAG6	2.902541	5.888210	0.000000	0.000015
CACTIN	2.901364	5.885156	0.000000	0.000015
LYRM4	2.889156	5.853487	0.000000	0.000017
APOM	2.879661	5.828857	0.000000	0.000019
LAMP1	2.863543	5.787047	0.000000	0.000022
RPL35A	2.854686	5.764069	0.000000	0.000024
HIST1H1B	2.820783	5.676122	0.000000	0.000037
CBX5	2.819263	5.672180	0.000000	0.000037
HNRNPA1	2.814432	5.659648	0.000000	0.000038
AP3M1	2.766492	5.535287	0.000000	0.000074
AC009690.1	2.754725	5.504763	0.000000	0.000084
HSPA9	2.747743	5.486652	0.000000	0.000089
ADK	2.739016	5.464012	0.000000	0.000097
RCC1	2.730009	5.440650	0.000000	0.000106
DVL2	2.724750	5.427006	0.000000	0.000110
PCBP1	2.711378	5.392318	0.000000	0.000126
NUP205	2.710651	5.390433	0.000000	0.000126
HIST1H4F	2.684511	5.322622	0.000000	0.000175
HNRNPA2B1	2.662852	5.266437	0.000000	0.000229
SUPV3L1	2.643858	5.217167	0.000000	0.000285
HIST1H2AL	2.642305	5.213137	0.000001	0.000285
HIST1H1E	2.637312	5.200186	0.000001	0.000290
RPS12	2.636910	5.199143	0.000001	0.000290
BLCAP	2.632010	5.186431	0.000001	0.000302
C6orf48	2.627547	5.174854	0.000001	0.000312
ADI1	2.604096	5.114020	0.000001	0.000414
HIST1H4E	2.602649	5.110268	0.000001	0.000414
MRPS7	2.577351	5.044641	0.000001	0.000564
DDX39B	2.571303	5.028953	0.000001	0.000596
PAK1IP1	2.554325	4.984911	0.000002	0.000726
HIST1H3D	2.537654	4.941664	0.000002	0.000880
HIST1H3E	2.529444	4.920367	0.000002	0.000956
SUDS3	2.518928	4.893089	0.000003	0.001070
TSEN34	2.515898	4.885228	0.000003	0.001088
C6orf52	2.501800	4.848656	0.000003	0.001274
MBOAT7	2.499360	4.842327	0.000003	0.001287
NEURL2	2.486032	4.807752	0.000004	0.001491
HEXA	2.475199	4.779651	0.000004	0.001635
HIST1H2BG	2.474201	4.777064	0.000004	0.001635
BUD31	2.474030	4.776620	0.000004	0.001635
WDR92	2.465972	4.755716	0.000005	0.001773
THOC6	2.459715	4.739484	0.000005	0.001881
HIST1H2AE	2.444438	4.699854	0.000006	0.002228
ANAPC7	2.442903	4.695874	0.000006	0.002231
BLOC1S1-RDH5	2.437223	4.681138	0.000007	0.002307
BLOC1S1	2.436874	4.680233	0.000007	0.002307
RPL21	2.435046	4.675493	0.000007	0.002307
ITGA7	2.434656	4.674480	0.000007	0.002307
ZCWPW1	2.415654	4.625187	0.000009	0.002856
MEPCE	2.410458	4.611707	0.000010	0.002992
PROSER1	2.408192	4.605830	0.000010	0.003027
IPO13	2.406106	4.600418	0.000010	0.003035
HIST1H3I	2.404959	4.597443	0.000010	0.003035
WDR74	2.404190	4.595450	0.000010	0.003035
PDAP1	2.402173	4.590218	0.000011	0.003063
SELENOF	2.381481	4.536540	0.000014	0.003858
IRGQ	2.379011	4.530132	0.000014	0.003915
ALG2	2.376381	4.523310	0.000014	0.003982
TMEM80	2.368137	4.501923	0.000016	0.004326
UROD	2.363820	4.490725	0.000017	0.004487
